Epoch 1/400: [===============] 100% | Error 10.7978 | Acc: 0.00777778 AT 19.7283 | val_Acc 0 | val_AT 19.9| nb_modif 4 | env_th 1 | elaps: 1s
Epoch 2/400: [===============] 100% | Error 24.2286 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 6 | env_th 1 | elaps: 2s
Epoch 3/400: [===============] 100% | Error 36.995 | Acc: 0.0138889 AT 19.8961 | val_Acc 0 | val_AT 20| nb_modif 10 | env_th 1 | elaps: 3s
Epoch 4/400: [===============] 100% | Error 43.9752 | Acc: 0.0733333 AT 19.4689 | val_Acc 0 | val_AT 20| nb_modif 14 | env_th 1 | elaps: 4s
Epoch 5/400: [===============] 100% | Error 46.4426 | Acc: 0.153333 AT 17.5144 | val_Acc 0.385 | val_AT 13.655| nb_modif 16 | env_th 1 | elaps: 5s
Epoch 6/400: [===============] 100% | Error 47.1306 | Acc: 0.477778 AT 12.0789 | val_Acc 0.52 | val_AT 11.4783| nb_modif 11 | env_th 1 | elaps: 3s
Epoch 7/400: [===============] 100% | Error 47.388 | Acc: 0.541111 AT 11.2044 | val_Acc 0.575 | val_AT 10.5174| nb_modif 10 | env_th 1 | elaps: 3s
Epoch 8/400: [===============] 100% | Error 47.5227 | Acc: 0.586667 AT 10.3311 | val_Acc 0.455 | val_AT 12.2776| nb_modif 9 | env_th 1 | elaps: 3s
Epoch 9/400: [===============] 100% | Error 47.6014 | Acc: 0.571667 AT 10.5217 | val_Acc 0.7 | val_AT 8.46139| nb_modif 9 | env_th 1 | elaps: 3s
Epoch 10/400: [===============] 100% | Error 47.6801 | Acc: 0.593889 AT 10.4661 | val_Acc 0.535 | val_AT 11.4923| nb_modif 10 | env_th 1 | elaps: 3s
Epoch 11/400: [===============] 100% | Error 47.7246 | Acc: 0.591111 AT 10.5567 | val_Acc 0.515 | val_AT 11.7625| nb_modif 10 | env_th 1 | elaps: 3s
Epoch 12/400: [===============] 100% | Error 47.7519 | Acc: 0.619444 AT 9.91278 | val_Acc 0.68 | val_AT 8.66881| nb_modif 8 | env_th 1 | elaps: 2s
Epoch 13/400: [===============] 100% | Error 47.7733 | Acc: 0.677778 AT 8.77 | val_Acc 0.695 | val_AT 8.44334| nb_modif 8 | env_th 1 | elaps: 2s
Epoch 14/400: [===============] 100% | Error 47.7898 | Acc: 0.715556 AT 8.10333 | val_Acc 0.62 | val_AT 9.81222| nb_modif 8 | env_th 1 | elaps: 2s
Epoch 15/400: [===============] 100% | Error 47.8054 | Acc: 0.589444 AT 10.2417 | val_Acc 0.635 | val_AT 9.46406| nb_modif 9 | env_th 1 | elaps: 2s
