Epoch 8/400: [===============] 100% | Error 32.1583 | Acc: 0.164444 AT 17.1611 | val_Acc 0.28 | val_AT 15.2477| nb_modif 4 | env_th 15 | elaps: 0s
Epoch 9/400: [===============] 100% | Error 32.4097 | Acc: 0.447778 AT 12.4083 | val_Acc 0.655 | val_AT 8.85124| nb_modif 3 | env_th 15 | elaps: 0s
Epoch 10/400: [===============] 100% | Error 32.5409 | Acc: 0.592778 AT 10.0011 | val_Acc 0.51 | val_AT 11.3643| nb_modif 2 | env_th 15 | elaps: 0s
Epoch 1/400: [===============] 100% | Error 5.37897 | Acc: 0 AT 19.9983 | val_Acc 0 | val_AT 19.9| nb_modif 2 | env_th 15 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 10.5401 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 2 | env_th 15 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 15.2295 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 2 | env_th 15 | elaps: 0s
Epoch 4/400: [===============] 100% | Error 22.6566 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 4 | env_th 15 | elaps: 0s
Epoch 5/400: [===============] 100% | Error 27.5157 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 4 | env_th 15 | elaps: 0s
Epoch 6/400: [===============] 100% | Error 30.6909 | Acc: 0.0316667 AT 19.4989 | val_Acc 0.05 | val_AT 19.2| nb_modif 5 | env_th 15 | elaps: 0s
Epoch 7/400: [===============] 100% | Error 31.8066 | Acc: 0.0694444 AT 18.8672 | val_Acc 0.09 | val_AT 18.406| nb_modif 4 | env_th 15 | elaps: 0s
Epoch 8/400: [===============] 100% | Error 32.4083 | Acc: 0.191667 AT 16.7761 | val_Acc 0.27 | val_AT 15.532| nb_modif 4 | env_th 15 | elaps: 0s
Epoch 9/400: [===============] 100% | Error 32.6897 | Acc: 0.386667 AT 13.5972 | val_Acc 0.49 | val_AT 11.6927| nb_modif 3 | env_th 15 | elaps: 0s
Epoch 10/400: [===============] 100% | Error 32.8266 | Acc: 0.583333 AT 10.215 | val_Acc 0.615 | val_AT 9.66346| nb_modif 2 | env_th 15 | elaps: 0s
Epoch 1/400: [===============] 100% | Error 5.48944 | Acc: 0 AT 19.9983 | val_Acc 0 | val_AT 19.9| nb_modif 2 | env_th 15 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 8.12292 | Acc: 0 AT 19.9978 | val_Acc 0 | val_AT 19.9995| nb_modif 1 | env_th 15 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 15.1746 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 3 | env_th 15 | elaps: 0s
Epoch 4/400: [===============] 100% | Error 22.3958 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 4 | env_th 15 | elaps: 0s
Epoch 5/400: [===============] 100% | Error 27.7263 | Acc: 0.000555556 AT 19.9967 | val_Acc 0 | val_AT 20| nb_modif 5 | env_th 15 | elaps: 0s
Epoch 6/400: [===============] 100% | Error 29.8013 | Acc: 0.0438889 AT 19.2894 | val_Acc 0.095 | val_AT 18.395| nb_modif 4 | env_th 15 | elaps: 0s
Epoch 7/400: [===============] 100% | Error 30.8522 | Acc: 0.0966667 AT 18.3789 | val_Acc 0.115 | val_AT 17.997| nb_modif 4 | env_th 15 | elaps: 0s
Epoch 8/400: [===============] 100% | Error 31.3803 | Acc: 0.253333 AT 15.73 | val_Acc 0.465 | val_AT 12.22| nb_modif 4 | env_th 15 | elaps: 0s
Epoch 9/400: [===============] 100% | Error 31.5593 | Acc: 0.497778 AT 11.785 | val_Acc 0.49 | val_AT 11.8161| nb_modif 2 | env_th 15 | elaps: 0s
Epoch 10/400: [===============] 100% | Error 31.7757 | Acc: 0.675 AT 8.74167 | val_Acc 0.56 | val_AT 10.5791| nb_modif 3 | env_th 15 | elaps: 0s
