Epoch 1/400: [===============] 100% | Error 10.768 | Acc: 0.00555556 AT 19.7356 | val_Acc 0 | val_AT 19.9| nb_modif 4 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 26.2264 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 7 | elaps: 1s
Epoch 3/400: [===============] 100% | Error 37.7857 | Acc: 0.0144444 AT 19.8939 | val_Acc 0 | val_AT 20| nb_modif 9 | elaps: 1s
Epoch 4/400: [===============] 100% | Error 44.7221 | Acc: 0.0572222 AT 19.5717 | val_Acc 0 | val_AT 20| nb_modif 13 | elaps: 2s
Epoch 5/400: [===============] 100% | Error 47.2291 | Acc: 0.0894444 AT 18.5483 | val_Acc 0.27 | val_AT 15.33| nb_modif 15 | elaps: 2s
Epoch 6/400: [===============] 100% | Error 47.9229 | Acc: 0.363889 AT 13.7767 | val_Acc 0.48 | val_AT 11.8917| nb_modif 11 | elaps: 2s
Epoch 7/400: [===============] 100% | Error 48.2201 | Acc: 0.56 AT 10.8117 | val_Acc 0.515 | val_AT 11.4795| nb_modif 9 | elaps: 1s
Epoch 8/400: [===============] 100% | Error 48.3857 | Acc: 0.590556 AT 10.275 | val_Acc 0.755 | val_AT 7.5424| nb_modif 9 | elaps: 1s
Epoch 9/400: [===============] 100% | Error 48.4689 | Acc: 0.65 AT 9.36833 | val_Acc 0.43 | val_AT 12.7877| nb_modif 8 | elaps: 1s
Epoch 10/400: [===============] 100% | Error 48.5401 | Acc: 0.462222 AT 12.3011 | val_Acc 0.47 | val_AT 12.4389| nb_modif 10 | elaps: 1s
Epoch 11/400: [===============] 100% | Error 48.5846 | Acc: 0.541667 AT 11.3328 | val_Acc 0.5 | val_AT 12.0672| nb_modif 9 | elaps: 1s
Epoch 12/400: [===============] 100% | Error 48.6157 | Acc: 0.657778 AT 9.59944 | val_Acc 0.67 | val_AT 9.37034| nb_modif 9 | elaps: 1s
Epoch 13/400: [===============] 100% | Error 48.6373 | Acc: 0.678333 AT 9.35222 | val_Acc 0.565 | val_AT 11.0919| nb_modif 8 | elaps: 1s
Epoch 14/400: [===============] 100% | Error 48.6585 | Acc: 0.480556 AT 12.3572 | val_Acc 0.495 | val_AT 12.0355| nb_modif 10 | elaps: 1s
Epoch 15/400: [===============] 100% | Error 48.6721 | Acc: 0.632222 AT 9.95389 | val_Acc 0.73 | val_AT 8.51518| nb_modif 8 | elaps: 1s
Epoch 16/400: [===============] 100% | Error 48.6856 | Acc: 0.624444 AT 10.3633 | val_Acc 0.59 | val_AT 10.6176| nb_modif 9 | elaps: 1s
Epoch 17/400: [===============] 100% | Error 48.6962 | Acc: 0.591667 AT 10.6617 | val_Acc 0.595 | val_AT 10.5281| nb_modif 8 | elaps: 1s
Epoch 18/400: [===============] 100% | Error 48.7065 | Acc: 0.607222 AT 10.1883 | val_Acc 0.635 | val_AT 9.72264| nb_modif 9 | elaps: 1s
Epoch 19/400: [===============] 100% | Error 48.7151 | Acc: 0.636111 AT 9.65889 | val_Acc 0.59 | val_AT 10.2886| nb_modif 8 | elaps: 1s
Epoch 20/400: [===============] 100% | Error 48.7246 | Acc: 0.565 AT 10.6939 | val_Acc 0.59 | val_AT 10.1664| nb_modif 9 | elaps: 1s
Epoch 21/400: [===============] 100% | Error 48.7329 | Acc: 0.586111 AT 10.305 | val_Acc 0.675 | val_AT 8.76083| nb_modif 8 | elaps: 1s
Epoch 22/400: [===============] 100% | Error 48.7414 | Acc: 0.653889 AT 9.07611 | val_Acc 0.575 | val_AT 10.4088| nb_modif 8 | elaps: 1s
Epoch 23/400: [===============] 100% | Error 48.7575 | Acc: 0.648889 AT 9.01278 | val_Acc 0.685 | val_AT 8.16704| nb_modif 7 | elaps: 1s
Epoch 24/400: [===============] 100% | Error 48.764 | Acc: 0.680556 AT 7.855 | val_Acc 0.8 | val_AT 5.73584| nb_modif 6 | elaps: 1s
Epoch 25/400: [===============] 100% | Error 48.7694 | Acc: 0.716111 AT 7.10278 | val_Acc 0.67 | val_AT 7.58868| nb_modif 5 | elaps: 0s
Epoch 26/400: [===============] 100% | Error 48.7767 | Acc: 0.691667 AT 7.27889 | val_Acc 0.81 | val_AT 5.09294| nb_modif 6 | elaps: 1s
Epoch 27/400: [===============] 100% | Error 48.7811 | Acc: 0.801111 AT 5.34389 | val_Acc 0.85 | val_AT 4.46546| nb_modif 4 | elaps: 0s
Epoch 28/400: [===============] 100% | Error 48.7867 | Acc: 0.759444 AT 5.97778 | val_Acc 0.735 | val_AT 6.08733| nb_modif 5 | elaps: 1s
Epoch 29/400: [===============] 100% | Error 48.8085 | Acc: 0.723333 AT 6.42556 | val_Acc 0.75 | val_AT 5.78544| nb_modif 6 | elaps: 1s
Epoch 30/400: [===============] 100% | Error 48.8145 | Acc: 0.703889 AT 6.74111 | val_Acc 0.77 | val_AT 5.42893| nb_modif 5 | elaps: 0s
Epoch 31/400: [===============] 100% | Error 48.8206 | Acc: 0.736667 AT 6.095 | val_Acc 0.75 | val_AT 5.71714| nb_modif 5 | elaps: 1s
Epoch 32/400: [===============] 100% | Error 48.8267 | Acc: 0.772778 AT 5.49056 | val_Acc 0.83 | val_AT 4.42359| nb_modif 5 | elaps: 0s
Epoch 33/400: [===============] 100% | Error 48.832 | Acc: 0.822222 AT 4.66667 | val_Acc 0.82 | val_AT 4.69212| nb_modif 4 | elaps: 0s
Epoch 34/400: [===============] 100% | Error 48.8549 | Acc: 0.812222 AT 5.03222 | val_Acc 0.805 | val_AT 5.11846| nb_modif 4 | elaps: 0s
Epoch 35/400: [===============] 100% | Error 48.8709 | Acc: 0.79 AT 5.35889 | val_Acc 0.775 | val_AT 5.38559| nb_modif 4 | elaps: 0s
Epoch 36/400: [===============] 100% | Error 48.8808 | Acc: 0.837222 AT 4.22889 | val_Acc 0.89 | val_AT 3.15693| nb_modif 3 | elaps: 0s
Epoch 37/400: [===============] 100% | Error 49.0022 | Acc: 0.842222 AT 4.11889 | val_Acc 0.83 | val_AT 4.34078| nb_modif 4 | elaps: 0s
Epoch 38/400: [===============] 100% | Error 49.0059 | Acc: 0.854444 AT 4.025 | val_Acc 0.84 | val_AT 4.2817| nb_modif 3 | elaps: 0s
Epoch 39/400: [===============] 100% | Error 49.0119 | Acc: 0.833333 AT 4.50111 | val_Acc 0.745 | val_AT 6.01641| nb_modif 4 | elaps: 0s
Epoch 40/400: [===============] 100% | Error 49.0987 | Acc: 0.797778 AT 5.03222 | val_Acc 0.78 | val_AT 5.21008| nb_modif 4 | elaps: 0s
Epoch 41/400: [===============] 100% | Error 49.1058 | Acc: 0.722222 AT 6.40667 | val_Acc 0.615 | val_AT 8.33105| nb_modif 5 | elaps: 0s
Epoch 42/400: [===============] 100% | Error 49.1137 | Acc: 0.694444 AT 6.97 | val_Acc 0.705 | val_AT 6.77166| nb_modif 6 | elaps: 1s
Epoch 43/400: [===============] 100% | Error 49.1189 | Acc: 0.779444 AT 5.41111 | val_Acc 0.74 | val_AT 6.11386| nb_modif 4 | elaps: 0s
Epoch 44/400: [===============] 100% | Error 49.128 | Acc: 0.703889 AT 6.81222 | val_Acc 0.76 | val_AT 5.63057| nb_modif 6 | elaps: 1s
Epoch 45/400: [===============] 100% | Error 49.1324 | Acc: 0.823333 AT 4.50778 | val_Acc 0.785 | val_AT 5.15315| nb_modif 3 | elaps: 0s
