Epoch 1/400: [===============] 100% | Error 10.9318 | Acc: 0.00555556 AT 19.7961 | val_Acc 0 | val_AT 19.9| nb_modif 4 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 26.3276 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 7 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 36.6079 | Acc: 0.00777778 AT 19.95 | val_Acc 0 | val_AT 20| nb_modif 8 | elaps: 0s
Epoch 4/400: [===============] 100% | Error 43.3238 | Acc: 0.0438889 AT 19.6956 | val_Acc 0.035 | val_AT 19.51| nb_modif 11 | elaps: 1s
Epoch 5/400: [===============] 100% | Error 46.455 | Acc: 0.119444 AT 18.1594 | val_Acc 0.29 | val_AT 15.2425| nb_modif 14 | elaps: 1s
Epoch 6/400: [===============] 100% | Error 47.2834 | Acc: 0.354444 AT 14.3494 | val_Acc 0.36 | val_AT 14.3812| nb_modif 10 | elaps: 1s
Epoch 7/400: [===============] 100% | Error 47.6794 | Acc: 0.410556 AT 13.3689 | val_Acc 0.535 | val_AT 11.2569| nb_modif 10 | elaps: 1s
Epoch 8/400: [===============] 100% | Error 47.8551 | Acc: 0.55 AT 11.0217 | val_Acc 0.655 | val_AT 9.33628| nb_modif 8 | elaps: 0s
Epoch 9/400: [===============] 100% | Error 47.9543 | Acc: 0.602778 AT 10.4083 | val_Acc 0.585 | val_AT 10.7917| nb_modif 8 | elaps: 0s
Epoch 10/400: [===============] 100% | Error 48.047 | Acc: 0.535556 AT 11.54 | val_Acc 0.49 | val_AT 12.094| nb_modif 9 | elaps: 1s
Epoch 11/400: [===============] 100% | Error 48.102 | Acc: 0.433889 AT 12.9411 | val_Acc 0.48 | val_AT 12.2305| nb_modif 10 | elaps: 1s
Epoch 12/400: [===============] 100% | Error 48.1375 | Acc: 0.450556 AT 12.795 | val_Acc 0.41 | val_AT 13.2512| nb_modif 9 | elaps: 1s
Epoch 13/400: [===============] 100% | Error 48.1615 | Acc: 0.543889 AT 11.0533 | val_Acc 0.63 | val_AT 9.68126| nb_modif 8 | elaps: 0s
Epoch 14/400: [===============] 100% | Error 48.1806 | Acc: 0.613333 AT 10.1539 | val_Acc 0.62 | val_AT 10.1134| nb_modif 8 | elaps: 0s
Epoch 15/400: [===============] 100% | Error 48.1944 | Acc: 0.626111 AT 10.1583 | val_Acc 0.62 | val_AT 10.2806| nb_modif 7 | elaps: 0s
Epoch 16/400: [===============] 100% | Error 48.2075 | Acc: 0.565 AT 11.1661 | val_Acc 0.535 | val_AT 11.4764| nb_modif 8 | elaps: 0s
Epoch 17/400: [===============] 100% | Error 48.2186 | Acc: 0.548333 AT 11.2194 | val_Acc 0.575 | val_AT 10.7524| nb_modif 8 | elaps: 0s
Epoch 18/400: [===============] 100% | Error 48.2284 | Acc: 0.598333 AT 10.55 | val_Acc 0.645 | val_AT 9.70376| nb_modif 8 | elaps: 0s
Epoch 19/400: [===============] 100% | Error 48.2363 | Acc: 0.671111 AT 9.56222 | val_Acc 0.67 | val_AT 9.70852| nb_modif 7 | elaps: 0s
Epoch 20/400: [===============] 100% | Error 48.2439 | Acc: 0.688889 AT 9.57056 | val_Acc 0.6 | val_AT 10.9435| nb_modif 7 | elaps: 0s
Epoch 21/400: [===============] 100% | Error 48.2533 | Acc: 0.577222 AT 11.2472 | val_Acc 0.43 | val_AT 13.3497| nb_modif 9 | elaps: 1s
Epoch 22/400: [===============] 100% | Error 48.2625 | Acc: 0.462778 AT 12.8483 | val_Acc 0.47 | val_AT 12.4617| nb_modif 9 | elaps: 1s
Epoch 23/400: [===============] 100% | Error 48.2706 | Acc: 0.546111 AT 11.1811 | val_Acc 0.51 | val_AT 11.6623| nb_modif 8 | elaps: 0s
Epoch 24/400: [===============] 100% | Error 48.2777 | Acc: 0.581667 AT 10.1578 | val_Acc 0.615 | val_AT 9.32831| nb_modif 7 | elaps: 0s
Epoch 25/400: [===============] 100% | Error 48.3064 | Acc: 0.677222 AT 8.1 | val_Acc 0.805 | val_AT 5.91664| nb_modif 6 | elaps: 0s
Epoch 26/400: [===============] 100% | Error 48.3103 | Acc: 0.847778 AT 4.92389 | val_Acc 0.815 | val_AT 5.58458| nb_modif 3 | elaps: 0s
Epoch 27/400: [===============] 100% | Error 48.3175 | Acc: 0.827778 AT 5.10167 | val_Acc 0.8 | val_AT 5.66292| nb_modif 5 | elaps: 0s
Epoch 28/400: [===============] 100% | Error 48.3219 | Acc: 0.8 AT 5.35111 | val_Acc 0.795 | val_AT 5.13831| nb_modif 3 | elaps: 0s
Epoch 29/400: [===============] 100% | Error 48.3788 | Acc: 0.805556 AT 4.93667 | val_Acc 0.78 | val_AT 5.46069| nb_modif 4 | elaps: 0s
Epoch 30/400: [===============] 100% | Error 48.3862 | Acc: 0.731111 AT 6.44889 | val_Acc 0.66 | val_AT 7.7123| nb_modif 5 | elaps: 0s
Epoch 31/400: [===============] 100% | Error 48.4036 | Acc: 0.670556 AT 7.53056 | val_Acc 0.655 | val_AT 7.66356| nb_modif 5 | elaps: 0s
Epoch 32/400: [===============] 100% | Error 48.4845 | Acc: 0.694444 AT 6.99722 | val_Acc 0.7 | val_AT 6.82832| nb_modif 5 | elaps: 0s
Epoch 33/400: [===============] 100% | Error 48.5048 | Acc: 0.696667 AT 6.94222 | val_Acc 0.75 | val_AT 5.86414| nb_modif 5 | elaps: 0s
Epoch 34/400: [===============] 100% | Error 48.5116 | Acc: 0.791667 AT 5.2 | val_Acc 0.81 | val_AT 4.72932| nb_modif 4 | elaps: 0s
Epoch 35/400: [===============] 100% | Error 48.5163 | Acc: 0.786667 AT 5.235 | val_Acc 0.775 | val_AT 5.30365| nb_modif 4 | elaps: 0s
Epoch 36/400: [===============] 100% | Error 48.5215 | Acc: 0.740556 AT 6.03 | val_Acc 0.735 | val_AT 6.01652| nb_modif 5 | elaps: 0s
Epoch 37/400: [===============] 100% | Error 48.5285 | Acc: 0.722778 AT 6.37556 | val_Acc 0.75 | val_AT 5.79008| nb_modif 5 | elaps: 0s
Epoch 38/400: [===============] 100% | Error 48.5336 | Acc: 0.748333 AT 5.90222 | val_Acc 0.76 | val_AT 5.57395| nb_modif 5 | elaps: 0s
Epoch 39/400: [===============] 100% | Error 48.5848 | Acc: 0.756667 AT 5.71222 | val_Acc 0.775 | val_AT 5.28287| nb_modif 4 | elaps: 0s
Epoch 40/400: [===============] 100% | Error 48.5878 | Acc: 0.782222 AT 5.20722 | val_Acc 0.8 | val_AT 4.75141| nb_modif 3 | elaps: 0s
Epoch 41/400: [===============] 100% | Error 48.5908 | Acc: 0.843889 AT 4.04611 | val_Acc 0.815 | val_AT 4.50876| nb_modif 3 | elaps: 0s
Epoch 42/400: [===============] 100% | Error 48.6213 | Acc: 0.846111 AT 4.01111 | val_Acc 0.83 | val_AT 4.24754| nb_modif 3 | elaps: 0s
Epoch 43/400: [===============] 100% | Error 48.6297 | Acc: 0.851667 AT 3.89389 | val_Acc 0.775 | val_AT 5.26624| nb_modif 3 | elaps: 0s
Epoch 44/400: [===============] 100% | Error 48.6484 | Acc: 0.827222 AT 4.33944 | val_Acc 0.765 | val_AT 5.44133| nb_modif 3 | elaps: 0s
Epoch 45/400: [===============] 100% | Error 48.6518 | Acc: 0.851111 AT 3.89944 | val_Acc 0.795 | val_AT 4.93221| nb_modif 3 | elaps: 0s
Epoch 46/400: [===============] 100% | Error 48.6542 | Acc: 0.865 AT 3.67389 | val_Acc 0.81 | val_AT 4.70966| nb_modif 2 | elaps: 0s
