Epoch 1/400: [===============] 100% | Error 5.53537 | Acc: 0 AT 19.9983 | val_Acc 0 | val_AT 19.9| nb_modif 2 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 8.20637 | Acc: 0 AT 19.9989 | val_Acc 0 | val_AT 19.9995| nb_modif 1 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 15.4482 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 3 | elaps: 0s
Epoch 4/400: [===============] 100% | Error 22.8993 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 4 | elaps: 0s
Epoch 5/400: [===============] 100% | Error 27.6437 | Acc: 0.00222222 AT 19.9706 | val_Acc 0.025 | val_AT 19.6| nb_modif 4 | elaps: 0s
Epoch 6/400: [===============] 100% | Error 30.3242 | Acc: 0.0333333 AT 19.4722 | val_Acc 0.02 | val_AT 19.678| nb_modif 4 | elaps: 0s
Epoch 7/400: [===============] 100% | Error 31.8626 | Acc: 0.0611111 AT 18.9972 | val_Acc 0.055 | val_AT 19.0884| nb_modif 5 | elaps: 0s
Epoch 8/400: [===============] 100% | Error 32.4285 | Acc: 0.134444 AT 17.7022 | val_Acc 0.2 | val_AT 16.7754| nb_modif 4 | elaps: 0s
Epoch 9/400: [===============] 100% | Error 32.6174 | Acc: 0.45 AT 12.3594 | val_Acc 0.56 | val_AT 10.5839| nb_modif 2 | elaps: 0s
Epoch 10/400: [===============] 100% | Error 32.8423 | Acc: 0.531111 AT 11.0367 | val_Acc 0.465 | val_AT 11.9929| nb_modif 3 | elaps: 0s
Epoch 11/400: [===============] 100% | Error 32.9597 | Acc: 0.615 AT 9.58667 | val_Acc 0.6 | val_AT 9.71496| nb_modif 2 | elaps: 0s
Epoch 12/400: [===============] 100% | Error 33.0633 | Acc: 0.642222 AT 8.94111 | val_Acc 0.66 | val_AT 8.80857| nb_modif 2 | elaps: 0s
Epoch 13/400: [===============] 100% | Error 33.1465 | Acc: 0.621667 AT 9.40444 | val_Acc 0.72 | val_AT 7.95404| nb_modif 2 | elaps: 0s
Epoch 14/400: [===============] 100% | Error 33.217 | Acc: 0.621111 AT 9.36056 | val_Acc 0.74 | val_AT 7.33977| nb_modif 2 | elaps: 0s
Epoch 15/400: [===============] 100% | Error 33.3136 | Acc: 0.642222 AT 9.13222 | val_Acc 0.635 | val_AT 9.0867| nb_modif 3 | elaps: 0s
Epoch 16/400: [===============] 100% | Error 33.3666 | Acc: 0.592222 AT 9.89944 | val_Acc 0.505 | val_AT 11.6054| nb_modif 2 | elaps: 0s
Epoch 17/400: [===============] 100% | Error 33.4395 | Acc: 0.543333 AT 10.7589 | val_Acc 0.495 | val_AT 11.633| nb_modif 3 | elaps: 0s
Epoch 18/400: [===============] 100% | Error 33.4974 | Acc: 0.508889 AT 11.3894 | val_Acc 0.565 | val_AT 10.4332| nb_modif 3 | elaps: 0s
Epoch 19/400: [===============] 100% | Error 33.544 | Acc: 0.533889 AT 10.8739 | val_Acc 0.52 | val_AT 11.1122| nb_modif 2 | elaps: 0s
Epoch 20/400: [===============] 100% | Error 33.588 | Acc: 0.523333 AT 11.0233 | val_Acc 0.555 | val_AT 10.4056| nb_modif 3 | elaps: 0s
Epoch 21/400: [===============] 100% | Error 33.628 | Acc: 0.433333 AT 12.6172 | val_Acc 0.555 | val_AT 10.392| nb_modif 3 | elaps: 0s
Epoch 22/400: [===============] 100% | Error 33.6499 | Acc: 0.437778 AT 12.5094 | val_Acc 0.47 | val_AT 11.797| nb_modif 2 | elaps: 0s
Epoch 23/400: [===============] 100% | Error 33.6994 | Acc: 0.503333 AT 11.2817 | val_Acc 0.605 | val_AT 9.53899| nb_modif 3 | elaps: 0s
Epoch 24/400: [===============] 100% | Error 33.7388 | Acc: 0.506111 AT 11.2106 | val_Acc 0.38 | val_AT 13.4477| nb_modif 3 | elaps: 0s
Epoch 25/400: [===============] 100% | Error 33.7762 | Acc: 0.522778 AT 11.0611 | val_Acc 0.525 | val_AT 10.8322| nb_modif 3 | elaps: 0s
Epoch 26/400: [===============] 100% | Error 33.7889 | Acc: 0.453333 AT 12.1944 | val_Acc 0.36 | val_AT 13.8992| nb_modif 2 | elaps: 0s
Epoch 27/400: [===============] 100% | Error 33.8018 | Acc: 0.442778 AT 12.4144 | val_Acc 0.405 | val_AT 13.0595| nb_modif 2 | elaps: 0s
Epoch 28/400: [===============] 100% | Error 33.8189 | Acc: 0.510556 AT 11.2256 | val_Acc 0.55 | val_AT 10.6453| nb_modif 3 | elaps: 0s
Epoch 29/400: [===============] 100% | Error 33.8291 | Acc: 0.525 AT 10.9394 | val_Acc 0.485 | val_AT 11.6282| nb_modif 2 | elaps: 0s
Epoch 30/400: [===============] 100% | Error 33.8866 | Acc: 0.549444 AT 10.5717 | val_Acc 0.58 | val_AT 9.90814| nb_modif 3 | elaps: 0s
Epoch 31/400: [===============] 100% | Error 33.8952 | Acc: 0.545 AT 10.6689 | val_Acc 0.47 | val_AT 11.9795| nb_modif 2 | elaps: 0s
Epoch 32/400: [===============] 100% | Error 33.9072 | Acc: 0.502222 AT 11.375 | val_Acc 0.495 | val_AT 11.5999| nb_modif 3 | elaps: 0s
Epoch 33/400: [===============] 100% | Error 33.9147 | Acc: 0.523889 AT 11.0311 | val_Acc 0.535 | val_AT 10.813| nb_modif 2 | elaps: 0s
Epoch 34/400: [===============] 100% | Error 33.9213 | Acc: 0.580556 AT 10.0894 | val_Acc 0.555 | val_AT 10.3541| nb_modif 2 | elaps: 0s
Epoch 35/400: [===============] 100% | Error 33.9276 | Acc: 0.652778 AT 8.88667 | val_Acc 0.625 | val_AT 9.27177| nb_modif 2 | elaps: 0s
Epoch 36/400: [===============] 100% | Error 33.9527 | Acc: 0.651667 AT 8.88667 | val_Acc 0.58 | val_AT 10.1514| nb_modif 3 | elaps: 0s
