Epoch 40/400: [===============] 100% | Error 41.232 | Acc: 0.553333 AT 10.9306 | val_Acc 0.615 | val_AT 9.8915| nb_modif 3 | elaps: 0s
Epoch 41/400: [===============] 100% | Error 41.2556 | Acc: 0.582222 AT 10.3389 | val_Acc 0.63 | val_AT 9.50946| nb_modif 4 | elaps: 0s
Epoch 42/400: [===============] 100% | Error 41.2587 | Acc: 0.645 AT 9.22167 | val_Acc 0.655 | val_AT 8.97255| nb_modif 3 | elaps: 0s
Epoch 43/400: [===============] 100% | Error 41.2845 | Acc: 0.686111 AT 8.42667 | val_Acc 0.7 | val_AT 7.97486| nb_modif 3 | elaps: 0s
Epoch 44/400: [===============] 100% | Error 41.3086 | Acc: 0.708333 AT 7.79167 | val_Acc 0.715 | val_AT 7.43487| nb_modif 2 | elaps: 0s
Epoch 45/400: [===============] 100% | Error 41.3118 | Acc: 0.705556 AT 7.66167 | val_Acc 0.735 | val_AT 7.10717| nb_modif 3 | elaps: 0s
Epoch 46/400: [===============] 100% | Error 41.3149 | Acc: 0.709444 AT 7.49667 | val_Acc 0.75 | val_AT 6.61554| nb_modif 3 | elaps: 0s
Epoch 47/400: [===============] 100% | Error 41.3379 | Acc: 0.677222 AT 7.955 | val_Acc 0.685 | val_AT 7.76808| nb_modif 3 | elaps: 0s
Epoch 48/400: [===============] 100% | Error 41.3599 | Acc: 0.683889 AT 7.89722 | val_Acc 0.66 | val_AT 8.22384| nb_modif 3 | elaps: 0s
Epoch 49/400: [===============] 100% | Error 41.3632 | Acc: 0.665 AT 8.18722 | val_Acc 0.67 | val_AT 8.11612| nb_modif 3 | elaps: 0s
Epoch 50/400: [===============] 100% | Error 41.3892 | Acc: 0.663333 AT 8.17444 | val_Acc 0.655 | val_AT 8.46058| nb_modif 3 | elaps: 0s
Epoch 51/400: [===============] 100% | Error 41.3925 | Acc: 0.673333 AT 8.005 | val_Acc 0.65 | val_AT 8.3273| nb_modif 3 | elaps: 0s
Epoch 52/400: [===============] 100% | Error 41.4176 | Acc: 0.665 AT 8.07944 | val_Acc 0.63 | val_AT 8.64664| nb_modif 3 | elaps: 0s
Epoch 53/400: [===============] 100% | Error 41.4212 | Acc: 0.666667 AT 8.12833 | val_Acc 0.665 | val_AT 8.18323| nb_modif 3 | elaps: 0s
Epoch 54/400: [===============] 100% | Error 41.4326 | Acc: 0.662222 AT 8.19722 | val_Acc 0.635 | val_AT 8.54092| nb_modif 2 | elaps: 0s
Epoch 55/400: [===============] 100% | Error 41.4373 | Acc: 0.643333 AT 8.495 | val_Acc 0.63 | val_AT 8.6927| nb_modif 3 | elaps: 0s
Epoch 56/400: [===============] 100% | Error 41.4465 | Acc: 0.622222 AT 8.73111 | val_Acc 0.64 | val_AT 8.31346| nb_modif 3 | elaps: 0s
Epoch 57/400: [===============] 100% | Error 41.457 | Acc: 0.583333 AT 9.26278 | val_Acc 0.58 | val_AT 9.23657| nb_modif 3 | elaps: 0s
Epoch 58/400: [===============] 100% | Error 41.4833 | Acc: 0.59 AT 9.07111 | val_Acc 0.59 | val_AT 8.98618| nb_modif 3 | elaps: 0s
Epoch 59/400: [===============] 100% | Error 41.5084 | Acc: 0.605556 AT 8.72944 | val_Acc 0.62 | val_AT 8.44493| nb_modif 2 | elaps: 0s
Epoch 60/400: [===============] 100% | Error 41.5108 | Acc: 0.645556 AT 8.02778 | val_Acc 0.685 | val_AT 7.32722| nb_modif 2 | elaps: 0s
Epoch 61/400: [===============] 100% | Error 41.5358 | Acc: 0.670556 AT 7.62444 | val_Acc 0.715 | val_AT 6.85664| nb_modif 2 | elaps: 0s
Epoch 62/400: [===============] 100% | Error 41.5393 | Acc: 0.693889 AT 7.22167 | val_Acc 0.71 | val_AT 6.98428| nb_modif 3 | elaps: 0s
Epoch 63/400: [===============] 100% | Error 41.5418 | Acc: 0.703889 AT 7.12 | val_Acc 0.715 | val_AT 6.80992| nb_modif 2 | elaps: 0s
Epoch 64/400: [===============] 100% | Error 41.5449 | Acc: 0.711667 AT 6.98889 | val_Acc 0.71 | val_AT 6.93905| nb_modif 3 | elaps: 0s
Epoch 65/400: [===============] 100% | Error 41.5459 | Acc: 0.731667 AT 6.63389 | val_Acc 0.78 | val_AT 5.7597| nb_modif 1 | elaps: 0s
Epoch 66/400: [===============] 100% | Error 41.5469 | Acc: 0.757778 AT 6.21056 | val_Acc 0.795 | val_AT 5.4738| nb_modif 1 | elaps: 0s
Epoch 67/400: [===============] 100% | Error 41.55 | Acc: 0.767778 AT 6.00111 | val_Acc 0.795 | val_AT 5.42237| nb_modif 3 | elaps: 0s
Epoch 68/400: [===============] 100% | Error 41.5562 | Acc: 0.764444 AT 6.07778 | val_Acc 0.8 | val_AT 5.35711| nb_modif 3 | elaps: 0s
Epoch 69/400: [===============] 100% | Error 41.5853 | Acc: 0.737778 AT 6.55778 | val_Acc 0.765 | val_AT 5.99679| nb_modif 4 | elaps: 0s
Epoch 70/400: [===============] 100% | Error 41.6103 | Acc: 0.725 AT 6.75667 | val_Acc 0.785 | val_AT 5.55998| nb_modif 2 | elaps: 0s
Epoch 71/400: [===============] 100% | Error 41.6356 | Acc: 0.711111 AT 6.97611 | val_Acc 0.745 | val_AT 6.2678| nb_modif 2 | elaps: 0s
Epoch 72/400: [===============] 100% | Error 41.6382 | Acc: 0.707778 AT 6.98056 | val_Acc 0.76 | val_AT 5.98134| nb_modif 2 | elaps: 0s
Epoch 73/400: [===============] 100% | Error 41.6394 | Acc: 0.702222 AT 7.09333 | val_Acc 0.68 | val_AT 7.27991| nb_modif 1 | elaps: 0s
Epoch 74/400: [===============] 100% | Error 41.6405 | Acc: 0.727222 AT 6.56111 | val_Acc 0.765 | val_AT 5.7364| nb_modif 1 | elaps: 0s
Epoch 75/400: [===============] 100% | Error 41.6427 | Acc: 0.803889 AT 5.12556 | val_Acc 0.845 | val_AT 4.31868| nb_modif 2 | elaps: 0s
Epoch 76/400: [===============] 100% | Error 41.6588 | Acc: 0.841111 AT 4.47389 | val_Acc 0.895 | val_AT 3.39659| nb_modif 1 | elaps: 0s
Epoch 77/400: [===============] 100% | Error 41.6599 | Acc: 0.871667 AT 3.86556 | val_Acc 0.9 | val_AT 3.24198| nb_modif 1 | elaps: 0s
Epoch 78/400: [===============] 100% | Error 41.6621 | Acc: 0.888889 AT 3.55 | val_Acc 0.91 | val_AT 3.06621| nb_modif 2 | elaps: 0s
Epoch 79/400: [===============] 100% | Error 41.6631 | Acc: 0.886111 AT 3.61611 | val_Acc 0.915 | val_AT 3.00533| nb_modif 1 | elaps: 0s
Epoch 80/400: [===============] 100% | Error 41.6641 | Acc: 0.89 AT 3.55778 | val_Acc 0.905 | val_AT 3.20003| nb_modif 1 | elaps: 0s
Epoch 81/400: [===============] 100% | Error 41.6889 | Acc: 0.893889 AT 3.52056 | val_Acc 0.9 | val_AT 3.311| nb_modif 2 | elaps: 0s
Epoch 82/400: [===============] 100% | Error 41.69 | Acc: 0.888333 AT 3.66111 | val_Acc 0.92 | val_AT 3.03156| nb_modif 1 | elaps: 0s
Epoch 83/400: [===============] 100% | Error 41.691 | Acc: 0.884444 AT 3.74556 | val_Acc 0.91 | val_AT 3.21516| nb_modif 1 | elaps: 0s
Epoch 84/400: [===============] 100% | Error 41.6927 | Acc: 0.896111 AT 3.55056 | val_Acc 0.93 | val_AT 2.84108| nb_modif 1 | elaps: 0s
Epoch 85/400: [===============] 100% | Error 41.6948 | Acc: 0.898889 AT 3.49444 | val_Acc 0.905 | val_AT 3.27421| nb_modif 2 | elaps: 0s
Epoch 86/400: [===============] 100% | Error 41.6959 | Acc: 0.900556 AT 3.47556 | val_Acc 0.91 | val_AT 3.21137| nb_modif 1 | elaps: 0s
Epoch 87/400: [===============] 100% | Error 41.697 | Acc: 0.903333 AT 3.43111 | val_Acc 0.93 | val_AT 2.85106| nb_modif 1 | elaps: 0s
Epoch 88/400: [===============] 100% | Error 41.8026 | Acc: 0.9 AT 3.49167 | val_Acc 0.945 | val_AT 2.59926| nb_modif 2 | elaps: 0s
Epoch 89/400: [===============] 100% | Error 41.8036 | Acc: 0.926111 AT 3.04222 | val_Acc 0.955 | val_AT 2.398| nb_modif 1 | elaps: 0s
Epoch 90/400: [===============] 100% | Error 41.8273 | Acc: 0.926667 AT 3.00333 | val_Acc 0.94 | val_AT 2.66699| nb_modif 1 | elaps: 0s
Epoch 91/400: [===============] 100% | Error 41.8283 | Acc: 0.935 AT 2.88056 | val_Acc 0.94 | val_AT 2.64833| nb_modif 1 | elaps: 0s
Epoch 92/400: [===============] 100% | Error 41.8293 | Acc: 0.941667 AT 2.76778 | val_Acc 0.945 | val_AT 2.55824| nb_modif 1 | elaps: 0s
Epoch 93/400: [===============] 100% | Error 41.8303 | Acc: 0.938889 AT 2.79444 | val_Acc 0.95 | val_AT 2.57279| nb_modif 1 | elaps: 0s
Epoch 94/400: [===============] 100% | Error 41.854 | Acc: 0.941667 AT 2.76611 | val_Acc 0.94 | val_AT 2.70286| nb_modif 1 | elaps: 0s
Epoch 95/400: [===============] 100% | Error 41.8551 | Acc: 0.94 AT 2.77389 | val_Acc 0.935 | val_AT 2.65351| nb_modif 1 | elaps: 0s
Epoch 96/400: [===============] 100% | Error 41.8561 | Acc: 0.936667 AT 2.79778 | val_Acc 0.92 | val_AT 2.96827| nb_modif 1 | elaps: 0s
Epoch 97/400: [===============] 100% | Error 41.8571 | Acc: 0.943333 AT 2.68611 | val_Acc 0.945 | val_AT 2.44484| nb_modif 1 | elaps: 0s
Epoch 98/400: [===============] 100% | Error 41.8582 | Acc: 0.951111 AT 2.55222 | val_Acc 0.95 | val_AT 2.34222| nb_modif 1 | elaps: 0s
=== END TRAINNING << Time elapsed 31202ms nb threads 30
Epoch 1/400: [===============] 100% | Error 8.36921 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9| nb_modif 3 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 15.7718 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 3 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 21.8911 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 3 | elaps: 0s
Epoch 4/400: [===============] 100% | Error 31.7332 | Acc: 0.005 AT 19.9622 | val_Acc 0 | val_AT 20| nb_modif 7 | elaps: 0s
Epoch 5/400: [===============] 100% | Error 36.7626 | Acc: 0.00944444 AT 19.945 | val_Acc 0 | val_AT 20| nb_modif 7 | elaps: 0s
