Epoch 1/400: [===============] 100% | Error 13.5995 | Acc: 0.00222222 AT 19.9628 | val_Acc 0 | val_AT 19.9| nb_modif 5 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 30.413 | Acc: 0.000555556 AT 19.9967 | val_Acc 0 | val_AT 19.9995| nb_modif 8 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 43.6897 | Acc: 0.025 AT 19.8139 | val_Acc 0 | val_AT 20| nb_modif 12 | elaps: 0s
Epoch 4/400: [===============] 100% | Error 50.1159 | Acc: 0.07 AT 19.4528 | val_Acc 0.03 | val_AT 19.55| nb_modif 15 | elaps: 1s
Epoch 5/400: [===============] 100% | Error 52.8094 | Acc: 0.0816667 AT 18.7989 | val_Acc 0.265 | val_AT 15.7178| nb_modif 18 | elaps: 1s
Epoch 6/400: [===============] 100% | Error 53.6015 | Acc: 0.281667 AT 15.5083 | val_Acc 0.3 | val_AT 15.1036| nb_modif 15 | elaps: 1s
Epoch 7/400: [===============] 100% | Error 53.9301 | Acc: 0.33 AT 14.7789 | val_Acc 0.33 | val_AT 14.6455| nb_modif 15 | elaps: 1s
Epoch 8/400: [===============] 100% | Error 54.0647 | Acc: 0.336111 AT 14.7183 | val_Acc 0.5 | val_AT 12.1132| nb_modif 14 | elaps: 1s
Epoch 9/400: [===============] 100% | Error 54.1428 | Acc: 0.325556 AT 14.7494 | val_Acc 0.295 | val_AT 15.4606| nb_modif 14 | elaps: 1s
Epoch 10/400: [===============] 100% | Error 54.1937 | Acc: 0.333333 AT 14.8006 | val_Acc 0.365 | val_AT 14.6273| nb_modif 14 | elaps: 1s
Epoch 11/400: [===============] 100% | Error 54.2454 | Acc: 0.307778 AT 15.2278 | val_Acc 0.345 | val_AT 14.5181| nb_modif 14 | elaps: 1s
Epoch 12/400: [===============] 100% | Error 54.2681 | Acc: 0.32 AT 14.8128 | val_Acc 0.495 | val_AT 12.1276| nb_modif 13 | elaps: 1s
