Epoch 1/400: [===============] 100% | Error 5.53465 | Acc: 0 AT 19.9983 | val_Acc 0 | val_AT 19.9| nb_modif 2 | env_th 14 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 10.7746 | Acc: 0 AT 19.9983 | val_Acc 0 | val_AT 19.9995| nb_modif 2 | env_th 14 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 15.4871 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 2 | env_th 14 | elaps: 0s
Epoch 4/400: [===============] 100% | Error 22.9307 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 4 | env_th 14 | elaps: 0s
Epoch 5/400: [===============] 100% | Error 28.6679 | Acc: 0.00111111 AT 19.9872 | val_Acc 0.005 | val_AT 19.92| nb_modif 5 | env_th 14 | elaps: 0s
Epoch 6/400: [===============] 100% | Error 31.2803 | Acc: 0.0238889 AT 19.6456 | val_Acc 0.065 | val_AT 18.9296| nb_modif 5 | env_th 14 | elaps: 0s
Epoch 7/400: [===============] 100% | Error 32.2015 | Acc: 0.107222 AT 18.2361 | val_Acc 0.105 | val_AT 18.2196| nb_modif 4 | env_th 14 | elaps: 0s
Epoch 8/400: [===============] 100% | Error 32.6755 | Acc: 0.228333 AT 16.2183 | val_Acc 0.275 | val_AT 15.5961| nb_modif 4 | env_th 14 | elaps: 0s
Epoch 9/400: [===============] 100% | Error 32.9163 | Acc: 0.500556 AT 11.7561 | val_Acc 0.505 | val_AT 11.693| nb_modif 3 | env_th 14 | elaps: 0s
Epoch 1/400: [===============] 100% | Error 5.44765 | Acc: 0 AT 19.9983 | val_Acc 0 | val_AT 19.9| nb_modif 2 | env_th 14 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 10.711 | Acc: 0 AT 19.9983 | val_Acc 0 | val_AT 19.9995| nb_modif 2 | env_th 14 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 15.5196 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 2 | env_th 14 | elaps: 0s
Epoch 4/400: [===============] 100% | Error 23.0836 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 4 | env_th 14 | elaps: 0s
Epoch 5/400: [===============] 100% | Error 28.9024 | Acc: 0.00111111 AT 19.9983 | val_Acc 0 | val_AT 20| nb_modif 5 | env_th 14 | elaps: 0s
Epoch 6/400: [===============] 100% | Error 31.0905 | Acc: 0.0216667 AT 19.68 | val_Acc 0.04 | val_AT 19.43| nb_modif 4 | env_th 14 | elaps: 0s
Epoch 7/400: [===============] 100% | Error 32.2623 | Acc: 0.0716667 AT 18.885 | val_Acc 0.07 | val_AT 18.9221| nb_modif 5 | env_th 14 | elaps: 0s
Epoch 8/400: [===============] 100% | Error 32.6252 | Acc: 0.185556 AT 16.8733 | val_Acc 0.255 | val_AT 15.6096| nb_modif 3 | env_th 14 | elaps: 0s
Epoch 9/400: [===============] 100% | Error 32.8764 | Acc: 0.443889 AT 12.5978 | val_Acc 0.615 | val_AT 9.66305| nb_modif 3 | env_th 14 | elaps: 0s
Epoch 10/400: [===============] 100% | Error 33.022 | Acc: 0.612222 AT 9.87833 | val_Acc 0.795 | val_AT 6.97332| nb_modif 2 | env_th 14 | elaps: 0s
Epoch 1/400: [===============] 100% | Error 5.54363 | Acc: 0 AT 19.9983 | val_Acc 0 | val_AT 19.9| nb_modif 2 | env_th 14 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 10.7764 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 2 | env_th 14 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 15.486 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 2 | env_th 14 | elaps: 0s
Epoch 4/400: [===============] 100% | Error 22.8359 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 4 | env_th 14 | elaps: 0s
Epoch 5/400: [===============] 100% | Error 28.5613 | Acc: 0.00888889 AT 19.8583 | val_Acc 0.02 | val_AT 19.68| nb_modif 5 | env_th 14 | elaps: 0s
Epoch 6/400: [===============] 100% | Error 30.8406 | Acc: 0.0333333 AT 19.475 | val_Acc 0.025 | val_AT 19.5784| nb_modif 4 | env_th 14 | elaps: 0s
Epoch 7/400: [===============] 100% | Error 32.1922 | Acc: 0.0994444 AT 18.32 | val_Acc 0.16 | val_AT 17.2679| nb_modif 5 | env_th 14 | elaps: 0s
Epoch 8/400: [===============] 100% | Error 32.6179 | Acc: 0.225556 AT 16.1911 | val_Acc 0.335 | val_AT 14.3863| nb_modif 3 | env_th 14 | elaps: 0s
Epoch 9/400: [===============] 100% | Error 32.9093 | Acc: 0.470556 AT 12.1661 | val_Acc 0.585 | val_AT 10.3219| nb_modif 3 | env_th 14 | elaps: 0s
Epoch 10/400: [===============] 100% | Error 33.1129 | Acc: 0.588333 AT 10.1767 | val_Acc 0.57 | val_AT 10.5016| nb_modif 3 | env_th 14 | elaps: 0s
Epoch 1/400: [===============] 100% | Error 5.50054 | Acc: 0 AT 19.9983 | val_Acc 0 | val_AT 19.9| nb_modif 2 | env_th 14 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 10.7725 | Acc: 0 AT 19.9967 | val_Acc 0 | val_AT 19.9995| nb_modif 2 | env_th 14 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 15.5669 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 2 | env_th 14 | elaps: 0s
Epoch 4/400: [===============] 100% | Error 23.0049 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 4 | env_th 14 | elaps: 0s
Epoch 5/400: [===============] 100% | Error 27.9018 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 4 | env_th 14 | elaps: 0s
Epoch 6/400: [===============] 100% | Error 31.0066 | Acc: 0.0255556 AT 19.5944 | val_Acc 0.04 | val_AT 19.39| nb_modif 5 | env_th 14 | elaps: 0s
Epoch 7/400: [===============] 100% | Error 32.1488 | Acc: 0.0888889 AT 18.6739 | val_Acc 0.115 | val_AT 18.167| nb_modif 4 | env_th 14 | elaps: 0s
Epoch 8/400: [===============] 100% | Error 32.7199 | Acc: 0.125 AT 17.9383 | val_Acc 0.21 | val_AT 16.5008| nb_modif 4 | env_th 14 | elaps: 0s
Epoch 9/400: [===============] 100% | Error 32.9934 | Acc: 0.403889 AT 13.3656 | val_Acc 0.58 | val_AT 10.4825| nb_modif 3 | env_th 14 | elaps: 0s
Epoch 10/400: [===============] 100% | Error 33.2113 | Acc: 0.526111 AT 11.1617 | val_Acc 0.44 | val_AT 12.5324| nb_modif 3 | env_th 14 | elaps: 0s
Epoch 1/400: [===============] 100% | Error 5.55976 | Acc: 0 AT 19.9983 | val_Acc 0 | val_AT 19.9| nb_modif 2 | env_th 14 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 10.8172 | Acc: 0 AT 19.9961 | val_Acc 0 | val_AT 19.9995| nb_modif 2 | env_th 14 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 15.5879 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 2 | env_th 14 | elaps: 0s
Epoch 4/400: [===============] 100% | Error 23.006 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 4 | env_th 14 | elaps: 0s
Epoch 5/400: [===============] 100% | Error 27.9269 | Acc: 0.000555556 AT 19.9944 | val_Acc 0 | val_AT 20| nb_modif 4 | env_th 14 | elaps: 0s
Epoch 6/400: [===============] 100% | Error 31.0656 | Acc: 0.0194444 AT 19.6789 | val_Acc 0.015 | val_AT 19.795| nb_modif 5 | env_th 14 | elaps: 0s
Epoch 7/400: [===============] 100% | Error 32.2031 | Acc: 0.0638889 AT 18.9906 | val_Acc 0.115 | val_AT 18.134| nb_modif 4 | env_th 14 | elaps: 0s
Epoch 8/400: [===============] 100% | Error 32.8473 | Acc: 0.191667 AT 16.8817 | val_Acc 0.17 | val_AT 17.0957| nb_modif 4 | env_th 14 | elaps: 0s
Epoch 9/400: [===============] 100% | Error 33.1388 | Acc: 0.353889 AT 13.9511 | val_Acc 0.55 | val_AT 10.6405| nb_modif 3 | env_th 14 | elaps: 0s
Epoch 10/400: [===============] 100% | Error 33.2828 | Acc: 0.639444 AT 9.24167 | val_Acc 0.65 | val_AT 9.1032| nb_modif 2 | env_th 14 | elaps: 0s
Epoch 1/400: [===============] 100% | Error 5.48309 | Acc: 0 AT 19.9983 | val_Acc 0 | val_AT 19.9| nb_modif 2 | env_th 14 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 10.7144 | Acc: 0 AT 19.9961 | val_Acc 0 | val_AT 19.9995| nb_modif 2 | env_th 14 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 15.4649 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 2 | env_th 14 | elaps: 0s
Epoch 4/400: [===============] 100% | Error 22.8377 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 4 | env_th 14 | elaps: 0s
Epoch 5/400: [===============] 100% | Error 28.5063 | Acc: 0.00333333 AT 19.955 | val_Acc 0.01 | val_AT 19.835| nb_modif 5 | env_th 14 | elaps: 0s
Epoch 6/400: [===============] 100% | Error 30.674 | Acc: 0.0305556 AT 19.5344 | val_Acc 0.03 | val_AT 19.5242| nb_modif 4 | env_th 14 | elaps: 0s
Epoch 7/400: [===============] 100% | Error 32.0053 | Acc: 0.09 AT 18.6011 | val_Acc 0.1 | val_AT 18.3576| nb_modif 5 | env_th 14 | elaps: 0s
Epoch 8/400: [===============] 100% | Error 32.5372 | Acc: 0.191667 AT 16.85 | val_Acc 0.24 | val_AT 16.0218| nb_modif 4 | env_th 14 | elaps: 0s
Epoch 9/400: [===============] 100% | Error 32.715 | Acc: 0.363333 AT 14.0033 | val_Acc 0.545 | val_AT 10.8451| nb_modif 2 | env_th 14 | elaps: 0s
Epoch 10/400: [===============] 100% | Error 32.9198 | Acc: 0.603889 AT 9.88611 | val_Acc 0.555 | val_AT 10.8192| nb_modif 3 | env_th 14 | elaps: 0s
