Epoch 1/400: [===============] 100% | Error 15.7817 | Acc: 0.00277778 AT 19.9244 | val_Acc 0 | val_AT 19.9| nb_modif 6 | env_th 2 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 33.3758 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 10 | env_th 2 | elaps: 1s
Epoch 3/400: [===============] 100% | Error 44.4731 | Acc: 0.0627778 AT 19.5083 | val_Acc 0 | val_AT 20| nb_modif 15 | env_th 2 | elaps: 1s
Epoch 4/400: [===============] 100% | Error 49.376 | Acc: 0.103889 AT 19.2178 | val_Acc 0 | val_AT 20| nb_modif 21 | env_th 2 | elaps: 2s
Epoch 5/400: [===============] 100% | Error 50.8919 | Acc: 0.0488889 AT 19.3217 | val_Acc 0.235 | val_AT 16.02| nb_modif 24 | env_th 2 | elaps: 3s
Epoch 6/400: [===============] 100% | Error 51.2718 | Acc: 0.313333 AT 14.8733 | val_Acc 0.35 | val_AT 14.3451| nb_modif 19 | env_th 2 | elaps: 2s
Epoch 7/400: [===============] 100% | Error 51.4125 | Acc: 0.467778 AT 12.59 | val_Acc 0.535 | val_AT 11.5467| nb_modif 17 | env_th 2 | elaps: 2s
Epoch 8/400: [===============] 100% | Error 51.4735 | Acc: 0.488333 AT 12.2089 | val_Acc 0.445 | val_AT 12.8377| nb_modif 15 | env_th 2 | elaps: 2s
Epoch 9/400: [===============] 100% | Error 51.5127 | Acc: 0.510556 AT 11.9806 | val_Acc 0.425 | val_AT 13.2942| nb_modif 16 | env_th 2 | elaps: 2s
Epoch 10/400: [===============] 100% | Error 51.5342 | Acc: 0.618889 AT 10.1922 | val_Acc 0.76 | val_AT 8.00647| nb_modif 12 | env_th 2 | elaps: 1s
Epoch 11/400: [===============] 100% | Error 51.5487 | Acc: 0.751667 AT 7.99056 | val_Acc 0.785 | val_AT 7.53003| nb_modif 10 | env_th 2 | elaps: 1s
Epoch 1/400: [===============] 100% | Error 15.9351 | Acc: 0.00444444 AT 19.8572 | val_Acc 0 | val_AT 19.9| nb_modif 6 | env_th 2 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 33.9433 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 10 | env_th 2 | elaps: 1s
Epoch 3/400: [===============] 100% | Error 45.4188 | Acc: 0.0638889 AT 19.515 | val_Acc 0 | val_AT 20| nb_modif 15 | env_th 2 | elaps: 1s
Epoch 4/400: [===============] 100% | Error 50.352 | Acc: 0.102778 AT 19.2128 | val_Acc 0 | val_AT 20| nb_modif 21 | env_th 2 | elaps: 2s
Epoch 5/400: [===============] 100% | Error 51.8484 | Acc: 0.0788889 AT 18.8867 | val_Acc 0.135 | val_AT 18.01| nb_modif 24 | env_th 2 | elaps: 3s
Epoch 6/400: [===============] 100% | Error 52.2637 | Acc: 0.240556 AT 16.1767 | val_Acc 0.29 | val_AT 15.3251| nb_modif 21 | env_th 2 | elaps: 2s
Epoch 7/400: [===============] 100% | Error 52.4164 | Acc: 0.326667 AT 14.6783 | val_Acc 0.37 | val_AT 13.9966| nb_modif 20 | env_th 2 | elaps: 2s
Epoch 8/400: [===============] 100% | Error 52.47 | Acc: 0.475556 AT 12.2339 | val_Acc 0.7 | val_AT 8.57498| nb_modif 15 | env_th 2 | elaps: 1s
Epoch 9/400: [===============] 100% | Error 52.4931 | Acc: 0.762778 AT 7.81444 | val_Acc 0.715 | val_AT 8.58287| nb_modif 10 | env_th 2 | elaps: 1s
Epoch 1/400: [===============] 100% | Error 15.5971 | Acc: 0.00277778 AT 19.8978 | val_Acc 0 | val_AT 19.9| nb_modif 6 | env_th 2 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 33.765 | Acc: 0.00111111 AT 19.9928 | val_Acc 0 | val_AT 19.9995| nb_modif 11 | env_th 2 | elaps: 1s
Epoch 3/400: [===============] 100% | Error 43.8803 | Acc: 0.0705556 AT 19.4556 | val_Acc 0 | val_AT 20| nb_modif 15 | env_th 2 | elaps: 1s
