Epoch 1/400: [===============] 100% | Error 5.52824 | Acc: 0 AT 19.9983 | val_Acc 0 | val_AT 19.9| nb_modif 2 | env_th 13 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 10.956 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 2 | env_th 13 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 18.0384 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 3 | env_th 13 | elaps: 0s
Epoch 4/400: [===============] 100% | Error 25.0307 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 4 | env_th 13 | elaps: 0s
Epoch 5/400: [===============] 100% | Error 30.3154 | Acc: 0.000555556 AT 19.9983 | val_Acc 0 | val_AT 20| nb_modif 5 | env_th 13 | elaps: 0s
Epoch 6/400: [===============] 100% | Error 32.8205 | Acc: 0.0388889 AT 19.3811 | val_Acc 0.06 | val_AT 19| nb_modif 5 | env_th 13 | elaps: 0s
Epoch 7/400: [===============] 100% | Error 33.8639 | Acc: 0.0888889 AT 18.5239 | val_Acc 0.19 | val_AT 16.73| nb_modif 5 | env_th 13 | elaps: 0s
Epoch 8/400: [===============] 100% | Error 34.1817 | Acc: 0.403333 AT 13.2761 | val_Acc 0.44 | val_AT 12.5386| nb_modif 3 | env_th 13 | elaps: 0s
Epoch 9/400: [===============] 100% | Error 34.4111 | Acc: 0.663333 AT 8.99944 | val_Acc 0.81 | val_AT 6.45769| nb_modif 3 | env_th 13 | elaps: 0s
Epoch 1/400: [===============] 100% | Error 5.39453 | Acc: 0 AT 19.9983 | val_Acc 0 | val_AT 19.9| nb_modif 2 | env_th 13 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 10.7427 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 2 | env_th 13 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 17.7341 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 3 | env_th 13 | elaps: 0s
Epoch 4/400: [===============] 100% | Error 24.739 | Acc: 0.000555556 AT 19.9983 | val_Acc 0 | val_AT 20| nb_modif 4 | env_th 13 | elaps: 0s
Epoch 5/400: [===============] 100% | Error 29.3712 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 4 | env_th 13 | elaps: 0s
