Epoch 1/400: [===============] 100% | Error 8.55788 | Acc: 0.000555556 AT 19.88 | val_Acc 0 | val_AT 19.9| nb_modif 3 | env_th 6 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 16.3839 | Acc: 0.000555556 AT 19.995 | val_Acc 0 | val_AT 19.9995| nb_modif 3 | env_th 6 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 28.5544 | Acc: 0.00111111 AT 19.9906 | val_Acc 0 | val_AT 20| nb_modif 6 | env_th 6 | elaps: 0s
Epoch 4/400: [===============] 100% | Error 38.0288 | Acc: 0.00611111 AT 19.9394 | val_Acc 0 | val_AT 20| nb_modif 8 | env_th 6 | elaps: 1s
Epoch 5/400: [===============] 100% | Error 42.4901 | Acc: 0.0177778 AT 19.7772 | val_Acc 0.025 | val_AT 19.55| nb_modif 9 | env_th 6 | elaps: 1s
Epoch 6/400: [===============] 100% | Error 43.9559 | Acc: 0.103333 AT 18.2933 | val_Acc 0.335 | val_AT 14.3527| nb_modif 9 | env_th 6 | elaps: 1s
Epoch 7/400: [===============] 100% | Error 44.2621 | Acc: 0.558333 AT 10.4544 | val_Acc 0.695 | val_AT 8.26176| nb_modif 4 | env_th 6 | elaps: 0s
Epoch 1/400: [===============] 100% | Error 8.08613 | Acc: 0.00722222 AT 19.8239 | val_Acc 0 | val_AT 19.9| nb_modif 3 | env_th 6 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 15.9652 | Acc: 0.000555556 AT 19.995 | val_Acc 0 | val_AT 19.9995| nb_modif 3 | env_th 6 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 28.0465 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 6 | env_th 6 | elaps: 0s
Epoch 4/400: [===============] 100% | Error 37.7046 | Acc: 0.00666667 AT 19.9283 | val_Acc 0 | val_AT 20| nb_modif 8 | env_th 6 | elaps: 1s
Epoch 5/400: [===============] 100% | Error 42.236 | Acc: 0.00555556 AT 19.9517 | val_Acc 0 | val_AT 20| nb_modif 9 | env_th 6 | elaps: 1s
Epoch 6/400: [===============] 100% | Error 43.6883 | Acc: 0.195556 AT 16.6856 | val_Acc 0.42 | val_AT 12.895| nb_modif 8 | env_th 6 | elaps: 1s
Epoch 7/400: [===============] 100% | Error 44.1239 | Acc: 0.576111 AT 10.2656 | val_Acc 0.695 | val_AT 8.13947| nb_modif 5 | env_th 6 | elaps: 0s
Epoch 1/400: [===============] 100% | Error 7.98974 | Acc: 0.00444444 AT 19.8817 | val_Acc 0 | val_AT 19.9| nb_modif 3 | env_th 6 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 15.7867 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 3 | env_th 6 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 27.807 | Acc: 0.000555556 AT 19.9961 | val_Acc 0 | val_AT 20| nb_modif 6 | env_th 6 | elaps: 0s
Epoch 4/400: [===============] 100% | Error 36.7949 | Acc: 0.00888889 AT 19.9283 | val_Acc 0 | val_AT 20| nb_modif 8 | env_th 6 | elaps: 1s
Epoch 5/400: [===============] 100% | Error 41.1778 | Acc: 0.0305556 AT 19.5389 | val_Acc 0.06 | val_AT 19.09| nb_modif 10 | env_th 6 | elaps: 1s
