Epoch 1/400: [===============] 100% | Error 10.7687 | Acc: 0.00777778 AT 19.785 | val_Acc 0 | val_AT 19.9| nb_modif 4 | env_th 3 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 20.2393 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 4 | env_th 3 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 31.8622 | Acc: 0.00166667 AT 19.9861 | val_Acc 0 | val_AT 20| nb_modif 7 | env_th 3 | elaps: 1s
Epoch 4/400: [===============] 100% | Error 40.2029 | Acc: 0.0272222 AT 19.7872 | val_Acc 0 | val_AT 20| nb_modif 10 | env_th 3 | elaps: 1s
Epoch 5/400: [===============] 100% | Error 43.8931 | Acc: 0.0533333 AT 19.1417 | val_Acc 0.15 | val_AT 17.455| nb_modif 13 | env_th 3 | elaps: 2s
Epoch 6/400: [===============] 100% | Error 44.7271 | Acc: 0.387222 AT 13.4239 | val_Acc 0.47 | val_AT 11.7573| nb_modif 8 | env_th 3 | elaps: 1s
Epoch 7/400: [===============] 100% | Error 45.0996 | Acc: 0.505 AT 11.2111 | val_Acc 0.745 | val_AT 6.93379| nb_modif 7 | env_th 3 | elaps: 1s
Epoch 1/400: [===============] 100% | Error 10.7225 | Acc: 0.00722222 AT 19.8011 | val_Acc 0 | val_AT 19.9| nb_modif 4 | env_th 3 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 20.3919 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 4 | env_th 3 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 31.147 | Acc: 0.00111111 AT 19.9889 | val_Acc 0 | val_AT 20| nb_modif 6 | env_th 3 | elaps: 1s
Epoch 4/400: [===============] 100% | Error 40.7565 | Acc: 0.0216667 AT 19.8117 | val_Acc 0 | val_AT 20| nb_modif 10 | env_th 3 | elaps: 1s
Epoch 5/400: [===============] 100% | Error 44.7617 | Acc: 0.0233333 AT 19.6272 | val_Acc 0.17 | val_AT 17.005| nb_modif 12 | env_th 3 | elaps: 2s
Epoch 6/400: [===============] 100% | Error 45.6995 | Acc: 0.477778 AT 11.7322 | val_Acc 0.62 | val_AT 9.49502| nb_modif 8 | env_th 3 | elaps: 1s
Epoch 7/400: [===============] 100% | Error 45.9869 | Acc: 0.691667 AT 8.36556 | val_Acc 0.63 | val_AT 9.07747| nb_modif 5 | env_th 3 | elaps: 0s
Epoch 1/400: [===============] 100% | Error 7.96515 | Acc: 0.00555556 AT 19.8822 | val_Acc 0 | val_AT 19.9| nb_modif 3 | env_th 3 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 19.9685 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 5 | env_th 3 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 32.5562 | Acc: 0.00388889 AT 19.9739 | val_Acc 0 | val_AT 20| nb_modif 8 | env_th 3 | elaps: 1s
Epoch 4/400: [===============] 100% | Error 40.1127 | Acc: 0.0261111 AT 19.8178 | val_Acc 0 | val_AT 20| nb_modif 10 | env_th 3 | elaps: 1s
Epoch 5/400: [===============] 100% | Error 43.5407 | Acc: 0.0927778 AT 18.6544 | val_Acc 0.17 | val_AT 17.375| nb_modif 12 | env_th 3 | elaps: 2s
Epoch 6/400: [===============] 100% | Error 44.4321 | Acc: 0.347778 AT 13.9656 | val_Acc 0.39 | val_AT 13.2919| nb_modif 8 | env_th 3 | elaps: 1s
Epoch 7/400: [===============] 100% | Error 44.8126 | Acc: 0.503889 AT 11.3211 | val_Acc 0.6 | val_AT 9.48146| nb_modif 7 | env_th 3 | elaps: 1s
Epoch 1/400: [===============] 100% | Error 10.8675 | Acc: 0.00777778 AT 19.7172 | val_Acc 0 | val_AT 19.9| nb_modif 4 | env_th 3 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 22.5196 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 5 | env_th 3 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 35.7661 | Acc: 0.00444444 AT 19.9717 | val_Acc 0 | val_AT 20| nb_modif 9 | env_th 3 | elaps: 1s
Epoch 4/400: [===============] 100% | Error 42.9466 | Acc: 0.0388889 AT 19.6867 | val_Acc 0 | val_AT 20| nb_modif 11 | env_th 3 | elaps: 1s
Epoch 5/400: [===============] 100% | Error 45.9307 | Acc: 0.05 AT 19.2217 | val_Acc 0.29 | val_AT 15.18| nb_modif 13 | env_th 3 | elaps: 2s
Epoch 6/400: [===============] 100% | Error 46.8057 | Acc: 0.396111 AT 13.3939 | val_Acc 0.485 | val_AT 12.0109| nb_modif 10 | env_th 3 | elaps: 1s
Epoch 7/400: [===============] 100% | Error 47.183 | Acc: 0.479444 AT 11.9483 | val_Acc 0.58 | val_AT 10.1751| nb_modif 9 | env_th 3 | elaps: 1s
Epoch 8/400: [===============] 100% | Error 47.339 | Acc: 0.594444 AT 10.1394 | val_Acc 0.615 | val_AT 9.89587| nb_modif 7 | env_th 3 | elaps: 1s
