Epoch 1/400: [===============] 100% | Error 8.27669 | Acc: 0 AT 19.9944 | val_Acc 0 | val_AT 19.9| nb_modif 3 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 15.5301 | Acc: 0.000555556 AT 19.9994 | val_Acc 0 | val_AT 19.9995| nb_modif 3 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 23.351 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 4 | elaps: 0s
Epoch 4/400: [===============] 100% | Error 30.1135 | Acc: 0.00388889 AT 19.9689 | val_Acc 0 | val_AT 20| nb_modif 5 | elaps: 0s
Epoch 5/400: [===============] 100% | Error 35.4705 | Acc: 0.0455556 AT 19.3956 | val_Acc 0.13 | val_AT 18.135| nb_modif 8 | elaps: 0s
Epoch 6/400: [===============] 100% | Error 37.372 | Acc: 0.120556 AT 18.1106 | val_Acc 0.12 | val_AT 18.0757| nb_modif 7 | elaps: 0s
Epoch 7/400: [===============] 100% | Error 38.0185 | Acc: 0.227778 AT 16.47 | val_Acc 0.295 | val_AT 15.1904| nb_modif 5 | elaps: 0s
Epoch 8/400: [===============] 100% | Error 38.3731 | Acc: 0.405 AT 13.5622 | val_Acc 0.38 | val_AT 13.886| nb_modif 5 | elaps: 0s
Epoch 9/400: [===============] 100% | Error 38.6107 | Acc: 0.415 AT 13.4767 | val_Acc 0.38 | val_AT 14.0194| nb_modif 5 | elaps: 0s
Epoch 10/400: [===============] 100% | Error 38.7815 | Acc: 0.318889 AT 15.1233 | val_Acc 0.4 | val_AT 13.7401| nb_modif 6 | elaps: 0s
Epoch 11/400: [===============] 100% | Error 38.8817 | Acc: 0.425556 AT 13.5706 | val_Acc 0.29 | val_AT 15.5137| nb_modif 5 | elaps: 0s
Epoch 12/400: [===============] 100% | Error 38.9423 | Acc: 0.440556 AT 13.4328 | val_Acc 0.4 | val_AT 13.9676| nb_modif 4 | elaps: 0s
Epoch 13/400: [===============] 100% | Error 39.0198 | Acc: 0.398333 AT 13.9828 | val_Acc 0.37 | val_AT 14.1948| nb_modif 5 | elaps: 0s
Epoch 14/400: [===============] 100% | Error 39.0896 | Acc: 0.318333 AT 15.17 | val_Acc 0.33 | val_AT 14.921| nb_modif 6 | elaps: 0s
Epoch 15/400: [===============] 100% | Error 39.1311 | Acc: 0.217222 AT 16.8028 | val_Acc 0.235 | val_AT 16.5146| nb_modif 6 | elaps: 0s
Epoch 16/400: [===============] 100% | Error 39.1594 | Acc: 0.251667 AT 16.1761 | val_Acc 0.255 | val_AT 16.0176| nb_modif 5 | elaps: 0s
Epoch 17/400: [===============] 100% | Error 39.1912 | Acc: 0.276667 AT 15.7589 | val_Acc 0.185 | val_AT 17.0901| nb_modif 6 | elaps: 0s
Epoch 18/400: [===============] 100% | Error 39.2133 | Acc: 0.228333 AT 16.5228 | val_Acc 0.275 | val_AT 15.8705| nb_modif 5 | elaps: 0s
Epoch 19/400: [===============] 100% | Error 39.2349 | Acc: 0.2 AT 17.1061 | val_Acc 0.205 | val_AT 16.9944| nb_modif 6 | elaps: 0s
Epoch 20/400: [===============] 100% | Error 39.266 | Acc: 0.205 AT 17.0106 | val_Acc 0.18 | val_AT 17.295| nb_modif 5 | elaps: 0s
Epoch 21/400: [===============] 100% | Error 39.2807 | Acc: 0.203889 AT 17.0072 | val_Acc 0.24 | val_AT 16.3965| nb_modif 6 | elaps: 0s
Epoch 22/400: [===============] 100% | Error 39.2913 | Acc: 0.262222 AT 16.0139 | val_Acc 0.245 | val_AT 16.232| nb_modif 5 | elaps: 0s
Epoch 23/400: [===============] 100% | Error 39.3022 | Acc: 0.298889 AT 15.5539 | val_Acc 0.225 | val_AT 16.5112| nb_modif 6 | elaps: 0s
Epoch 24/400: [===============] 100% | Error 39.3087 | Acc: 0.318889 AT 15.1917 | val_Acc 0.31 | val_AT 15.3026| nb_modif 4 | elaps: 0s
Epoch 25/400: [===============] 100% | Error 39.3176 | Acc: 0.326111 AT 15.19 | val_Acc 0.235 | val_AT 16.6065| nb_modif 6 | elaps: 0s
Epoch 26/400: [===============] 100% | Error 39.3445 | Acc: 0.286111 AT 15.7683 | val_Acc 0.195 | val_AT 17.073| nb_modif 5 | elaps: 0s
Epoch 27/400: [===============] 100% | Error 39.351 | Acc: 0.18 AT 17.2244 | val_Acc 0.215 | val_AT 16.5704| nb_modif 5 | elaps: 0s
Epoch 28/400: [===============] 100% | Error 39.3956 | Acc: 0.227778 AT 16.44 | val_Acc 0.265 | val_AT 15.9379| nb_modif 6 | elaps: 0s
Epoch 29/400: [===============] 100% | Error 39.4013 | Acc: 0.260556 AT 16.0317 | val_Acc 0.285 | val_AT 15.7297| nb_modif 5 | elaps: 0s
Epoch 30/400: [===============] 100% | Error 39.4081 | Acc: 0.295 AT 15.5689 | val_Acc 0.315 | val_AT 15.1436| nb_modif 6 | elaps: 0s
Epoch 31/400: [===============] 100% | Error 39.4363 | Acc: 0.323889 AT 14.9417 | val_Acc 0.305 | val_AT 15.0957| nb_modif 5 | elaps: 0s
Epoch 32/400: [===============] 100% | Error 39.4635 | Acc: 0.321667 AT 15.0622 | val_Acc 0.295 | val_AT 15.4455| nb_modif 4 | elaps: 0s
Epoch 33/400: [===============] 100% | Error 39.5156 | Acc: 0.326111 AT 15.1111 | val_Acc 0.325 | val_AT 15.3372| nb_modif 6 | elaps: 0s
Epoch 34/400: [===============] 100% | Error 39.5229 | Acc: 0.273333 AT 15.8422 | val_Acc 0.225 | val_AT 16.4517| nb_modif 5 | elaps: 0s
Epoch 35/400: [===============] 100% | Error 39.5527 | Acc: 0.314444 AT 15.1044 | val_Acc 0.355 | val_AT 14.3223| nb_modif 5 | elaps: 0s
Epoch 36/400: [===============] 100% | Error 39.5811 | Acc: 0.325 AT 14.8811 | val_Acc 0.265 | val_AT 15.7766| nb_modif 5 | elaps: 0s
Epoch 37/400: [===============] 100% | Error 39.6096 | Acc: 0.278333 AT 15.6433 | val_Acc 0.27 | val_AT 15.7839| nb_modif 5 | elaps: 0s
Epoch 38/400: [===============] 100% | Error 39.6619 | Acc: 0.296111 AT 15.4011 | val_Acc 0.28 | val_AT 15.6289| nb_modif 5 | elaps: 0s
Epoch 39/400: [===============] 100% | Error 39.6683 | Acc: 0.326111 AT 14.8811 | val_Acc 0.305 | val_AT 15.1031| nb_modif 5 | elaps: 0s
Epoch 40/400: [===============] 100% | Error 39.6741 | Acc: 0.343333 AT 14.4417 | val_Acc 0.3 | val_AT 15.0355| nb_modif 5 | elaps: 0s
Epoch 41/400: [===============] 100% | Error 39.6788 | Acc: 0.358889 AT 14.0228 | val_Acc 0.335 | val_AT 14.4302| nb_modif 4 | elaps: 0s
Epoch 42/400: [===============] 100% | Error 39.6833 | Acc: 0.430556 AT 12.9056 | val_Acc 0.43 | val_AT 12.9172| nb_modif 4 | elaps: 0s
Epoch 43/400: [===============] 100% | Error 39.6877 | Acc: 0.481111 AT 12.035 | val_Acc 0.45 | val_AT 12.3746| nb_modif 4 | elaps: 0s
Epoch 44/400: [===============] 100% | Error 39.6909 | Acc: 0.495 AT 11.5378 | val_Acc 0.46 | val_AT 12.0369| nb_modif 3 | elaps: 0s
Epoch 45/400: [===============] 100% | Error 39.6951 | Acc: 0.495 AT 11.4956 | val_Acc 0.49 | val_AT 11.6202| nb_modif 4 | elaps: 0s
Epoch 46/400: [===============] 100% | Error 39.6983 | Acc: 0.553333 AT 10.6594 | val_Acc 0.52 | val_AT 11.1481| nb_modif 3 | elaps: 0s
Epoch 47/400: [===============] 100% | Error 39.7232 | Acc: 0.608889 AT 9.72389 | val_Acc 0.57 | val_AT 10.2907| nb_modif 3 | elaps: 0s
Epoch 48/400: [===============] 100% | Error 39.7266 | Acc: 0.615556 AT 9.47389 | val_Acc 0.58 | val_AT 10.0115| nb_modif 3 | elaps: 0s
Epoch 49/400: [===============] 100% | Error 39.7299 | Acc: 0.647778 AT 8.83222 | val_Acc 0.6 | val_AT 9.57506| nb_modif 3 | elaps: 0s
Epoch 50/400: [===============] 100% | Error 39.7331 | Acc: 0.696667 AT 7.96944 | val_Acc 0.6 | val_AT 9.47788| nb_modif 3 | elaps: 0s
Epoch 51/400: [===============] 100% | Error 39.7364 | Acc: 0.679444 AT 8.16056 | val_Acc 0.61 | val_AT 9.28239| nb_modif 3 | elaps: 0s
Epoch 52/400: [===============] 100% | Error 39.7385 | Acc: 0.688889 AT 7.93167 | val_Acc 0.6 | val_AT 9.33641| nb_modif 2 | elaps: 0s
Epoch 53/400: [===============] 100% | Error 39.7417 | Acc: 0.705 AT 7.53556 | val_Acc 0.655 | val_AT 8.38168| nb_modif 3 | elaps: 0s
Epoch 54/400: [===============] 100% | Error 39.752 | Acc: 0.733889 AT 7.09222 | val_Acc 0.69 | val_AT 7.78191| nb_modif 2 | elaps: 0s
Epoch 55/400: [===============] 100% | Error 39.7768 | Acc: 0.750556 AT 6.74389 | val_Acc 0.735 | val_AT 6.92891| nb_modif 2 | elaps: 0s
Epoch 56/400: [===============] 100% | Error 39.8015 | Acc: 0.753333 AT 6.64 | val_Acc 0.725 | val_AT 7.05964| nb_modif 2 | elaps: 0s
Epoch 57/400: [===============] 100% | Error 39.8047 | Acc: 0.71 AT 7.37111 | val_Acc 0.645 | val_AT 8.3603| nb_modif 3 | elaps: 0s
Epoch 58/400: [===============] 100% | Error 39.8332 | Acc: 0.635 AT 8.56556 | val_Acc 0.61 | val_AT 8.9318| nb_modif 4 | elaps: 0s
Epoch 59/400: [===============] 100% | Error 39.8434 | Acc: 0.607778 AT 8.97944 | val_Acc 0.605 | val_AT 9.02966| nb_modif 3 | elaps: 0s
Epoch 60/400: [===============] 100% | Error 39.8468 | Acc: 0.608333 AT 8.92722 | val_Acc 0.545 | val_AT 10.1851| nb_modif 3 | elaps: 0s
Epoch 61/400: [===============] 100% | Error 39.876 | Acc: 0.568889 AT 9.61111 | val_Acc 0.48 | val_AT 11.2209| nb_modif 3 | elaps: 0s
Epoch 62/400: [===============] 100% | Error 39.8794 | Acc: 0.564444 AT 9.66611 | val_Acc 0.535 | val_AT 10.2661| nb_modif 3 | elaps: 0s
Epoch 63/400: [===============] 100% | Error 39.883 | Acc: 0.603333 AT 8.94111 | val_Acc 0.53 | val_AT 10.3013| nb_modif 2 | elaps: 0s
Epoch 64/400: [===============] 100% | Error 39.8865 | Acc: 0.600556 AT 8.945 | val_Acc 0.57 | val_AT 9.57651| nb_modif 3 | elaps: 0s
Epoch 65/400: [===============] 100% | Error 39.89 | Acc: 0.621111 AT 8.56444 | val_Acc 0.56 | val_AT 9.71288| nb_modif 3 | elaps: 0s
Epoch 66/400: [===============] 100% | Error 39.8922 | Acc: 0.643889 AT 8.13167 | val_Acc 0.65 | val_AT 8.07856| nb_modif 2 | elaps: 0s
Epoch 67/400: [===============] 100% | Error 39.895 | Acc: 0.67 AT 7.68611 | val_Acc 0.665 | val_AT 7.80539| nb_modif 2 | elaps: 0s
Epoch 68/400: [===============] 100% | Error 39.8972 | Acc: 0.686667 AT 7.445 | val_Acc 0.655 | val_AT 7.99403| nb_modif 2 | elaps: 0s
Epoch 69/400: [===============] 100% | Error 39.9233 | Acc: 0.691111 AT 7.39 | val_Acc 0.665 | val_AT 7.83997| nb_modif 3 | elaps: 0s
Epoch 70/400: [===============] 100% | Error 39.9275 | Acc: 0.689444 AT 7.395 | val_Acc 0.67 | val_AT 7.7042| nb_modif 3 | elaps: 0s
Epoch 71/400: [===============] 100% | Error 39.9298 | Acc: 0.668333 AT 7.72111 | val_Acc 0.655 | val_AT 7.90852| nb_modif 2 | elaps: 0s
Epoch 72/400: [===============] 100% | Error 39.933 | Acc: 0.667222 AT 7.68111 | val_Acc 0.66 | val_AT 7.76954| nb_modif 3 | elaps: 0s
Epoch 73/400: [===============] 100% | Error 39.9351 | Acc: 0.669444 AT 7.58278 | val_Acc 0.67 | val_AT 7.52385| nb_modif 2 | elaps: 0s
Epoch 74/400: [===============] 100% | Error 39.9383 | Acc: 0.661111 AT 7.69833 | val_Acc 0.655 | val_AT 7.75262| nb_modif 3 | elaps: 0s
Epoch 75/400: [===============] 100% | Error 39.9416 | Acc: 0.649444 AT 7.95667 | val_Acc 0.655 | val_AT 7.83876| nb_modif 3 | elaps: 0s
Epoch 76/400: [===============] 100% | Error 39.9438 | Acc: 0.641667 AT 8.15222 | val_Acc 0.64 | val_AT 8.19919| nb_modif 2 | elaps: 0s
Epoch 77/400: [===============] 100% | Error 39.97 | Acc: 0.64 AT 8.29833 | val_Acc 0.65 | val_AT 8.056| nb_modif 3 | elaps: 0s
Epoch 78/400: [===============] 100% | Error 39.9722 | Acc: 0.665556 AT 7.88889 | val_Acc 0.705 | val_AT 7.23528| nb_modif 2 | elaps: 0s
Epoch 79/400: [===============] 100% | Error 39.9839 | Acc: 0.668333 AT 7.92222 | val_Acc 0.69 | val_AT 7.43618| nb_modif 3 | elaps: 0s
Epoch 80/400: [===============] 100% | Error 39.986 | Acc: 0.672778 AT 7.75444 | val_Acc 0.665 | val_AT 7.73218| nb_modif 2 | elaps: 0s
Epoch 81/400: [===============] 100% | Error 39.9893 | Acc: 0.709444 AT 7.02444 | val_Acc 0.71 | val_AT 7.12366| nb_modif 3 | elaps: 0s
Epoch 82/400: [===============] 100% | Error 40.0325 | Acc: 0.721667 AT 6.75389 | val_Acc 0.7 | val_AT 7.15062| nb_modif 2 | elaps: 0s
Epoch 83/400: [===============] 100% | Error 40.0347 | Acc: 0.72 AT 6.66444 | val_Acc 0.705 | val_AT 6.94575| nb_modif 2 | elaps: 0s
Epoch 84/400: [===============] 100% | Error 40.0378 | Acc: 0.736111 AT 6.35167 | val_Acc 0.715 | val_AT 6.73973| nb_modif 3 | elaps: 0s
Epoch 85/400: [===============] 100% | Error 40.0616 | Acc: 0.736667 AT 6.31333 | val_Acc 0.735 | val_AT 6.2787| nb_modif 1 | elaps: 0s
Epoch 86/400: [===============] 100% | Error 40.0637 | Acc: 0.737222 AT 6.24167 | val_Acc 0.745 | val_AT 6.09139| nb_modif 2 | elaps: 0s
Epoch 87/400: [===============] 100% | Error 40.0648 | Acc: 0.755 AT 5.90278 | val_Acc 0.765 | val_AT 5.65046| nb_modif 1 | elaps: 0s
Epoch 88/400: [===============] 100% | Error 40.0658 | Acc: 0.779444 AT 5.43944 | val_Acc 0.785 | val_AT 5.27325| nb_modif 1 | elaps: 0s
Epoch 89/400: [===============] 100% | Error 40.0668 | Acc: 0.812778 AT 4.84278 | val_Acc 0.83 | val_AT 4.48637| nb_modif 1 | elaps: 0s
Epoch 90/400: [===============] 100% | Error 40.0678 | Acc: 0.853889 AT 4.11278 | val_Acc 0.88 | val_AT 3.55743| nb_modif 1 | elaps: 0s
Epoch 91/400: [===============] 100% | Error 40.0689 | Acc: 0.883889 AT 3.55056 | val_Acc 0.91 | val_AT 2.96279| nb_modif 1 | elaps: 0s
Epoch 92/400: [===============] 100% | Error 40.0699 | Acc: 0.890556 AT 3.42389 | val_Acc 0.9 | val_AT 3.10981| nb_modif 1 | elaps: 0s
Epoch 93/400: [===============] 100% | Error 40.0709 | Acc: 0.901667 AT 3.22333 | val_Acc 0.9 | val_AT 3.14055| nb_modif 1 | elaps: 0s
Epoch 94/400: [===============] 100% | Error 40.072 | Acc: 0.906667 AT 3.10778 | val_Acc 0.895 | val_AT 3.2207| nb_modif 1 | elaps: 0s
Epoch 95/400: [===============] 100% | Error 40.0796 | Acc: 0.893889 AT 3.315 | val_Acc 0.885 | val_AT 3.4611| nb_modif 1 | elaps: 0s
Epoch 96/400: [===============] 100% | Error 40.081 | Acc: 0.872778 AT 3.70389 | val_Acc 0.85 | val_AT 4.05231| nb_modif 1 | elaps: 0s
Epoch 97/400: [===============] 100% | Error 40.0831 | Acc: 0.857778 AT 3.93444 | val_Acc 0.84 | val_AT 4.17526| nb_modif 2 | elaps: 0s
Epoch 98/400: [===============] 100% | Error 40.0852 | Acc: 0.84 AT 4.26389 | val_Acc 0.825 | val_AT 4.49088| nb_modif 2 | elaps: 0s
Epoch 99/400: [===============] 100% | Error 40.143 | Acc: 0.828889 AT 4.46444 | val_Acc 0.845 | val_AT 4.11745| nb_modif 2 | elaps: 0s
Epoch 100/400: [===============] 100% | Error 40.1486 | Acc: 0.826111 AT 4.49778 | val_Acc 0.84 | val_AT 4.21559| nb_modif 1 | elaps: 0s
Epoch 101/400: [===============] 100% | Error 40.1507 | Acc: 0.813889 AT 4.73278 | val_Acc 0.805 | val_AT 4.85108| nb_modif 2 | elaps: 0s
Epoch 102/400: [===============] 100% | Error 40.1527 | Acc: 0.807778 AT 4.85389 | val_Acc 0.79 | val_AT 5.10926| nb_modif 2 | elaps: 0s
Epoch 103/400: [===============] 100% | Error 40.2118 | Acc: 0.797222 AT 5.00611 | val_Acc 0.795 | val_AT 4.96055| nb_modif 2 | elaps: 0s
Epoch 104/400: [===============] 100% | Error 40.2138 | Acc: 0.814444 AT 4.66722 | val_Acc 0.815 | val_AT 4.6048| nb_modif 2 | elaps: 0s
Epoch 105/400: [===============] 100% | Error 40.215 | Acc: 0.798333 AT 4.98667 | val_Acc 0.835 | val_AT 4.21302| nb_modif 1 | elaps: 0s
Epoch 106/400: [===============] 100% | Error 40.217 | Acc: 0.822778 AT 4.515 | val_Acc 0.865 | val_AT 3.70607| nb_modif 2 | elaps: 0s
Epoch 107/400: [===============] 100% | Error 40.2181 | Acc: 0.818889 AT 4.62611 | val_Acc 0.84 | val_AT 4.10853| nb_modif 1 | elaps: 0s
Epoch 108/400: [===============] 100% | Error 40.2218 | Acc: 0.812778 AT 4.73389 | val_Acc 0.825 | val_AT 4.33554| nb_modif 2 | elaps: 0s
Epoch 109/400: [===============] 100% | Error 40.2228 | Acc: 0.796111 AT 4.98278 | val_Acc 0.825 | val_AT 4.34168| nb_modif 1 | elaps: 0s
Epoch 110/400: [===============] 100% | Error 40.225 | Acc: 0.805 AT 4.82056 | val_Acc 0.83 | val_AT 4.36671| nb_modif 2 | elaps: 0s
Epoch 111/400: [===============] 100% | Error 40.2497 | Acc: 0.812778 AT 4.68333 | val_Acc 0.82 | val_AT 4.47683| nb_modif 2 | elaps: 0s
Epoch 112/400: [===============] 100% | Error 40.2607 | Acc: 0.806111 AT 4.77333 | val_Acc 0.79 | val_AT 4.99238| nb_modif 1 | elaps: 0s
Epoch 113/400: [===============] 100% | Error 40.2618 | Acc: 0.828333 AT 4.34222 | val_Acc 0.815 | val_AT 4.50496| nb_modif 1 | elaps: 0s
Epoch 114/400: [===============] 100% | Error 40.2628 | Acc: 0.847778 AT 4 | val_Acc 0.84 | val_AT 4.05752| nb_modif 1 | elaps: 0s
Epoch 115/400: [===============] 100% | Error 40.2649 | Acc: 0.852222 AT 3.87944 | val_Acc 0.865 | val_AT 3.60029| nb_modif 2 | elaps: 0s
Epoch 116/400: [===============] 100% | Error 40.266 | Acc: 0.866667 AT 3.63167 | val_Acc 0.845 | val_AT 3.943| nb_modif 1 | elaps: 0s
Epoch 117/400: [===============] 100% | Error 40.268 | Acc: 0.858333 AT 3.75833 | val_Acc 0.85 | val_AT 3.81972| nb_modif 2 | elaps: 0s
Epoch 118/400: [===============] 100% | Error 40.2691 | Acc: 0.853889 AT 3.83222 | val_Acc 0.835 | val_AT 4.0941| nb_modif 1 | elaps: 0s
Epoch 119/400: [===============] 100% | Error 40.2712 | Acc: 0.857778 AT 3.76944 | val_Acc 0.835 | val_AT 4.12047| nb_modif 2 | elaps: 0s
Epoch 120/400: [===============] 100% | Error 40.2732 | Acc: 0.858333 AT 3.77722 | val_Acc 0.83 | val_AT 4.2056| nb_modif 2 | elaps: 0s
Epoch 121/400: [===============] 100% | Error 40.2753 | Acc: 0.855556 AT 3.81667 | val_Acc 0.815 | val_AT 4.48603| nb_modif 2 | elaps: 0s
Epoch 122/400: [===============] 100% | Error 40.2763 | Acc: 0.858889 AT 3.75556 | val_Acc 0.835 | val_AT 4.11243| nb_modif 1 | elaps: 0s
Epoch 123/400: [===============] 100% | Error 40.3012 | Acc: 0.861667 AT 3.70222 | val_Acc 0.845 | val_AT 3.92556| nb_modif 2 | elaps: 0s
Epoch 124/400: [===============] 100% | Error 40.3043 | Acc: 0.858889 AT 3.74778 | val_Acc 0.84 | val_AT 4.00463| nb_modif 2 | elaps: 0s
Epoch 125/400: [===============] 100% | Error 40.3053 | Acc: 0.853889 AT 3.83889 | val_Acc 0.84 | val_AT 4.00002| nb_modif 1 | elaps: 0s
Epoch 126/400: [===============] 100% | Error 40.3073 | Acc: 0.842778 AT 4.04 | val_Acc 0.835 | val_AT 4.085| nb_modif 2 | elaps: 0s
Epoch 127/400: [===============] 100% | Error 40.3314 | Acc: 0.847222 AT 3.94278 | val_Acc 0.84 | val_AT 3.99042| nb_modif 1 | elaps: 0s
Epoch 128/400: [===============] 100% | Error 40.3334 | Acc: 0.85 AT 3.88667 | val_Acc 0.835 | val_AT 4.08495| nb_modif 2 | elaps: 0s
Epoch 129/400: [===============] 100% | Error 40.3344 | Acc: 0.842778 AT 4.01667 | val_Acc 0.835 | val_AT 4.08042| nb_modif 1 | elaps: 0s
Epoch 130/400: [===============] 100% | Error 40.3365 | Acc: 0.837222 AT 4.12111 | val_Acc 0.81 | val_AT 4.5454| nb_modif 2 | elaps: 0s
Epoch 131/400: [===============] 100% | Error 40.3375 | Acc: 0.823333 AT 4.37611 | val_Acc 0.815 | val_AT 4.45273| nb_modif 1 | elaps: 0s
Epoch 132/400: [===============] 100% | Error 40.3385 | Acc: 0.835556 AT 4.14444 | val_Acc 0.825 | val_AT 4.26226| nb_modif 1 | elaps: 0s
Epoch 133/400: [===============] 100% | Error 40.3405 | Acc: 0.853333 AT 3.80611 | val_Acc 0.845 | val_AT 3.88131| nb_modif 2 | elaps: 0s
Epoch 134/400: [===============] 100% | Error 40.3415 | Acc: 0.858333 AT 3.71278 | val_Acc 0.84 | val_AT 3.97441| nb_modif 1 | elaps: 0s
Epoch 135/400: [===============] 100% | Error 40.3425 | Acc: 0.850556 AT 3.85889 | val_Acc 0.845 | val_AT 3.87987| nb_modif 1 | elaps: 0s
Epoch 136/400: [===============] 100% | Error 40.3435 | Acc: 0.863889 AT 3.60889 | val_Acc 0.85 | val_AT 3.7744| nb_modif 1 | elaps: 0s
Epoch 137/400: [===============] 100% | Error 40.3445 | Acc: 0.865 AT 3.58389 | val_Acc 0.86 | val_AT 3.58887| nb_modif 1 | elaps: 0s
Epoch 138/400: [===============] 100% | Error 40.3455 | Acc: 0.871111 AT 3.46722 | val_Acc 0.875 | val_AT 3.31294| nb_modif 1 | elaps: 0s
Epoch 139/400: [===============] 100% | Error 40.3465 | Acc: 0.877778 AT 3.34056 | val_Acc 0.87 | val_AT 3.40656| nb_modif 1 | elaps: 0s
Epoch 140/400: [===============] 100% | Error 40.3712 | Acc: 0.881111 AT 3.29167 | val_Acc 0.89 | val_AT 3.03203| nb_modif 2 | elaps: 0s
Epoch 141/400: [===============] 100% | Error 40.3722 | Acc: 0.89 AT 3.12944 | val_Acc 0.885 | val_AT 3.13016| nb_modif 1 | elaps: 0s
Epoch 142/400: [===============] 100% | Error 40.3732 | Acc: 0.890556 AT 3.11833 | val_Acc 0.88 | val_AT 3.22065| nb_modif 1 | elaps: 0s
Epoch 143/400: [===============] 100% | Error 40.3742 | Acc: 0.889444 AT 3.12222 | val_Acc 0.885 | val_AT 3.1861| nb_modif 1 | elaps: 0s
Epoch 144/400: [===============] 100% | Error 40.4055 | Acc: 0.890556 AT 3.11056 | val_Acc 0.885 | val_AT 3.13093| nb_modif 1 | elaps: 0s
Epoch 145/400: [===============] 100% | Error 40.4065 | Acc: 0.9 AT 2.93889 | val_Acc 0.895 | val_AT 2.96565| nb_modif 1 | elaps: 0s
