Epoch 1/400: [===============] 100% | Error 10.8491 | Acc: 0.00444444 AT 19.8089 | val_Acc 0 | val_AT 19.9| nb_modif 4 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 22.7616 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 5 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 35.7218 | Acc: 0.00555556 AT 19.9572 | val_Acc 0 | val_AT 20| nb_modif 8 | elaps: 0s
Epoch 4/400: [===============] 100% | Error 43.5707 | Acc: 0.0222222 AT 19.8256 | val_Acc 0 | val_AT 20| nb_modif 10 | elaps: 0s
Epoch 5/400: [===============] 100% | Error 47.1892 | Acc: 0.117778 AT 18.2439 | val_Acc 0.14 | val_AT 17.72| nb_modif 12 | elaps: 1s
Epoch 6/400: [===============] 100% | Error 48.2937 | Acc: 0.331667 AT 14.6606 | val_Acc 0.445 | val_AT 12.9086| nb_modif 9 | elaps: 0s
Epoch 7/400: [===============] 100% | Error 48.7809 | Acc: 0.466667 AT 12.3556 | val_Acc 0.525 | val_AT 11.6095| nb_modif 8 | elaps: 0s
Epoch 8/400: [===============] 100% | Error 49.0541 | Acc: 0.447222 AT 12.9461 | val_Acc 0.435 | val_AT 13.043| nb_modif 9 | elaps: 0s
Epoch 9/400: [===============] 100% | Error 49.1914 | Acc: 0.448333 AT 12.965 | val_Acc 0.36 | val_AT 14.2602| nb_modif 8 | elaps: 0s
Epoch 10/400: [===============] 100% | Error 49.2904 | Acc: 0.436667 AT 13.025 | val_Acc 0.56 | val_AT 10.9513| nb_modif 8 | elaps: 0s
Epoch 11/400: [===============] 100% | Error 49.3512 | Acc: 0.537222 AT 11.4294 | val_Acc 0.65 | val_AT 9.64976| nb_modif 7 | elaps: 0s
Epoch 12/400: [===============] 100% | Error 49.4007 | Acc: 0.583889 AT 10.7639 | val_Acc 0.605 | val_AT 10.6082| nb_modif 8 | elaps: 0s
Epoch 13/400: [===============] 100% | Error 49.4571 | Acc: 0.476667 AT 12.5794 | val_Acc 0.415 | val_AT 13.473| nb_modif 8 | elaps: 0s
Epoch 14/400: [===============] 100% | Error 49.4885 | Acc: 0.383333 AT 13.8339 | val_Acc 0.41 | val_AT 13.4774| nb_modif 9 | elaps: 0s
Epoch 15/400: [===============] 100% | Error 49.5448 | Acc: 0.397222 AT 13.7383 | val_Acc 0.385 | val_AT 13.8674| nb_modif 9 | elaps: 0s
Epoch 16/400: [===============] 100% | Error 49.5604 | Acc: 0.396667 AT 13.7183 | val_Acc 0.5 | val_AT 11.9193| nb_modif 8 | elaps: 0s
Epoch 17/400: [===============] 100% | Error 49.575 | Acc: 0.439444 AT 12.9122 | val_Acc 0.42 | val_AT 13.0996| nb_modif 9 | elaps: 0s
Epoch 18/400: [===============] 100% | Error 49.5848 | Acc: 0.521667 AT 11.5233 | val_Acc 0.49 | val_AT 12.0555| nb_modif 7 | elaps: 0s
Epoch 19/400: [===============] 100% | Error 49.5951 | Acc: 0.471111 AT 12.3711 | val_Acc 0.395 | val_AT 13.5503| nb_modif 8 | elaps: 0s
Epoch 20/400: [===============] 100% | Error 49.6045 | Acc: 0.476667 AT 12.44 | val_Acc 0.5 | val_AT 11.9828| nb_modif 8 | elaps: 0s
Epoch 21/400: [===============] 100% | Error 49.6122 | Acc: 0.498333 AT 12.1639 | val_Acc 0.45 | val_AT 12.8949| nb_modif 7 | elaps: 0s
Epoch 22/400: [===============] 100% | Error 49.6197 | Acc: 0.529444 AT 11.7294 | val_Acc 0.555 | val_AT 11.4245| nb_modif 7 | elaps: 0s
Epoch 23/400: [===============] 100% | Error 49.6507 | Acc: 0.555 AT 11.3044 | val_Acc 0.46 | val_AT 12.6421| nb_modif 8 | elaps: 0s
Epoch 24/400: [===============] 100% | Error 49.6593 | Acc: 0.502222 AT 12.1294 | val_Acc 0.49 | val_AT 12.0982| nb_modif 8 | elaps: 0s
