Epoch 1/400: [===============] 100% | Error 8.31568 | Acc: 0.00111111 AT 19.98 | val_Acc 0 | val_AT 19.9| nb_modif 3 | env_th 9 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 13.5218 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 2 | env_th 9 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 23.9441 | Acc: 0.000555556 AT 19.9944 | val_Acc 0 | val_AT 20| nb_modif 5 | env_th 9 | elaps: 0s
Epoch 4/400: [===============] 100% | Error 30.7545 | Acc: 0.00277778 AT 19.9783 | val_Acc 0 | val_AT 20| nb_modif 5 | env_th 9 | elaps: 0s
Epoch 5/400: [===============] 100% | Error 36.0806 | Acc: 0.0327778 AT 19.4578 | val_Acc 0.09 | val_AT 18.43| nb_modif 8 | env_th 9 | elaps: 1s
Epoch 6/400: [===============] 100% | Error 37.6734 | Acc: 0.155556 AT 17.3844 | val_Acc 0.245 | val_AT 16.0222| nb_modif 7 | env_th 9 | elaps: 0s
Epoch 7/400: [===============] 100% | Error 38.1213 | Acc: 0.449444 AT 12.3161 | val_Acc 0.48 | val_AT 11.8601| nb_modif 4 | env_th 9 | elaps: 0s
Epoch 8/400: [===============] 100% | Error 38.38 | Acc: 0.601667 AT 9.78833 | val_Acc 0.655 | val_AT 8.8943| nb_modif 4 | env_th 9 | elaps: 0s
Epoch 1/400: [===============] 100% | Error 8.35624 | Acc: 0.00388889 AT 19.945 | val_Acc 0 | val_AT 19.9| nb_modif 3 | env_th 9 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 13.6936 | Acc: 0.000555556 AT 19.995 | val_Acc 0 | val_AT 19.9995| nb_modif 2 | env_th 9 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 22.7647 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 4 | env_th 9 | elaps: 0s
Epoch 4/400: [===============] 100% | Error 33.255 | Acc: 0.00111111 AT 19.9861 | val_Acc 0 | val_AT 20| nb_modif 7 | env_th 9 | elaps: 0s
Epoch 5/400: [===============] 100% | Error 38.4274 | Acc: 0.00333333 AT 19.9761 | val_Acc 0.03 | val_AT 19.46| nb_modif 7 | env_th 9 | elaps: 0s
Epoch 6/400: [===============] 100% | Error 40.4784 | Acc: 0.102778 AT 18.3194 | val_Acc 0.17 | val_AT 17.2273| nb_modif 7 | env_th 9 | elaps: 0s
Epoch 7/400: [===============] 100% | Error 41.2215 | Acc: 0.351667 AT 14.08 | val_Acc 0.475 | val_AT 12.0461| nb_modif 6 | env_th 9 | elaps: 0s
Epoch 8/400: [===============] 100% | Error 41.496 | Acc: 0.622222 AT 9.28944 | val_Acc 0.78 | val_AT 6.54523| nb_modif 4 | env_th 9 | elaps: 0s
Epoch 1/400: [===============] 100% | Error 8.09144 | Acc: 0.00333333 AT 19.94 | val_Acc 0 | val_AT 19.9| nb_modif 3 | env_th 9 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 13.3207 | Acc: 0.000555556 AT 19.995 | val_Acc 0 | val_AT 19.9995| nb_modif 2 | env_th 9 | elaps: 0s
