Epoch 1/400: [===============] 100% | Error 5.51728 | Acc: 0 AT 19.9983 | val_Acc 0 | val_AT 19.9| nb_modif 2 | env_th 12 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 10.7698 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 2 | env_th 12 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 19.6147 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 4 | env_th 12 | elaps: 0s
Epoch 4/400: [===============] 100% | Error 25.8833 | Acc: 0.00111111 AT 19.9961 | val_Acc 0 | val_AT 20| nb_modif 4 | env_th 12 | elaps: 0s
Epoch 5/400: [===============] 100% | Error 30.519 | Acc: 0.00277778 AT 19.9817 | val_Acc 0.02 | val_AT 19.7| nb_modif 5 | env_th 12 | elaps: 0s
Epoch 6/400: [===============] 100% | Error 33.059 | Acc: 0.0855556 AT 18.6844 | val_Acc 0.11 | val_AT 18.1485| nb_modif 6 | env_th 12 | elaps: 0s
Epoch 7/400: [===============] 100% | Error 33.8854 | Acc: 0.14 AT 17.6606 | val_Acc 0.205 | val_AT 16.6807| nb_modif 5 | env_th 12 | elaps: 0s
Epoch 8/400: [===============] 100% | Error 34.2287 | Acc: 0.416111 AT 13.0306 | val_Acc 0.71 | val_AT 8.2334| nb_modif 4 | env_th 12 | elaps: 0s
Epoch 9/400: [===============] 100% | Error 34.4214 | Acc: 0.568333 AT 10.5161 | val_Acc 0.595 | val_AT 9.95617| nb_modif 3 | env_th 12 | elaps: 0s
Epoch 1/400: [===============] 100% | Error 5.53436 | Acc: 0 AT 19.9983 | val_Acc 0 | val_AT 19.9| nb_modif 2 | env_th 12 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 10.8495 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 2 | env_th 12 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 19.9667 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 4 | env_th 12 | elaps: 0s
Epoch 4/400: [===============] 100% | Error 26.6241 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 4 | env_th 12 | elaps: 0s
Epoch 5/400: [===============] 100% | Error 32.488 | Acc: 0.000555556 AT 19.9956 | val_Acc 0.005 | val_AT 19.915| nb_modif 6 | env_th 12 | elaps: 0s
Epoch 6/400: [===============] 100% | Error 34.7174 | Acc: 0.0438889 AT 19.2517 | val_Acc 0.06 | val_AT 18.9446| nb_modif 5 | env_th 12 | elaps: 0s
Epoch 7/400: [===============] 100% | Error 35.6625 | Acc: 0.150556 AT 17.54 | val_Acc 0.28 | val_AT 15.3397| nb_modif 5 | env_th 12 | elaps: 0s
Epoch 8/400: [===============] 100% | Error 36.0319 | Acc: 0.422222 AT 12.93 | val_Acc 0.58 | val_AT 10.3017| nb_modif 4 | env_th 12 | elaps: 0s
Epoch 9/400: [===============] 100% | Error 36.1683 | Acc: 0.611667 AT 9.86611 | val_Acc 0.515 | val_AT 11.4665| nb_modif 2 | env_th 12 | elaps: 0s
Epoch 1/400: [===============] 100% | Error 5.49205 | Acc: 0 AT 19.995 | val_Acc 0 | val_AT 19.9| nb_modif 2 | env_th 12 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 10.9183 | Acc: 0 AT 19.9994 | val_Acc 0 | val_AT 19.9995| nb_modif 2 | env_th 12 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 20.2023 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 4 | env_th 12 | elaps: 0s
Epoch 4/400: [===============] 100% | Error 28.3142 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 5 | env_th 12 | elaps: 0s
Epoch 5/400: [===============] 100% | Error 33.3946 | Acc: 0.000555556 AT 19.9983 | val_Acc 0 | val_AT 20| nb_modif 6 | env_th 12 | elaps: 0s
Epoch 6/400: [===============] 100% | Error 35.4778 | Acc: 0.0261111 AT 19.5783 | val_Acc 0.06 | val_AT 19.065| nb_modif 6 | env_th 12 | elaps: 0s
Epoch 7/400: [===============] 100% | Error 36.0609 | Acc: 0.202222 AT 16.61 | val_Acc 0.315 | val_AT 14.6153| nb_modif 4 | env_th 12 | elaps: 0s
Epoch 8/400: [===============] 100% | Error 36.3083 | Acc: 0.486667 AT 11.905 | val_Acc 0.725 | val_AT 7.99808| nb_modif 3 | env_th 12 | elaps: 0s
Epoch 9/400: [===============] 100% | Error 36.5007 | Acc: 0.71 AT 8.24222 | val_Acc 0.76 | val_AT 7.50499| nb_modif 3 | env_th 12 | elaps: 0s
Epoch 1/400: [===============] 100% | Error 5.56788 | Acc: 0 AT 19.9983 | val_Acc 0 | val_AT 19.9| nb_modif 2 | env_th 12 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 10.9288 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 2 | env_th 12 | elaps: 0s
