Epoch 1/400: [===============] 100% | Error 11.325 | Acc: 0 AT 19.9567 | val_Acc 0 | val_AT 19.9| nb_modif 4 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 18.89 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 3 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 32.2541 | Acc: 0.00111111 AT 19.9878 | val_Acc 0 | val_AT 20| nb_modif 7 | elaps: 0s
Epoch 4/400: [===============] 100% | Error 40.1789 | Acc: 0.0111111 AT 19.9211 | val_Acc 0 | val_AT 20| nb_modif 7 | elaps: 0s
Epoch 5/400: [===============] 100% | Error 45.368 | Acc: 0.0305556 AT 19.5456 | val_Acc 0.045 | val_AT 19.28| nb_modif 10 | elaps: 0s
Epoch 6/400: [===============] 100% | Error 47.0224 | Acc: 0.188333 AT 16.9661 | val_Acc 0.295 | val_AT 15.3564| nb_modif 8 | elaps: 0s
Epoch 7/400: [===============] 100% | Error 47.6643 | Acc: 0.456111 AT 12.7 | val_Acc 0.53 | val_AT 11.7818| nb_modif 7 | elaps: 0s
Epoch 8/400: [===============] 100% | Error 48.0221 | Acc: 0.373333 AT 14.1878 | val_Acc 0.435 | val_AT 13.0739| nb_modif 7 | elaps: 0s
Epoch 9/400: [===============] 100% | Error 48.2182 | Acc: 0.429444 AT 13.2828 | val_Acc 0.365 | val_AT 14.2254| nb_modif 6 | elaps: 0s
Epoch 10/400: [===============] 100% | Error 48.3732 | Acc: 0.452778 AT 12.6544 | val_Acc 0.355 | val_AT 14.0661| nb_modif 7 | elaps: 0s
Epoch 11/400: [===============] 100% | Error 48.479 | Acc: 0.383333 AT 13.72 | val_Acc 0.39 | val_AT 13.6703| nb_modif 7 | elaps: 0s
Epoch 12/400: [===============] 100% | Error 48.5762 | Acc: 0.440556 AT 12.9706 | val_Acc 0.375 | val_AT 14.1784| nb_modif 7 | elaps: 0s
Epoch 13/400: [===============] 100% | Error 48.6406 | Acc: 0.378889 AT 14.2611 | val_Acc 0.42 | val_AT 13.6809| nb_modif 7 | elaps: 0s
Epoch 14/400: [===============] 100% | Error 48.7063 | Acc: 0.341667 AT 14.8433 | val_Acc 0.225 | val_AT 16.6634| nb_modif 8 | elaps: 0s
Epoch 15/400: [===============] 100% | Error 48.7457 | Acc: 0.238889 AT 16.2939 | val_Acc 0.295 | val_AT 15.2733| nb_modif 8 | elaps: 0s
Epoch 16/400: [===============] 100% | Error 48.7702 | Acc: 0.261667 AT 15.9322 | val_Acc 0.385 | val_AT 13.8864| nb_modif 7 | elaps: 0s
Epoch 17/400: [===============] 100% | Error 48.792 | Acc: 0.375 AT 14.2483 | val_Acc 0.36 | val_AT 14.4444| nb_modif 7 | elaps: 0s
Epoch 18/400: [===============] 100% | Error 48.8099 | Acc: 0.296667 AT 15.4694 | val_Acc 0.27 | val_AT 15.8322| nb_modif 7 | elaps: 0s
Epoch 19/400: [===============] 100% | Error 48.8236 | Acc: 0.255556 AT 16.1989 | val_Acc 0.26 | val_AT 16.0942| nb_modif 6 | elaps: 0s
Epoch 20/400: [===============] 100% | Error 48.8588 | Acc: 0.357222 AT 14.6106 | val_Acc 0.325 | val_AT 14.8355| nb_modif 7 | elaps: 0s
Epoch 21/400: [===============] 100% | Error 48.8901 | Acc: 0.426111 AT 13.3661 | val_Acc 0.63 | val_AT 10.1442| nb_modif 5 | elaps: 0s
Epoch 22/400: [===============] 100% | Error 48.9021 | Acc: 0.501667 AT 12.3283 | val_Acc 0.365 | val_AT 14.5157| nb_modif 7 | elaps: 0s
Epoch 23/400: [===============] 100% | Error 48.9131 | Acc: 0.37 AT 14.4 | val_Acc 0.39 | val_AT 13.9476| nb_modif 7 | elaps: 0s
Epoch 24/400: [===============] 100% | Error 48.9216 | Acc: 0.356111 AT 14.6078 | val_Acc 0.425 | val_AT 13.4697| nb_modif 6 | elaps: 0s
Epoch 25/400: [===============] 100% | Error 48.9294 | Acc: 0.332778 AT 14.8956 | val_Acc 0.435 | val_AT 13.4123| nb_modif 6 | elaps: 0s
Epoch 26/400: [===============] 100% | Error 48.9378 | Acc: 0.395 AT 14.1956 | val_Acc 0.34 | val_AT 14.8771| nb_modif 7 | elaps: 0s
Epoch 27/400: [===============] 100% | Error 48.9458 | Acc: 0.358333 AT 14.675 | val_Acc 0.265 | val_AT 15.8294| nb_modif 7 | elaps: 0s
Epoch 28/400: [===============] 100% | Error 48.9524 | Acc: 0.346667 AT 14.6583 | val_Acc 0.34 | val_AT 14.6141| nb_modif 6 | elaps: 0s
Epoch 29/400: [===============] 100% | Error 48.9588 | Acc: 0.356667 AT 14.4922 | val_Acc 0.385 | val_AT 14.0481| nb_modif 6 | elaps: 0s
Epoch 30/400: [===============] 100% | Error 48.9652 | Acc: 0.394444 AT 14.0217 | val_Acc 0.44 | val_AT 13.3302| nb_modif 6 | elaps: 0s
Epoch 31/400: [===============] 100% | Error 48.9724 | Acc: 0.421667 AT 13.6006 | val_Acc 0.425 | val_AT 13.4317| nb_modif 7 | elaps: 0s
Epoch 32/400: [===============] 100% | Error 48.9788 | Acc: 0.351111 AT 14.6489 | val_Acc 0.35 | val_AT 14.4872| nb_modif 6 | elaps: 0s
Epoch 33/400: [===============] 100% | Error 48.9851 | Acc: 0.385 AT 13.815 | val_Acc 0.395 | val_AT 13.4274| nb_modif 6 | elaps: 0s
Epoch 34/400: [===============] 100% | Error 49.0287 | Acc: 0.476667 AT 12.0767 | val_Acc 0.375 | val_AT 13.5721| nb_modif 5 | elaps: 0s
Epoch 35/400: [===============] 100% | Error 49.0358 | Acc: 0.481111 AT 11.8694 | val_Acc 0.44 | val_AT 12.6529| nb_modif 6 | elaps: 0s
Epoch 36/400: [===============] 100% | Error 49.0641 | Acc: 0.535556 AT 10.9989 | val_Acc 0.595 | val_AT 9.80326| nb_modif 5 | elaps: 0s
Epoch 37/400: [===============] 100% | Error 49.0922 | Acc: 0.578889 AT 9.97333 | val_Acc 0.54 | val_AT 10.359| nb_modif 5 | elaps: 0s
Epoch 38/400: [===============] 100% | Error 49.0994 | Acc: 0.577778 AT 9.93389 | val_Acc 0.505 | val_AT 11.0118| nb_modif 5 | elaps: 0s
Epoch 39/400: [===============] 100% | Error 49.1063 | Acc: 0.531111 AT 10.7178 | val_Acc 0.5 | val_AT 11.3151| nb_modif 6 | elaps: 0s
Epoch 40/400: [===============] 100% | Error 49.1346 | Acc: 0.499444 AT 11.1767 | val_Acc 0.46 | val_AT 11.6916| nb_modif 5 | elaps: 0s
Epoch 41/400: [===============] 100% | Error 49.1406 | Acc: 0.54 AT 10.3694 | val_Acc 0.515 | val_AT 10.6335| nb_modif 5 | elaps: 0s
Epoch 42/400: [===============] 100% | Error 49.1453 | Acc: 0.53 AT 10.345 | val_Acc 0.52 | val_AT 10.3882| nb_modif 4 | elaps: 0s
Epoch 43/400: [===============] 100% | Error 49.1508 | Acc: 0.554444 AT 9.79556 | val_Acc 0.58 | val_AT 9.28694| nb_modif 5 | elaps: 0s
Epoch 44/400: [===============] 100% | Error 49.1582 | Acc: 0.626111 AT 8.57167 | val_Acc 0.605 | val_AT 8.85143| nb_modif 4 | elaps: 0s
Epoch 45/400: [===============] 100% | Error 49.1636 | Acc: 0.624444 AT 8.59222 | val_Acc 0.625 | val_AT 8.37926| nb_modif 5 | elaps: 0s
Epoch 46/400: [===============] 100% | Error 49.1681 | Acc: 0.603333 AT 8.84111 | val_Acc 0.595 | val_AT 8.8769| nb_modif 4 | elaps: 0s
Epoch 47/400: [===============] 100% | Error 49.1726 | Acc: 0.613889 AT 8.68778 | val_Acc 0.56 | val_AT 9.59938| nb_modif 4 | elaps: 0s
Epoch 48/400: [===============] 100% | Error 49.1926 | Acc: 0.652222 AT 8.19444 | val_Acc 0.66 | val_AT 7.908| nb_modif 4 | elaps: 0s
Epoch 49/400: [===============] 100% | Error 49.2765 | Acc: 0.667222 AT 7.96333 | val_Acc 0.67 | val_AT 7.85454| nb_modif 4 | elaps: 0s
Epoch 50/400: [===============] 100% | Error 49.3231 | Acc: 0.654444 AT 8.19889 | val_Acc 0.65 | val_AT 8.27927| nb_modif 4 | elaps: 0s
Epoch 51/400: [===============] 100% | Error 49.3265 | Acc: 0.652778 AT 8.11667 | val_Acc 0.695 | val_AT 7.1914| nb_modif 3 | elaps: 0s
Epoch 52/400: [===============] 100% | Error 49.3566 | Acc: 0.678889 AT 7.48222 | val_Acc 0.675 | val_AT 7.49596| nb_modif 4 | elaps: 0s
Epoch 53/400: [===============] 100% | Error 49.36 | Acc: 0.656111 AT 7.80444 | val_Acc 0.665 | val_AT 7.63248| nb_modif 3 | elaps: 0s
Epoch 54/400: [===============] 100% | Error 49.3643 | Acc: 0.698333 AT 7.06222 | val_Acc 0.68 | val_AT 7.35316| nb_modif 4 | elaps: 0s
Epoch 55/400: [===============] 100% | Error 49.3675 | Acc: 0.715 AT 6.76667 | val_Acc 0.705 | val_AT 6.91177| nb_modif 3 | elaps: 0s
Epoch 56/400: [===============] 100% | Error 49.3768 | Acc: 0.747222 AT 6.18889 | val_Acc 0.705 | val_AT 6.93456| nb_modif 3 | elaps: 0s
Epoch 57/400: [===============] 100% | Error 49.3799 | Acc: 0.77 AT 5.84667 | val_Acc 0.735 | val_AT 6.41967| nb_modif 3 | elaps: 0s
Epoch 58/400: [===============] 100% | Error 49.3829 | Acc: 0.745556 AT 6.18778 | val_Acc 0.71 | val_AT 6.8621| nb_modif 3 | elaps: 0s
Epoch 59/400: [===============] 100% | Error 49.4078 | Acc: 0.775 AT 5.65889 | val_Acc 0.745 | val_AT 6.12431| nb_modif 2 | elaps: 0s
Epoch 60/400: [===============] 100% | Error 49.4343 | Acc: 0.769444 AT 5.76222 | val_Acc 0.71 | val_AT 6.72062| nb_modif 3 | elaps: 0s
Epoch 61/400: [===============] 100% | Error 49.4596 | Acc: 0.786667 AT 5.50056 | val_Acc 0.785 | val_AT 5.4386| nb_modif 2 | elaps: 0s
Epoch 62/400: [===============] 100% | Error 49.4618 | Acc: 0.796111 AT 5.33889 | val_Acc 0.81 | val_AT 4.97219| nb_modif 2 | elaps: 0s
Epoch 63/400: [===============] 100% | Error 49.465 | Acc: 0.826667 AT 4.685 | val_Acc 0.85 | val_AT 4.15986| nb_modif 3 | elaps: 0s
Epoch 64/400: [===============] 100% | Error 49.4682 | Acc: 0.821111 AT 4.66833 | val_Acc 0.83 | val_AT 4.4658| nb_modif 3 | elaps: 0s
Epoch 65/400: [===============] 100% | Error 49.4704 | Acc: 0.839444 AT 4.28333 | val_Acc 0.855 | val_AT 3.94733| nb_modif 2 | elaps: 0s
Epoch 66/400: [===============] 100% | Error 49.4962 | Acc: 0.832778 AT 4.29444 | val_Acc 0.835 | val_AT 4.25974| nb_modif 3 | elaps: 0s
Epoch 67/400: [===============] 100% | Error 49.505 | Acc: 0.836111 AT 4.28833 | val_Acc 0.825 | val_AT 4.4213| nb_modif 2 | elaps: 0s
Epoch 68/400: [===============] 100% | Error 49.5086 | Acc: 0.831667 AT 4.33222 | val_Acc 0.83 | val_AT 4.27711| nb_modif 2 | elaps: 0s
Epoch 69/400: [===============] 100% | Error 49.5108 | Acc: 0.833333 AT 4.29333 | val_Acc 0.785 | val_AT 5.10139| nb_modif 2 | elaps: 0s
Epoch 70/400: [===============] 100% | Error 49.5135 | Acc: 0.811111 AT 4.65611 | val_Acc 0.755 | val_AT 5.34551| nb_modif 2 | elaps: 0s
