Epoch 1/400: [===============] 100% | Error 11.4562 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9| nb_modif 4 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 25.6822 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 6 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 37.9375 | Acc: 0.00222222 AT 19.9822 | val_Acc 0 | val_AT 20| nb_modif 8 | elaps: 0s
Epoch 4/400: [===============] 100% | Error 45.767 | Acc: 0.0255556 AT 19.8211 | val_Acc 0 | val_AT 20| nb_modif 11 | elaps: 1s
Epoch 5/400: [===============] 100% | Error 49.3637 | Acc: 0.0427778 AT 19.5206 | val_Acc 0.155 | val_AT 17.545| nb_modif 13 | elaps: 1s
Epoch 6/400: [===============] 100% | Error 50.3878 | Acc: 0.326667 AT 14.7111 | val_Acc 0.55 | val_AT 11.1777| nb_modif 9 | elaps: 0s
Epoch 7/400: [===============] 100% | Error 50.8755 | Acc: 0.567778 AT 11.1278 | val_Acc 0.47 | val_AT 12.8009| nb_modif 8 | elaps: 0s
Epoch 8/400: [===============] 100% | Error 51.1743 | Acc: 0.423333 AT 13.31 | val_Acc 0.505 | val_AT 11.699| nb_modif 9 | elaps: 0s
Epoch 9/400: [===============] 100% | Error 51.3132 | Acc: 0.552778 AT 11.0578 | val_Acc 0.535 | val_AT 11.2585| nb_modif 8 | elaps: 0s
Epoch 10/400: [===============] 100% | Error 51.4192 | Acc: 0.530556 AT 11.4806 | val_Acc 0.52 | val_AT 11.7713| nb_modif 9 | elaps: 0s
Epoch 11/400: [===============] 100% | Error 51.4894 | Acc: 0.442778 AT 13.0678 | val_Acc 0.45 | val_AT 12.8539| nb_modif 9 | elaps: 0s
Epoch 12/400: [===============] 100% | Error 51.541 | Acc: 0.366111 AT 14.1056 | val_Acc 0.405 | val_AT 13.4243| nb_modif 9 | elaps: 0s
Epoch 13/400: [===============] 100% | Error 51.5771 | Acc: 0.476111 AT 12.4922 | val_Acc 0.535 | val_AT 11.5421| nb_modif 8 | elaps: 0s
Epoch 14/400: [===============] 100% | Error 51.6087 | Acc: 0.461667 AT 12.7806 | val_Acc 0.395 | val_AT 13.6927| nb_modif 9 | elaps: 0s
Epoch 15/400: [===============] 100% | Error 51.6327 | Acc: 0.439444 AT 13.0089 | val_Acc 0.48 | val_AT 12.3585| nb_modif 9 | elaps: 0s
Epoch 16/400: [===============] 100% | Error 51.6718 | Acc: 0.47 AT 12.57 | val_Acc 0.48 | val_AT 12.3868| nb_modif 8 | elaps: 0s
Epoch 17/400: [===============] 100% | Error 51.7092 | Acc: 0.45 AT 13.0839 | val_Acc 0.43 | val_AT 13.2369| nb_modif 10 | elaps: 0s
Epoch 18/400: [===============] 100% | Error 51.72 | Acc: 0.517222 AT 12.1467 | val_Acc 0.56 | val_AT 11.4612| nb_modif 7 | elaps: 0s
Epoch 19/400: [===============] 100% | Error 51.7324 | Acc: 0.529444 AT 11.9811 | val_Acc 0.455 | val_AT 12.8723| nb_modif 9 | elaps: 0s
Epoch 20/400: [===============] 100% | Error 51.7423 | Acc: 0.448889 AT 13.0439 | val_Acc 0.485 | val_AT 12.3344| nb_modif 8 | elaps: 0s
Epoch 21/400: [===============] 100% | Error 51.7514 | Acc: 0.483333 AT 12.4411 | val_Acc 0.5 | val_AT 12.0567| nb_modif 8 | elaps: 0s
Epoch 22/400: [===============] 100% | Error 51.761 | Acc: 0.522222 AT 11.8428 | val_Acc 0.45 | val_AT 12.9553| nb_modif 9 | elaps: 0s
Epoch 23/400: [===============] 100% | Error 51.7695 | Acc: 0.492222 AT 12.4633 | val_Acc 0.5 | val_AT 12.3448| nb_modif 8 | elaps: 0s
Epoch 24/400: [===============] 100% | Error 51.8005 | Acc: 0.527222 AT 11.9744 | val_Acc 0.52 | val_AT 12.0467| nb_modif 8 | elaps: 0s
Epoch 25/400: [===============] 100% | Error 51.8099 | Acc: 0.489444 AT 12.2567 | val_Acc 0.365 | val_AT 13.8402| nb_modif 9 | elaps: 0s
Epoch 26/400: [===============] 100% | Error 51.8161 | Acc: 0.496667 AT 11.7533 | val_Acc 0.575 | val_AT 10.2092| nb_modif 6 | elaps: 0s
Epoch 27/400: [===============] 100% | Error 51.8247 | Acc: 0.625 AT 9.24444 | val_Acc 0.655 | val_AT 8.49105| nb_modif 7 | elaps: 0s
Epoch 28/400: [===============] 100% | Error 51.8326 | Acc: 0.644444 AT 8.48611 | val_Acc 0.66 | val_AT 8.05245| nb_modif 5 | elaps: 0s
Epoch 29/400: [===============] 100% | Error 51.8407 | Acc: 0.731111 AT 6.79056 | val_Acc 0.71 | val_AT 7.15026| nb_modif 4 | elaps: 0s
Epoch 30/400: [===============] 100% | Error 51.8725 | Acc: 0.705556 AT 7.24167 | val_Acc 0.595 | val_AT 9.15075| nb_modif 6 | elaps: 0s
Epoch 31/400: [===============] 100% | Error 51.8834 | Acc: 0.623333 AT 8.60778 | val_Acc 0.605 | val_AT 8.90075| nb_modif 7 | elaps: 0s
Epoch 32/400: [===============] 100% | Error 51.8923 | Acc: 0.585 AT 9.25611 | val_Acc 0.56 | val_AT 9.5695| nb_modif 6 | elaps: 0s
Epoch 33/400: [===============] 100% | Error 52.0572 | Acc: 0.615556 AT 8.61889 | val_Acc 0.635 | val_AT 8.18285| nb_modif 6 | elaps: 0s
Epoch 34/400: [===============] 100% | Error 52.0842 | Acc: 0.67 AT 7.52444 | val_Acc 0.635 | val_AT 7.97091| nb_modif 5 | elaps: 0s
Epoch 35/400: [===============] 100% | Error 52.1129 | Acc: 0.696667 AT 6.895 | val_Acc 0.705 | val_AT 6.72485| nb_modif 4 | elaps: 0s
Epoch 36/400: [===============] 100% | Error 52.1185 | Acc: 0.769444 AT 5.61889 | val_Acc 0.745 | val_AT 6.03362| nb_modif 4 | elaps: 0s
Epoch 37/400: [===============] 100% | Error 52.1224 | Acc: 0.805556 AT 5.03889 | val_Acc 0.81 | val_AT 4.88017| nb_modif 3 | elaps: 0s
Epoch 38/400: [===============] 100% | Error 52.1263 | Acc: 0.802222 AT 5.06944 | val_Acc 0.815 | val_AT 4.7694| nb_modif 3 | elaps: 0s
Epoch 39/400: [===============] 100% | Error 52.1606 | Acc: 0.805556 AT 5.09 | val_Acc 0.76 | val_AT 5.68885| nb_modif 5 | elaps: 0s
Epoch 40/400: [===============] 100% | Error 52.1895 | Acc: 0.753889 AT 6.01222 | val_Acc 0.76 | val_AT 5.87844| nb_modif 5 | elaps: 0s
Epoch 41/400: [===============] 100% | Error 52.2243 | Acc: 0.682778 AT 7.26833 | val_Acc 0.65 | val_AT 7.72939| nb_modif 6 | elaps: 0s
Epoch 42/400: [===============] 100% | Error 52.2383 | Acc: 0.666667 AT 7.62889 | val_Acc 0.68 | val_AT 7.33365| nb_modif 5 | elaps: 0s
Epoch 43/400: [===============] 100% | Error 52.2616 | Acc: 0.632778 AT 8.32778 | val_Acc 0.615 | val_AT 8.57167| nb_modif 5 | elaps: 0s
Epoch 44/400: [===============] 100% | Error 52.2688 | Acc: 0.679444 AT 7.58 | val_Acc 0.675 | val_AT 7.57786| nb_modif 5 | elaps: 0s
Epoch 45/400: [===============] 100% | Error 52.2965 | Acc: 0.711667 AT 7.02333 | val_Acc 0.64 | val_AT 8.23789| nb_modif 4 | elaps: 0s
Epoch 46/400: [===============] 100% | Error 52.3012 | Acc: 0.728889 AT 6.65833 | val_Acc 0.68 | val_AT 7.45119| nb_modif 4 | elaps: 0s
Epoch 47/400: [===============] 100% | Error 52.3225 | Acc: 0.738889 AT 6.42556 | val_Acc 0.68 | val_AT 7.47226| nb_modif 5 | elaps: 0s
Epoch 48/400: [===============] 100% | Error 52.3365 | Acc: 0.731111 AT 6.555 | val_Acc 0.67 | val_AT 7.69236| nb_modif 6 | elaps: 0s
Epoch 49/400: [===============] 100% | Error 52.3422 | Acc: 0.684444 AT 7.44389 | val_Acc 0.6 | val_AT 8.95346| nb_modif 5 | elaps: 0s
Epoch 50/400: [===============] 100% | Error 52.3508 | Acc: 0.643889 AT 8.11944 | val_Acc 0.57 | val_AT 9.44477| nb_modif 6 | elaps: 0s
Epoch 51/400: [===============] 100% | Error 52.4059 | Acc: 0.632222 AT 8.37611 | val_Acc 0.61 | val_AT 8.75722| nb_modif 6 | elaps: 0s
Epoch 52/400: [===============] 100% | Error 52.4105 | Acc: 0.634444 AT 8.31222 | val_Acc 0.645 | val_AT 8.10379| nb_modif 4 | elaps: 0s
Epoch 53/400: [===============] 100% | Error 52.4138 | Acc: 0.706111 AT 7.05111 | val_Acc 0.71 | val_AT 6.96052| nb_modif 3 | elaps: 0s
Epoch 54/400: [===============] 100% | Error 52.4182 | Acc: 0.753333 AT 6.25889 | val_Acc 0.755 | val_AT 6.2648| nb_modif 4 | elaps: 0s
Epoch 55/400: [===============] 100% | Error 52.4226 | Acc: 0.788333 AT 5.68333 | val_Acc 0.76 | val_AT 6.12632| nb_modif 4 | elaps: 0s
