Epoch 1/400: [===============] 100% | Error 8.33273 | Acc: 0.00111111 AT 19.9822 | val_Acc 0 | val_AT 19.9| nb_modif 3 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 13.4609 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 2 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 23.8857 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 5 | elaps: 0s
Epoch 4/400: [===============] 100% | Error 31.6761 | Acc: 0.00277778 AT 19.9783 | val_Acc 0 | val_AT 20| nb_modif 6 | elaps: 0s
Epoch 5/400: [===============] 100% | Error 36.0574 | Acc: 0.00722222 AT 19.9194 | val_Acc 0.05 | val_AT 19.2| nb_modif 7 | elaps: 0s
Epoch 6/400: [===============] 100% | Error 37.8214 | Acc: 0.146111 AT 17.6517 | val_Acc 0.3 | val_AT 14.996| nb_modif 7 | elaps: 0s
Epoch 7/400: [===============] 100% | Error 38.3841 | Acc: 0.423333 AT 12.9639 | val_Acc 0.55 | val_AT 10.78| nb_modif 5 | elaps: 0s
Epoch 8/400: [===============] 100% | Error 38.6502 | Acc: 0.54 AT 10.9411 | val_Acc 0.6 | val_AT 9.6389| nb_modif 4 | elaps: 0s
Epoch 9/400: [===============] 100% | Error 38.7891 | Acc: 0.691667 AT 8.23167 | val_Acc 0.67 | val_AT 8.59319| nb_modif 3 | elaps: 0s
Epoch 10/400: [===============] 100% | Error 38.9462 | Acc: 0.742222 AT 7.48611 | val_Acc 0.67 | val_AT 8.66297| nb_modif 4 | elaps: 0s
Epoch 11/400: [===============] 100% | Error 39.0556 | Acc: 0.674444 AT 8.63778 | val_Acc 0.68 | val_AT 8.31831| nb_modif 4 | elaps: 0s
Epoch 12/400: [===============] 100% | Error 39.1223 | Acc: 0.672778 AT 8.69111 | val_Acc 0.63 | val_AT 9.29659| nb_modif 3 | elaps: 0s
Epoch 13/400: [===============] 100% | Error 39.1778 | Acc: 0.692778 AT 8.45889 | val_Acc 0.755 | val_AT 7.24148| nb_modif 3 | elaps: 0s
Epoch 14/400: [===============] 100% | Error 39.2693 | Acc: 0.620556 AT 9.65722 | val_Acc 0.575 | val_AT 10.4712| nb_modif 4 | elaps: 0s
Epoch 15/400: [===============] 100% | Error 39.324 | Acc: 0.53 AT 11.15 | val_Acc 0.5 | val_AT 11.7074| nb_modif 4 | elaps: 0s
Epoch 16/400: [===============] 100% | Error 39.3697 | Acc: 0.537778 AT 11.1133 | val_Acc 0.505 | val_AT 11.5435| nb_modif 4 | elaps: 0s
Epoch 17/400: [===============] 100% | Error 39.415 | Acc: 0.545 AT 11.0011 | val_Acc 0.65 | val_AT 9.09272| nb_modif 5 | elaps: 0s
Epoch 18/400: [===============] 100% | Error 39.4509 | Acc: 0.501111 AT 11.7206 | val_Acc 0.5 | val_AT 11.5005| nb_modif 5 | elaps: 0s
Epoch 19/400: [===============] 100% | Error 39.5026 | Acc: 0.423889 AT 12.8483 | val_Acc 0.44 | val_AT 12.4625| nb_modif 5 | elaps: 0s
Epoch 20/400: [===============] 100% | Error 39.523 | Acc: 0.475556 AT 12.0483 | val_Acc 0.47 | val_AT 12.2073| nb_modif 4 | elaps: 0s
Epoch 21/400: [===============] 100% | Error 39.5441 | Acc: 0.493889 AT 11.7983 | val_Acc 0.465 | val_AT 12.176| nb_modif 5 | elaps: 0s
Epoch 22/400: [===============] 100% | Error 39.5547 | Acc: 0.606111 AT 9.81111 | val_Acc 0.62 | val_AT 9.49588| nb_modif 3 | elaps: 0s
Epoch 23/400: [===============] 100% | Error 39.5672 | Acc: 0.629444 AT 9.58667 | val_Acc 0.645 | val_AT 9.15748| nb_modif 4 | elaps: 0s
Epoch 24/400: [===============] 100% | Error 39.5755 | Acc: 0.686111 AT 8.67278 | val_Acc 0.655 | val_AT 9.29579| nb_modif 3 | elaps: 0s
Epoch 25/400: [===============] 100% | Error 39.6058 | Acc: 0.705556 AT 8.40222 | val_Acc 0.81 | val_AT 6.45648| nb_modif 4 | elaps: 0s
Epoch 26/400: [===============] 100% | Error 39.6134 | Acc: 0.701111 AT 8.50667 | val_Acc 0.52 | val_AT 11.5273| nb_modif 3 | elaps: 0s
Epoch 27/400: [===============] 100% | Error 39.6243 | Acc: 0.586111 AT 10.4106 | val_Acc 0.555 | val_AT 10.8126| nb_modif 5 | elaps: 0s
Epoch 28/400: [===============] 100% | Error 39.6318 | Acc: 0.496667 AT 11.8689 | val_Acc 0.53 | val_AT 11.2791| nb_modif 4 | elaps: 0s
Epoch 29/400: [===============] 100% | Error 39.6632 | Acc: 0.541667 AT 11.3406 | val_Acc 0.62 | val_AT 9.9214| nb_modif 5 | elaps: 0s
Epoch 30/400: [===============] 100% | Error 39.671 | Acc: 0.550556 AT 11.1628 | val_Acc 0.56 | val_AT 10.9796| nb_modif 5 | elaps: 0s
Epoch 31/400: [===============] 100% | Error 39.6767 | Acc: 0.578889 AT 10.68 | val_Acc 0.615 | val_AT 9.9849| nb_modif 4 | elaps: 0s
Epoch 32/400: [===============] 100% | Error 39.6821 | Acc: 0.625 AT 9.89889 | val_Acc 0.715 | val_AT 8.53992| nb_modif 4 | elaps: 0s
Epoch 33/400: [===============] 100% | Error 39.6872 | Acc: 0.652222 AT 9.45167 | val_Acc 0.665 | val_AT 9.3527| nb_modif 4 | elaps: 0s
Epoch 34/400: [===============] 100% | Error 39.7322 | Acc: 0.577222 AT 10.69 | val_Acc 0.48 | val_AT 12.1018| nb_modif 4 | elaps: 0s
Epoch 35/400: [===============] 100% | Error 39.7371 | Acc: 0.527778 AT 11.4717 | val_Acc 0.61 | val_AT 10.0405| nb_modif 4 | elaps: 0s
Epoch 36/400: [===============] 100% | Error 39.7431 | Acc: 0.525 AT 11.61 | val_Acc 0.625 | val_AT 9.8702| nb_modif 5 | elaps: 0s
Epoch 37/400: [===============] 100% | Error 39.7477 | Acc: 0.557222 AT 11.0789 | val_Acc 0.555 | val_AT 10.9944| nb_modif 4 | elaps: 0s
Epoch 38/400: [===============] 100% | Error 39.7533 | Acc: 0.550556 AT 11.2267 | val_Acc 0.67 | val_AT 9.25997| nb_modif 5 | elaps: 0s
Epoch 39/400: [===============] 100% | Error 39.7738 | Acc: 0.495 AT 12.2611 | val_Acc 0.575 | val_AT 11.0613| nb_modif 5 | elaps: 0s
Epoch 40/400: [===============] 100% | Error 39.8246 | Acc: 0.47 AT 12.65 | val_Acc 0.39 | val_AT 13.6203| nb_modif 5 | elaps: 0s
Epoch 41/400: [===============] 100% | Error 39.8301 | Acc: 0.397222 AT 13.5811 | val_Acc 0.37 | val_AT 13.9081| nb_modif 5 | elaps: 0s
Epoch 42/400: [===============] 100% | Error 39.8369 | Acc: 0.363333 AT 14.0617 | val_Acc 0.39 | val_AT 13.5095| nb_modif 6 | elaps: 0s
Epoch 43/400: [===============] 100% | Error 39.8666 | Acc: 0.377222 AT 13.7872 | val_Acc 0.385 | val_AT 13.5525| nb_modif 6 | elaps: 0s
Epoch 44/400: [===============] 100% | Error 39.8728 | Acc: 0.393889 AT 13.45 | val_Acc 0.45 | val_AT 12.5928| nb_modif 5 | elaps: 0s
Epoch 45/400: [===============] 100% | Error 39.9017 | Acc: 0.420556 AT 12.9711 | val_Acc 0.44 | val_AT 12.498| nb_modif 5 | elaps: 0s
Epoch 46/400: [===============] 100% | Error 39.9537 | Acc: 0.488333 AT 11.715 | val_Acc 0.52 | val_AT 11.0775| nb_modif 5 | elaps: 0s
Epoch 47/400: [===============] 100% | Error 39.9826 | Acc: 0.502778 AT 11.3117 | val_Acc 0.54 | val_AT 10.5304| nb_modif 5 | elaps: 0s
Epoch 48/400: [===============] 100% | Error 39.9877 | Acc: 0.573333 AT 9.92444 | val_Acc 0.66 | val_AT 8.32265| nb_modif 4 | elaps: 0s
Epoch 49/400: [===============] 100% | Error 39.9914 | Acc: 0.619444 AT 9.00667 | val_Acc 0.69 | val_AT 7.66161| nb_modif 3 | elaps: 0s
Epoch 50/400: [===============] 100% | Error 40.019 | Acc: 0.651667 AT 8.41333 | val_Acc 0.71 | val_AT 7.19331| nb_modif 4 | elaps: 0s
Epoch 51/400: [===============] 100% | Error 40.0225 | Acc: 0.669444 AT 8.03222 | val_Acc 0.695 | val_AT 7.47597| nb_modif 3 | elaps: 0s
Epoch 52/400: [===============] 100% | Error 40.0486 | Acc: 0.670556 AT 7.96944 | val_Acc 0.7 | val_AT 7.37738| nb_modif 3 | elaps: 0s
Epoch 53/400: [===============] 100% | Error 40.0532 | Acc: 0.643889 AT 8.37667 | val_Acc 0.645 | val_AT 8.20189| nb_modif 4 | elaps: 0s
Epoch 54/400: [===============] 100% | Error 40.0576 | Acc: 0.612222 AT 8.83889 | val_Acc 0.625 | val_AT 8.54601| nb_modif 4 | elaps: 0s
Epoch 55/400: [===============] 100% | Error 40.0622 | Acc: 0.626111 AT 8.53722 | val_Acc 0.645 | val_AT 8.08773| nb_modif 4 | elaps: 0s
Epoch 56/400: [===============] 100% | Error 40.0669 | Acc: 0.609444 AT 8.81722 | val_Acc 0.625 | val_AT 8.42544| nb_modif 4 | elaps: 0s
Epoch 57/400: [===============] 100% | Error 40.072 | Acc: 0.613333 AT 8.73278 | val_Acc 0.63 | val_AT 8.32713| nb_modif 4 | elaps: 0s
Epoch 58/400: [===============] 100% | Error 40.0757 | Acc: 0.618333 AT 8.60944 | val_Acc 0.615 | val_AT 8.56664| nb_modif 3 | elaps: 0s
Epoch 59/400: [===============] 100% | Error 40.1204 | Acc: 0.623889 AT 8.48167 | val_Acc 0.63 | val_AT 8.24283| nb_modif 4 | elaps: 0s
Epoch 60/400: [===============] 100% | Error 40.1251 | Acc: 0.623333 AT 8.44444 | val_Acc 0.66 | val_AT 7.69121| nb_modif 4 | elaps: 0s
Epoch 61/400: [===============] 100% | Error 40.1634 | Acc: 0.625 AT 8.37667 | val_Acc 0.625 | val_AT 8.25346| nb_modif 4 | elaps: 0s
Epoch 62/400: [===============] 100% | Error 40.1667 | Acc: 0.608333 AT 8.68 | val_Acc 0.63 | val_AT 8.19627| nb_modif 3 | elaps: 0s
Epoch 63/400: [===============] 100% | Error 40.1712 | Acc: 0.596111 AT 8.86667 | val_Acc 0.625 | val_AT 8.24598| nb_modif 4 | elaps: 0s
Epoch 64/400: [===============] 100% | Error 40.1746 | Acc: 0.618889 AT 8.46778 | val_Acc 0.65 | val_AT 7.94123| nb_modif 3 | elaps: 0s
Epoch 65/400: [===============] 100% | Error 40.178 | Acc: 0.635556 AT 8.17333 | val_Acc 0.675 | val_AT 7.40471| nb_modif 3 | elaps: 0s
Epoch 66/400: [===============] 100% | Error 40.2028 | Acc: 0.688333 AT 7.23222 | val_Acc 0.69 | val_AT 7.11202| nb_modif 2 | elaps: 0s
Epoch 67/400: [===============] 100% | Error 40.206 | Acc: 0.692222 AT 7.14944 | val_Acc 0.695 | val_AT 7.09056| nb_modif 3 | elaps: 0s
Epoch 68/400: [===============] 100% | Error 40.2106 | Acc: 0.694444 AT 7.10111 | val_Acc 0.69 | val_AT 7.12045| nb_modif 4 | elaps: 0s
Epoch 69/400: [===============] 100% | Error 40.2138 | Acc: 0.695 AT 7.08944 | val_Acc 0.71 | val_AT 6.7306| nb_modif 3 | elaps: 0s
Epoch 70/400: [===============] 100% | Error 40.241 | Acc: 0.716111 AT 6.68556 | val_Acc 0.725 | val_AT 6.44865| nb_modif 3 | elaps: 0s
Epoch 71/400: [===============] 100% | Error 40.2443 | Acc: 0.713889 AT 6.70278 | val_Acc 0.72 | val_AT 6.47224| nb_modif 3 | elaps: 0s
Epoch 72/400: [===============] 100% | Error 40.2562 | Acc: 0.706667 AT 6.82722 | val_Acc 0.695 | val_AT 6.93736| nb_modif 4 | elaps: 0s
