Epoch 1/400: [===============] 100% | Error 10.924 | Acc: 0.00222222 AT 19.9806 | val_Acc 0 | val_AT 19.9| nb_modif 4 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 20.2156 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 4 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 31.2845 | Acc: 0.00555556 AT 19.9606 | val_Acc 0 | val_AT 20| nb_modif 7 | elaps: 0s
Epoch 4/400: [===============] 100% | Error 38.3532 | Acc: 0.0361111 AT 19.7061 | val_Acc 0 | val_AT 20| nb_modif 9 | elaps: 0s
Epoch 5/400: [===============] 100% | Error 41.6763 | Acc: 0.0311111 AT 19.6033 | val_Acc 0.15 | val_AT 17.555| nb_modif 11 | elaps: 0s
Epoch 6/400: [===============] 100% | Error 42.6474 | Acc: 0.363333 AT 14.1711 | val_Acc 0.55 | val_AT 10.8478| nb_modif 8 | elaps: 0s
Epoch 7/400: [===============] 100% | Error 42.9918 | Acc: 0.599444 AT 10.3372 | val_Acc 0.61 | val_AT 10.4542| nb_modif 6 | elaps: 0s
Epoch 8/400: [===============] 100% | Error 43.2014 | Acc: 0.502222 AT 12.1439 | val_Acc 0.54 | val_AT 11.5523| nb_modif 6 | elaps: 0s
Epoch 9/400: [===============] 100% | Error 43.3412 | Acc: 0.563333 AT 11.1667 | val_Acc 0.555 | val_AT 11.2828| nb_modif 7 | elaps: 0s
Epoch 10/400: [===============] 100% | Error 43.4567 | Acc: 0.425556 AT 13.1661 | val_Acc 0.405 | val_AT 13.4864| nb_modif 7 | elaps: 0s
Epoch 11/400: [===============] 100% | Error 43.5274 | Acc: 0.448889 AT 12.7672 | val_Acc 0.425 | val_AT 12.9274| nb_modif 7 | elaps: 0s
Epoch 12/400: [===============] 100% | Error 43.5791 | Acc: 0.512222 AT 11.8383 | val_Acc 0.37 | val_AT 14.1096| nb_modif 7 | elaps: 0s
Epoch 13/400: [===============] 100% | Error 43.6249 | Acc: 0.336667 AT 14.4317 | val_Acc 0.33 | val_AT 14.5555| nb_modif 8 | elaps: 0s
Epoch 14/400: [===============] 100% | Error 43.6987 | Acc: 0.362778 AT 14.3033 | val_Acc 0.33 | val_AT 14.8528| nb_modif 8 | elaps: 0s
Epoch 15/400: [===============] 100% | Error 43.7456 | Acc: 0.351667 AT 14.5706 | val_Acc 0.335 | val_AT 14.7993| nb_modif 8 | elaps: 0s
Epoch 16/400: [===============] 100% | Error 43.7649 | Acc: 0.375 AT 14.1661 | val_Acc 0.37 | val_AT 14.149| nb_modif 7 | elaps: 0s
Epoch 17/400: [===============] 100% | Error 43.8058 | Acc: 0.36 AT 14.3439 | val_Acc 0.36 | val_AT 14.4607| nb_modif 8 | elaps: 0s
Epoch 18/400: [===============] 100% | Error 43.8194 | Acc: 0.375556 AT 14.045 | val_Acc 0.35 | val_AT 14.3873| nb_modif 7 | elaps: 0s
Epoch 19/400: [===============] 100% | Error 43.8322 | Acc: 0.396667 AT 13.8106 | val_Acc 0.465 | val_AT 12.8469| nb_modif 8 | elaps: 0s
Epoch 20/400: [===============] 100% | Error 43.8639 | Acc: 0.451111 AT 13.1833 | val_Acc 0.425 | val_AT 13.6442| nb_modif 7 | elaps: 0s
Epoch 21/400: [===============] 100% | Error 43.8731 | Acc: 0.365 AT 14.6261 | val_Acc 0.36 | val_AT 14.5882| nb_modif 7 | elaps: 0s
Epoch 22/400: [===============] 100% | Error 43.9063 | Acc: 0.350556 AT 14.6872 | val_Acc 0.285 | val_AT 15.4479| nb_modif 9 | elaps: 0s
Epoch 23/400: [===============] 100% | Error 43.9143 | Acc: 0.393889 AT 13.8833 | val_Acc 0.455 | val_AT 12.9922| nb_modif 7 | elaps: 0s
Epoch 24/400: [===============] 100% | Error 43.922 | Acc: 0.462778 AT 12.9389 | val_Acc 0.45 | val_AT 12.98| nb_modif 7 | elaps: 0s
Epoch 25/400: [===============] 100% | Error 43.9523 | Acc: 0.366667 AT 14.3044 | val_Acc 0.335 | val_AT 14.7899| nb_modif 7 | elaps: 0s
Epoch 26/400: [===============] 100% | Error 43.9608 | Acc: 0.338333 AT 14.8661 | val_Acc 0.295 | val_AT 15.509| nb_modif 8 | elaps: 0s
Epoch 27/400: [===============] 100% | Error 43.9693 | Acc: 0.338333 AT 14.7356 | val_Acc 0.245 | val_AT 16.0275| nb_modif 8 | elaps: 0s
Epoch 28/400: [===============] 100% | Error 43.9769 | Acc: 0.382222 AT 13.845 | val_Acc 0.445 | val_AT 12.5401| nb_modif 7 | elaps: 0s
Epoch 29/400: [===============] 100% | Error 43.9836 | Acc: 0.518333 AT 11.5528 | val_Acc 0.54 | val_AT 11.1927| nb_modif 6 | elaps: 0s
Epoch 30/400: [===============] 100% | Error 44.0254 | Acc: 0.571111 AT 10.5667 | val_Acc 0.62 | val_AT 9.39596| nb_modif 5 | elaps: 0s
Epoch 31/400: [===============] 100% | Error 44.0335 | Acc: 0.723889 AT 7.44111 | val_Acc 0.75 | val_AT 6.74198| nb_modif 3 | elaps: 0s
Epoch 32/400: [===============] 100% | Error 44.0369 | Acc: 0.827222 AT 5.36167 | val_Acc 0.815 | val_AT 5.47871| nb_modif 3 | elaps: 0s
Epoch 33/400: [===============] 100% | Error 44.0391 | Acc: 0.829444 AT 5.23278 | val_Acc 0.795 | val_AT 5.75239| nb_modif 2 | elaps: 0s
Epoch 34/400: [===============] 100% | Error 44.0496 | Acc: 0.831667 AT 5.15944 | val_Acc 0.79 | val_AT 5.87876| nb_modif 3 | elaps: 0s
Epoch 35/400: [===============] 100% | Error 44.0551 | Acc: 0.786667 AT 5.97111 | val_Acc 0.715 | val_AT 7.17439| nb_modif 3 | elaps: 0s
Epoch 36/400: [===============] 100% | Error 44.0587 | Acc: 0.798333 AT 5.76111 | val_Acc 0.73 | val_AT 6.81587| nb_modif 3 | elaps: 0s
Epoch 37/400: [===============] 100% | Error 44.0633 | Acc: 0.753889 AT 6.38611 | val_Acc 0.7 | val_AT 7.19408| nb_modif 4 | elaps: 0s
Epoch 38/400: [===============] 100% | Error 44.0957 | Acc: 0.711111 AT 6.99111 | val_Acc 0.655 | val_AT 7.90597| nb_modif 4 | elaps: 0s
Epoch 39/400: [===============] 100% | Error 44.1007 | Acc: 0.695556 AT 7.28 | val_Acc 0.66 | val_AT 7.79453| nb_modif 4 | elaps: 0s
Epoch 40/400: [===============] 100% | Error 44.1059 | Acc: 0.659444 AT 7.75444 | val_Acc 0.605 | val_AT 8.66397| nb_modif 4 | elaps: 0s
Epoch 41/400: [===============] 100% | Error 44.1129 | Acc: 0.592778 AT 8.9 | val_Acc 0.565 | val_AT 9.34332| nb_modif 4 | elaps: 0s
Epoch 42/400: [===============] 100% | Error 44.1186 | Acc: 0.597778 AT 8.75 | val_Acc 0.565 | val_AT 9.31672| nb_modif 5 | elaps: 0s
Epoch 43/400: [===============] 100% | Error 44.124 | Acc: 0.594444 AT 8.81833 | val_Acc 0.55 | val_AT 9.60158| nb_modif 5 | elaps: 0s
Epoch 44/400: [===============] 100% | Error 44.1285 | Acc: 0.613889 AT 8.58056 | val_Acc 0.61 | val_AT 8.65301| nb_modif 4 | elaps: 0s
Epoch 45/400: [===============] 100% | Error 44.1329 | Acc: 0.684444 AT 7.40944 | val_Acc 0.695 | val_AT 7.18327| nb_modif 4 | elaps: 0s
Epoch 46/400: [===============] 100% | Error 44.1371 | Acc: 0.694444 AT 7.11778 | val_Acc 0.68 | val_AT 7.26092| nb_modif 4 | elaps: 0s
Epoch 47/400: [===============] 100% | Error 44.1412 | Acc: 0.709444 AT 6.725 | val_Acc 0.705 | val_AT 6.7213| nb_modif 4 | elaps: 0s
Epoch 48/400: [===============] 100% | Error 44.1453 | Acc: 0.730556 AT 6.23222 | val_Acc 0.705 | val_AT 6.64861| nb_modif 4 | elaps: 0s
Epoch 49/400: [===============] 100% | Error 44.1484 | Acc: 0.759444 AT 5.68056 | val_Acc 0.745 | val_AT 5.94824| nb_modif 3 | elaps: 0s
Epoch 50/400: [===============] 100% | Error 44.1525 | Acc: 0.766667 AT 5.58389 | val_Acc 0.72 | val_AT 6.38974| nb_modif 4 | elaps: 0s
Epoch 51/400: [===============] 100% | Error 44.1625 | Acc: 0.777778 AT 5.40389 | val_Acc 0.72 | val_AT 6.48195| nb_modif 3 | elaps: 0s
Epoch 52/400: [===============] 100% | Error 44.1648 | Acc: 0.744444 AT 6.05222 | val_Acc 0.695 | val_AT 6.92241| nb_modif 2 | elaps: 0s
Epoch 53/400: [===============] 100% | Error 44.1681 | Acc: 0.755556 AT 5.81056 | val_Acc 0.765 | val_AT 5.54961| nb_modif 3 | elaps: 0s
Epoch 54/400: [===============] 100% | Error 44.1761 | Acc: 0.819444 AT 4.69889 | val_Acc 0.825 | val_AT 4.56775| nb_modif 3 | elaps: 0s
Epoch 55/400: [===============] 100% | Error 44.1785 | Acc: 0.815556 AT 4.71556 | val_Acc 0.79 | val_AT 5.03784| nb_modif 2 | elaps: 0s
Epoch 56/400: [===============] 100% | Error 44.2035 | Acc: 0.781667 AT 5.29222 | val_Acc 0.79 | val_AT 5.17019| nb_modif 2 | elaps: 0s
Epoch 57/400: [===============] 100% | Error 44.2072 | Acc: 0.781667 AT 5.33389 | val_Acc 0.8 | val_AT 4.92585| nb_modif 3 | elaps: 0s
Epoch 58/400: [===============] 100% | Error 44.2433 | Acc: 0.787222 AT 5.16389 | val_Acc 0.795 | val_AT 4.92963| nb_modif 2 | elaps: 0s
Epoch 59/400: [===============] 100% | Error 44.2513 | Acc: 0.792778 AT 4.99389 | val_Acc 0.835 | val_AT 4.14465| nb_modif 3 | elaps: 0s
Epoch 60/400: [===============] 100% | Error 44.2533 | Acc: 0.827778 AT 4.35056 | val_Acc 0.87 | val_AT 3.46572| nb_modif 2 | elaps: 0s
Epoch 61/400: [===============] 100% | Error 44.2553 | Acc: 0.845556 AT 3.99611 | val_Acc 0.89 | val_AT 3.07233| nb_modif 2 | elaps: 0s
Epoch 62/400: [===============] 100% | Error 44.258 | Acc: 0.852778 AT 3.87611 | val_Acc 0.89 | val_AT 3.06536| nb_modif 2 | elaps: 0s
Epoch 63/400: [===============] 100% | Error 44.2909 | Acc: 0.844444 AT 4.03889 | val_Acc 0.89 | val_AT 3.08533| nb_modif 3 | elaps: 0s
Epoch 64/400: [===============] 100% | Error 44.292 | Acc: 0.87 AT 3.55278 | val_Acc 0.875 | val_AT 3.41043| nb_modif 1 | elaps: 0s
Epoch 65/400: [===============] 100% | Error 44.2941 | Acc: 0.856111 AT 3.85333 | val_Acc 0.855 | val_AT 3.79705| nb_modif 2 | elaps: 0s
Epoch 66/400: [===============] 100% | Error 44.2951 | Acc: 0.874444 AT 3.55167 | val_Acc 0.895 | val_AT 3.07399| nb_modif 1 | elaps: 0s
Epoch 67/400: [===============] 100% | Error 44.2975 | Acc: 0.912778 AT 2.82556 | val_Acc 0.94 | val_AT 2.22537| nb_modif 2 | elaps: 0s
Epoch 68/400: [===============] 100% | Error 44.2996 | Acc: 0.93 AT 2.49667 | val_Acc 0.94 | val_AT 2.22113| nb_modif 2 | elaps: 0s
Epoch 69/400: [===============] 100% | Error 44.3133 | Acc: 0.92 AT 2.69611 | val_Acc 0.905 | val_AT 2.92111| nb_modif 2 | elaps: 0s
Epoch 70/400: [===============] 100% | Error 44.3154 | Acc: 0.912778 AT 2.84778 | val_Acc 0.88 | val_AT 3.37461| nb_modif 2 | elaps: 0s
Epoch 71/400: [===============] 100% | Error 44.3164 | Acc: 0.905556 AT 3.00278 | val_Acc 0.9 | val_AT 3.05187| nb_modif 1 | elaps: 0s
Epoch 72/400: [===============] 100% | Error 44.3174 | Acc: 0.909444 AT 2.95778 | val_Acc 0.925 | val_AT 2.57526| nb_modif 1 | elaps: 0s
Epoch 73/400: [===============] 100% | Error 44.3184 | Acc: 0.91 AT 2.93222 | val_Acc 0.915 | val_AT 2.76288| nb_modif 1 | elaps: 0s
Epoch 74/400: [===============] 100% | Error 44.3195 | Acc: 0.923333 AT 2.68722 | val_Acc 0.92 | val_AT 2.65881| nb_modif 1 | elaps: 0s
Epoch 75/400: [===============] 100% | Error 44.3205 | Acc: 0.955 AT 2.05444 | val_Acc 0.95 | val_AT 2.08829| nb_modif 1 | elaps: 0s
=== END TRAINNING << Time elapsed 29447ms nb threads 18
Epoch 1/400: [===============] 100% | Error 11.2271 | Acc: 0 AT 19.9794 | val_Acc 0 | val_AT 19.9| nb_modif 4 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 20.6576 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 4 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 32.1134 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 7 | elaps: 0s
Epoch 4/400: [===============] 100% | Error 39.144 | Acc: 0.0455556 AT 19.5817 | val_Acc 0 | val_AT 20| nb_modif 9 | elaps: 0s
Epoch 5/400: [===============] 100% | Error 41.9724 | Acc: 0.0494444 AT 19.3122 | val_Acc 0.15 | val_AT 17.45| nb_modif 10 | elaps: 0s
Epoch 6/400: [===============] 100% | Error 42.7834 | Acc: 0.398333 AT 13.2961 | val_Acc 0.475 | val_AT 11.9572| nb_modif 7 | elaps: 0s
Epoch 7/400: [===============] 100% | Error 43.224 | Acc: 0.48 AT 11.9061 | val_Acc 0.48 | val_AT 11.5398| nb_modif 7 | elaps: 0s
Epoch 8/400: [===============] 100% | Error 43.4887 | Acc: 0.433333 AT 12.3944 | val_Acc 0.44 | val_AT 12.1477| nb_modif 7 | elaps: 0s
Epoch 9/400: [===============] 100% | Error 43.6425 | Acc: 0.451667 AT 11.9967 | val_Acc 0.55 | val_AT 10.0807| nb_modif 7 | elaps: 0s
Epoch 10/400: [===============] 100% | Error 43.7182 | Acc: 0.59 AT 9.47889 | val_Acc 0.65 | val_AT 8.5854| nb_modif 5 | elaps: 0s
Epoch 11/400: [===============] 100% | Error 43.7801 | Acc: 0.693333 AT 7.71222 | val_Acc 0.685 | val_AT 7.63793| nb_modif 4 | elaps: 0s
Epoch 12/400: [===============] 100% | Error 43.8128 | Acc: 0.762222 AT 6.49 | val_Acc 0.85 | val_AT 4.74819| nb_modif 3 | elaps: 0s
Epoch 13/400: [===============] 100% | Error 43.8414 | Acc: 0.791111 AT 6.07222 | val_Acc 0.745 | val_AT 6.97374| nb_modif 3 | elaps: 0s
