Epoch 1/400: [===============] 100% | Error 10.7804 | Acc: 0.00777778 AT 19.6972 | val_Acc 0 | val_AT 19.9| nb_modif 4 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 24.2615 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 6 | elaps: 1s
Epoch 3/400: [===============] 100% | Error 36.2131 | Acc: 0.00833333 AT 19.9222 | val_Acc 0 | val_AT 20| nb_modif 9 | elaps: 1s
Epoch 4/400: [===============] 100% | Error 42.7194 | Acc: 0.0472222 AT 19.6728 | val_Acc 0 | val_AT 20| nb_modif 11 | elaps: 2s
Epoch 5/400: [===============] 100% | Error 45.6544 | Acc: 0.0966667 AT 18.465 | val_Acc 0.29 | val_AT 15.3| nb_modif 14 | elaps: 2s
Epoch 6/400: [===============] 100% | Error 46.4015 | Acc: 0.454444 AT 12.4511 | val_Acc 0.435 | val_AT 12.7215| nb_modif 10 | elaps: 2s
Epoch 7/400: [===============] 100% | Error 46.7003 | Acc: 0.513333 AT 11.3739 | val_Acc 0.695 | val_AT 8.44361| nb_modif 8 | elaps: 1s
Epoch 8/400: [===============] 100% | Error 46.8657 | Acc: 0.621111 AT 9.60167 | val_Acc 0.59 | val_AT 10.0222| nb_modif 8 | elaps: 1s
Epoch 9/400: [===============] 100% | Error 46.985 | Acc: 0.577778 AT 10.3289 | val_Acc 0.615 | val_AT 9.78511| nb_modif 8 | elaps: 1s
Epoch 10/400: [===============] 100% | Error 47.0627 | Acc: 0.567778 AT 10.635 | val_Acc 0.595 | val_AT 10.2889| nb_modif 8 | elaps: 1s
Epoch 11/400: [===============] 100% | Error 47.1248 | Acc: 0.536111 AT 11.1833 | val_Acc 0.6 | val_AT 9.94644| nb_modif 9 | elaps: 1s
Epoch 12/400: [===============] 100% | Error 47.1636 | Acc: 0.579444 AT 10.1144 | val_Acc 0.59 | val_AT 9.68473| nb_modif 8 | elaps: 1s
Epoch 13/400: [===============] 100% | Error 47.1898 | Acc: 0.686667 AT 8.38056 | val_Acc 0.525 | val_AT 11.2084| nb_modif 7 | elaps: 1s
Epoch 14/400: [===============] 100% | Error 47.2368 | Acc: 0.608889 AT 9.85278 | val_Acc 0.63 | val_AT 9.44104| nb_modif 8 | elaps: 1s
Epoch 15/400: [===============] 100% | Error 47.2543 | Acc: 0.627778 AT 9.50444 | val_Acc 0.645 | val_AT 9.13721| nb_modif 7 | elaps: 1s
Epoch 16/400: [===============] 100% | Error 47.2703 | Acc: 0.606111 AT 9.84722 | val_Acc 0.755 | val_AT 7.44069| nb_modif 8 | elaps: 1s
Epoch 17/400: [===============] 100% | Error 47.2826 | Acc: 0.649444 AT 9.24278 | val_Acc 0.595 | val_AT 10.1522| nb_modif 7 | elaps: 1s
Epoch 18/400: [===============] 100% | Error 47.2946 | Acc: 0.630556 AT 9.60111 | val_Acc 0.595 | val_AT 10.2058| nb_modif 8 | elaps: 1s
Epoch 19/400: [===============] 100% | Error 47.305 | Acc: 0.575556 AT 10.6256 | val_Acc 0.595 | val_AT 10.366| nb_modif 8 | elaps: 1s
Epoch 20/400: [===============] 100% | Error 47.3144 | Acc: 0.665 AT 9.07222 | val_Acc 0.735 | val_AT 7.94683| nb_modif 8 | elaps: 1s
Epoch 21/400: [===============] 100% | Error 47.3209 | Acc: 0.724444 AT 8.01722 | val_Acc 0.655 | val_AT 9.22973| nb_modif 6 | elaps: 1s
Epoch 22/400: [===============] 100% | Error 47.3292 | Acc: 0.584444 AT 10.3478 | val_Acc 0.485 | val_AT 11.9761| nb_modif 8 | elaps: 1s
Epoch 23/400: [===============] 100% | Error 47.3374 | Acc: 0.601111 AT 10.0878 | val_Acc 0.67 | val_AT 8.95488| nb_modif 8 | elaps: 1s
Epoch 24/400: [===============] 100% | Error 47.3521 | Acc: 0.551111 AT 10.7211 | val_Acc 0.515 | val_AT 11.1948| nb_modif 8 | elaps: 1s
Epoch 25/400: [===============] 100% | Error 47.3615 | Acc: 0.516111 AT 11.2633 | val_Acc 0.5 | val_AT 11.341| nb_modif 9 | elaps: 1s
Epoch 26/400: [===============] 100% | Error 47.3719 | Acc: 0.502778 AT 11.13 | val_Acc 0.525 | val_AT 10.4967| nb_modif 9 | elaps: 1s
Epoch 27/400: [===============] 100% | Error 47.3804 | Acc: 0.583333 AT 9.39111 | val_Acc 0.71 | val_AT 6.99248| nb_modif 7 | elaps: 1s
Epoch 28/400: [===============] 100% | Error 47.3878 | Acc: 0.722778 AT 6.69556 | val_Acc 0.745 | val_AT 6.05496| nb_modif 5 | elaps: 0s
Epoch 29/400: [===============] 100% | Error 47.3941 | Acc: 0.75 AT 5.93944 | val_Acc 0.745 | val_AT 5.86027| nb_modif 5 | elaps: 1s
Epoch 30/400: [===============] 100% | Error 47.3995 | Acc: 0.818889 AT 4.74444 | val_Acc 0.82 | val_AT 4.6493| nb_modif 4 | elaps: 0s
Epoch 31/400: [===============] 100% | Error 47.404 | Acc: 0.85 AT 4.11056 | val_Acc 0.805 | val_AT 4.79325| nb_modif 3 | elaps: 0s
Epoch 32/400: [===============] 100% | Error 47.4097 | Acc: 0.828333 AT 4.54778 | val_Acc 0.815 | val_AT 4.88897| nb_modif 4 | elaps: 0s
Epoch 33/400: [===============] 100% | Error 47.4462 | Acc: 0.781667 AT 5.66556 | val_Acc 0.725 | val_AT 6.58444| nb_modif 4 | elaps: 0s
Epoch 34/400: [===============] 100% | Error 47.4836 | Acc: 0.861111 AT 4.06889 | val_Acc 0.885 | val_AT 3.49292| nb_modif 4 | elaps: 0s
Epoch 35/400: [===============] 100% | Error 47.4862 | Acc: 0.871111 AT 3.70111 | val_Acc 0.84 | val_AT 4.19246| nb_modif 2 | elaps: 0s
Epoch 36/400: [===============] 100% | Error 47.5138 | Acc: 0.9 AT 3.05278 | val_Acc 0.885 | val_AT 3.31096| nb_modif 3 | elaps: 0s
Epoch 37/400: [===============] 100% | Error 47.5182 | Acc: 0.901111 AT 3.07833 | val_Acc 0.885 | val_AT 3.30655| nb_modif 3 | elaps: 0s
Epoch 38/400: [===============] 100% | Error 47.5207 | Acc: 0.889444 AT 3.31 | val_Acc 0.885 | val_AT 3.29153| nb_modif 2 | elaps: 0s
