Epoch 1/400: [===============] 100% | Error 8.0077 | Acc: 0.005 AT 19.9128 | val_Acc 0 | val_AT 19.9| nb_modif 3 | env_th 8 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 15.7964 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 3 | env_th 8 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 24.4796 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 4 | env_th 8 | elaps: 0s
Epoch 4/400: [===============] 100% | Error 34.4758 | Acc: 0.00111111 AT 19.9911 | val_Acc 0 | val_AT 20| nb_modif 7 | env_th 8 | elaps: 0s
Epoch 5/400: [===============] 100% | Error 39.7984 | Acc: 0.00555556 AT 19.9361 | val_Acc 0.045 | val_AT 19.19| nb_modif 8 | env_th 8 | elaps: 1s
Epoch 6/400: [===============] 100% | Error 41.7239 | Acc: 0.111111 AT 18.0956 | val_Acc 0.24 | val_AT 15.9759| nb_modif 8 | env_th 8 | elaps: 0s
Epoch 7/400: [===============] 100% | Error 42.2186 | Acc: 0.458889 AT 12.1983 | val_Acc 0.505 | val_AT 11.6849| nb_modif 5 | env_th 8 | elaps: 0s
Epoch 8/400: [===============] 100% | Error 42.4736 | Acc: 0.64 AT 9.27222 | val_Acc 0.715 | val_AT 8.05342| nb_modif 4 | env_th 8 | elaps: 0s
Epoch 1/400: [===============] 100% | Error 8.54327 | Acc: 0.000555556 AT 19.9633 | val_Acc 0 | val_AT 19.9| nb_modif 3 | env_th 8 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 16.3328 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 3 | env_th 8 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 24.7576 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 4 | env_th 8 | elaps: 0s
Epoch 4/400: [===============] 100% | Error 34.2807 | Acc: 0.00388889 AT 19.9661 | val_Acc 0 | val_AT 20| nb_modif 7 | env_th 8 | elaps: 0s
Epoch 5/400: [===============] 100% | Error 39.1049 | Acc: 0.045 AT 19.3489 | val_Acc 0.075 | val_AT 18.74| nb_modif 8 | env_th 8 | elaps: 0s
Epoch 6/400: [===============] 100% | Error 40.7613 | Acc: 0.143333 AT 17.6383 | val_Acc 0.285 | val_AT 15.1887| nb_modif 8 | env_th 8 | elaps: 0s
Epoch 7/400: [===============] 100% | Error 41.2119 | Acc: 0.530556 AT 10.88 | val_Acc 0.62 | val_AT 9.45094| nb_modif 5 | env_th 8 | elaps: 0s
Epoch 1/400: [===============] 100% | Error 8.55554 | Acc: 0 AT 19.9961 | val_Acc 0 | val_AT 19.9| nb_modif 3 | env_th 8 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 16.2242 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 3 | env_th 8 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 24.4051 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 4 | env_th 8 | elaps: 0s
