Epoch 1/400: [===============] 100% | Error 10.676 | Acc: 0.00444444 AT 19.9144 | val_Acc 0 | val_AT 19.9| nb_modif 4 | elaps: 1s
Epoch 2/400: [===============] 100% | Error 24.2524 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 6 | elaps: 1s
Epoch 3/400: [===============] 100% | Error 37.666 | Acc: 0.00888889 AT 19.9306 | val_Acc 0 | val_AT 20| nb_modif 10 | elaps: 3s
Epoch 4/400: [===============] 100% | Error 44.4131 | Acc: 0.065 AT 19.4767 | val_Acc 0 | val_AT 20| nb_modif 13 | elaps: 4s
Epoch 5/400: [===============] 100% | Error 47.1591 | Acc: 0.140556 AT 17.6028 | val_Acc 0.35 | val_AT 13.945| nb_modif 16 | elaps: 5s
Epoch 6/400: [===============] 100% | Error 47.8821 | Acc: 0.448333 AT 12.3544 | val_Acc 0.57 | val_AT 10.0747| nb_modif 11 | elaps: 3s
Epoch 7/400: [===============] 100% | Error 48.21 | Acc: 0.511111 AT 11.1978 | val_Acc 0.555 | val_AT 10.3854| nb_modif 10 | elaps: 3s
Epoch 8/400: [===============] 100% | Error 48.3714 | Acc: 0.557778 AT 10.6394 | val_Acc 0.565 | val_AT 10.4969| nb_modif 9 | elaps: 2s
Epoch 9/400: [===============] 100% | Error 48.4525 | Acc: 0.696111 AT 8.55667 | val_Acc 0.805 | val_AT 6.80748| nb_modif 8 | elaps: 2s
Epoch 10/400: [===============] 100% | Error 48.5098 | Acc: 0.701667 AT 8.55111 | val_Acc 0.73 | val_AT 7.95404| nb_modif 8 | elaps: 2s
Epoch 11/400: [===============] 100% | Error 48.5477 | Acc: 0.74 AT 8.00889 | val_Acc 0.7 | val_AT 8.63977| nb_modif 7 | elaps: 2s
Epoch 12/400: [===============] 100% | Error 48.5812 | Acc: 0.658333 AT 9.53778 | val_Acc 0.665 | val_AT 9.3482| nb_modif 8 | elaps: 2s
Epoch 13/400: [===============] 100% | Error 48.6066 | Acc: 0.736667 AT 8.32056 | val_Acc 0.755 | val_AT 7.75174| nb_modif 8 | elaps: 2s
Epoch 14/400: [===============] 100% | Error 48.6242 | Acc: 0.717778 AT 8.42 | val_Acc 0.665 | val_AT 9.18376| nb_modif 7 | elaps: 2s
Epoch 15/400: [===============] 100% | Error 48.645 | Acc: 0.539444 AT 11.1439 | val_Acc 0.55 | val_AT 10.7659| nb_modif 10 | elaps: 3s
Epoch 16/400: [===============] 100% | Error 48.6628 | Acc: 0.505 AT 11.5917 | val_Acc 0.585 | val_AT 10.3688| nb_modif 11 | elaps: 3s
Epoch 17/400: [===============] 100% | Error 48.6748 | Acc: 0.537222 AT 10.9867 | val_Acc 0.63 | val_AT 9.47184| nb_modif 9 | elaps: 2s
Epoch 18/400: [===============] 100% | Error 48.6855 | Acc: 0.622778 AT 9.585 | val_Acc 0.825 | val_AT 6.31236| nb_modif 9 | elaps: 2s
Epoch 19/400: [===============] 100% | Error 48.6943 | Acc: 0.687222 AT 8.68722 | val_Acc 0.7 | val_AT 8.30656| nb_modif 8 | elaps: 2s
Epoch 20/400: [===============] 100% | Error 48.7029 | Acc: 0.665556 AT 9.09889 | val_Acc 0.68 | val_AT 8.89153| nb_modif 8 | elaps: 2s
Epoch 21/400: [===============] 100% | Error 48.7133 | Acc: 0.570556 AT 11.0083 | val_Acc 0.61 | val_AT 10.0645| nb_modif 10 | elaps: 3s
Epoch 22/400: [===============] 100% | Error 48.7227 | Acc: 0.612222 AT 9.77889 | val_Acc 0.495 | val_AT 11.7453| nb_modif 9 | elaps: 2s
Epoch 23/400: [===============] 100% | Error 48.7311 | Acc: 0.588333 AT 9.905 | val_Acc 0.57 | val_AT 8.94373| nb_modif 8 | elaps: 2s
