Epoch 1/400: [===============] 100% | Error 10.8857 | Acc: 0.00777778 AT 19.7667 | val_Acc 0 | val_AT 19.9| nb_modif 4 | elaps: 1s
Epoch 2/400: [===============] 100% | Error 24.6044 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 6 | elaps: 1s
Epoch 3/400: [===============] 100% | Error 37.9977 | Acc: 0.00833333 AT 19.95 | val_Acc 0 | val_AT 20| nb_modif 10 | elaps: 3s
Epoch 4/400: [===============] 100% | Error 45.0303 | Acc: 0.0622222 AT 19.5583 | val_Acc 0 | val_AT 20| nb_modif 13 | elaps: 4s
Epoch 5/400: [===============] 100% | Error 47.7724 | Acc: 0.111667 AT 18.1617 | val_Acc 0.41 | val_AT 13.13| nb_modif 16 | elaps: 5s
Epoch 6/400: [===============] 100% | Error 48.543 | Acc: 0.396667 AT 13.3378 | val_Acc 0.565 | val_AT 10.4556| nb_modif 12 | elaps: 3s
Epoch 7/400: [===============] 100% | Error 48.7729 | Acc: 0.612222 AT 9.62333 | val_Acc 0.71 | val_AT 8.30728| nb_modif 8 | elaps: 2s
Epoch 8/400: [===============] 100% | Error 48.9229 | Acc: 0.593889 AT 9.94722 | val_Acc 0.64 | val_AT 9.22154| nb_modif 9 | elaps: 2s
Epoch 9/400: [===============] 100% | Error 49.0028 | Acc: 0.641667 AT 9.29278 | val_Acc 0.705 | val_AT 8.41111| nb_modif 8 | elaps: 2s
Epoch 10/400: [===============] 100% | Error 49.0767 | Acc: 0.577778 AT 10.495 | val_Acc 0.54 | val_AT 11.0271| nb_modif 10 | elaps: 3s
Epoch 11/400: [===============] 100% | Error 49.128 | Acc: 0.535 AT 11.025 | val_Acc 0.51 | val_AT 11.2451| nb_modif 10 | elaps: 3s
Epoch 12/400: [===============] 100% | Error 49.1628 | Acc: 0.582222 AT 9.96556 | val_Acc 0.63 | val_AT 9.28623| nb_modif 9 | elaps: 2s
Epoch 13/400: [===============] 100% | Error 49.1839 | Acc: 0.718889 AT 7.71611 | val_Acc 0.69 | val_AT 8.22143| nb_modif 7 | elaps: 2s
Epoch 14/400: [===============] 100% | Error 49.1989 | Acc: 0.794444 AT 6.55278 | val_Acc 0.72 | val_AT 8.05611| nb_modif 6 | elaps: 1s
Epoch 15/400: [===============] 100% | Error 49.2136 | Acc: 0.722778 AT 8.00389 | val_Acc 0.64 | val_AT 9.29028| nb_modif 7 | elaps: 2s
Epoch 16/400: [===============] 100% | Error 49.2272 | Acc: 0.665 AT 9.04278 | val_Acc 0.635 | val_AT 9.30645| nb_modif 8 | elaps: 2s
