Epoch 1/400: [===============] 100% | Error 8.01478 | Acc: 0.00611111 AT 19.8322 | val_Acc 0 | val_AT 19.9| nb_modif 3 | env_th 4 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 18.1504 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 4 | env_th 4 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 29.6609 | Acc: 0.00111111 AT 19.9911 | val_Acc 0 | val_AT 20| nb_modif 6 | env_th 4 | elaps: 1s
Epoch 4/400: [===============] 100% | Error 39.1042 | Acc: 0.0177778 AT 19.8617 | val_Acc 0 | val_AT 20| nb_modif 9 | env_th 4 | elaps: 1s
Epoch 5/400: [===============] 100% | Error 43.4311 | Acc: 0.00444444 AT 19.9328 | val_Acc 0.015 | val_AT 19.75| nb_modif 11 | env_th 4 | elaps: 1s
Epoch 6/400: [===============] 100% | Error 44.4681 | Acc: 0.34 AT 14.3256 | val_Acc 0.565 | val_AT 10.4838| nb_modif 7 | env_th 4 | elaps: 1s
Epoch 7/400: [===============] 100% | Error 44.8422 | Acc: 0.648333 AT 9.11611 | val_Acc 0.785 | val_AT 6.69742| nb_modif 5 | env_th 4 | elaps: 0s
Epoch 1/400: [===============] 100% | Error 7.97877 | Acc: 0.00555556 AT 19.8633 | val_Acc 0 | val_AT 19.9| nb_modif 3 | env_th 4 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 18.1683 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 4 | env_th 4 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 30.9423 | Acc: 0.00111111 AT 19.9889 | val_Acc 0 | val_AT 20| nb_modif 7 | env_th 4 | elaps: 1s
Epoch 4/400: [===============] 100% | Error 39.5498 | Acc: 0.0172222 AT 19.865 | val_Acc 0 | val_AT 20| nb_modif 9 | env_th 4 | elaps: 1s
Epoch 5/400: [===============] 100% | Error 43.6706 | Acc: 0.0116667 AT 19.8144 | val_Acc 0.16 | val_AT 17.395| nb_modif 11 | env_th 4 | elaps: 1s
Epoch 6/400: [===============] 100% | Error 44.6233 | Acc: 0.425556 AT 12.9778 | val_Acc 0.55 | val_AT 10.867| nb_modif 7 | env_th 4 | elaps: 1s
Epoch 7/400: [===============] 100% | Error 45.0273 | Acc: 0.551667 AT 10.8417 | val_Acc 0.695 | val_AT 8.49434| nb_modif 6 | env_th 4 | elaps: 0s
