Epoch 1/400: [===============] 100% | Error 10.6917 | Acc: 0.005 AT 19.9111 | val_Acc 0 | val_AT 19.9| nb_modif 4 | elaps: 1s
Epoch 2/400: [===============] 100% | Error 24.4632 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 6 | elaps: 1s
Epoch 3/400: [===============] 100% | Error 38.1855 | Acc: 0.00833333 AT 19.9433 | val_Acc 0 | val_AT 20| nb_modif 10 | elaps: 3s
Epoch 4/400: [===============] 100% | Error 45.2649 | Acc: 0.0588889 AT 19.5289 | val_Acc 0 | val_AT 20| nb_modif 13 | elaps: 4s
Epoch 5/400: [===============] 100% | Error 48.1107 | Acc: 0.153889 AT 17.4661 | val_Acc 0.42 | val_AT 13.21| nb_modif 16 | elaps: 5s
Epoch 6/400: [===============] 100% | Error 48.8201 | Acc: 0.449444 AT 12.6039 | val_Acc 0.585 | val_AT 10.156| nb_modif 11 | elaps: 3s
Epoch 7/400: [===============] 100% | Error 49.095 | Acc: 0.579444 AT 10.1956 | val_Acc 0.665 | val_AT 8.76078| nb_modif 9 | elaps: 2s
Epoch 8/400: [===============] 100% | Error 49.2369 | Acc: 0.631111 AT 9.47222 | val_Acc 0.67 | val_AT 8.5038| nb_modif 8 | elaps: 2s
Epoch 9/400: [===============] 100% | Error 49.3355 | Acc: 0.607222 AT 9.63944 | val_Acc 0.68 | val_AT 8.45752| nb_modif 9 | elaps: 2s
Epoch 10/400: [===============] 100% | Error 49.3972 | Acc: 0.68 AT 8.55111 | val_Acc 0.65 | val_AT 9.15729| nb_modif 8 | elaps: 2s
Epoch 11/400: [===============] 100% | Error 49.4478 | Acc: 0.632222 AT 9.735 | val_Acc 0.56 | val_AT 11.0608| nb_modif 9 | elaps: 2s
Epoch 12/400: [===============] 100% | Error 49.4891 | Acc: 0.51 AT 11.5156 | val_Acc 0.565 | val_AT 10.5703| nb_modif 10 | elaps: 3s
Epoch 13/400: [===============] 100% | Error 49.5136 | Acc: 0.608333 AT 9.92333 | val_Acc 0.655 | val_AT 9.05785| nb_modif 8 | elaps: 2s
Epoch 14/400: [===============] 100% | Error 49.5326 | Acc: 0.667778 AT 8.92611 | val_Acc 0.64 | val_AT 9.02029| nb_modif 8 | elaps: 2s
Epoch 15/400: [===============] 100% | Error 49.5478 | Acc: 0.731667 AT 7.80778 | val_Acc 0.655 | val_AT 8.8351| nb_modif 8 | elaps: 2s
Epoch 16/400: [===============] 100% | Error 49.5589 | Acc: 0.691667 AT 8.265 | val_Acc 0.785 | val_AT 6.66918| nb_modif 7 | elaps: 2s
Epoch 17/400: [===============] 100% | Error 49.5673 | Acc: 0.767222 AT 7.28722 | val_Acc 0.755 | val_AT 7.42335| nb_modif 6 | elaps: 1s
Epoch 18/400: [===============] 100% | Error 49.5928 | Acc: 0.718333 AT 8.41167 | val_Acc 0.685 | val_AT 8.72712| nb_modif 8 | elaps: 2s
Epoch 19/400: [===============] 100% | Error 49.6035 | Acc: 0.612222 AT 10.0433 | val_Acc 0.57 | val_AT 10.7036| nb_modif 9 | elaps: 2s
Epoch 20/400: [===============] 100% | Error 49.6136 | Acc: 0.59 AT 10.4394 | val_Acc 0.525 | val_AT 11.2985| nb_modif 9 | elaps: 2s
Epoch 21/400: [===============] 100% | Error 49.6243 | Acc: 0.578889 AT 10.51 | val_Acc 0.595 | val_AT 10.2015| nb_modif 10 | elaps: 3s
Epoch 22/400: [===============] 100% | Error 49.6329 | Acc: 0.618889 AT 9.90167 | val_Acc 0.655 | val_AT 9.39601| nb_modif 8 | elaps: 2s
Epoch 23/400: [===============] 100% | Error 49.6423 | Acc: 0.651111 AT 9.03389 | val_Acc 0.635 | val_AT 9.04698| nb_modif 9 | elaps: 2s
Epoch 24/400: [===============] 100% | Error 49.6519 | Acc: 0.66 AT 8.69389 | val_Acc 0.635 | val_AT 8.85023| nb_modif 7 | elaps: 2s
Epoch 25/400: [===============] 100% | Error 49.6622 | Acc: 0.748889 AT 6.78278 | val_Acc 0.76 | val_AT 6.20425| nb_modif 6 | elaps: 1s
Epoch 26/400: [===============] 100% | Error 49.6708 | Acc: 0.742778 AT 6.57278 | val_Acc 0.72 | val_AT 7.01602| nb_modif 6 | elaps: 1s
Epoch 27/400: [===============] 100% | Error 49.7002 | Acc: 0.712222 AT 6.81833 | val_Acc 0.71 | val_AT 6.63008| nb_modif 6 | elaps: 1s
Epoch 28/400: [===============] 100% | Error 49.7085 | Acc: 0.698333 AT 6.98167 | val_Acc 0.715 | val_AT 6.56315| nb_modif 7 | elaps: 2s
Epoch 29/400: [===============] 100% | Error 49.7146 | Acc: 0.710556 AT 6.72389 | val_Acc 0.74 | val_AT 6.15282| nb_modif 5 | elaps: 1s
Epoch 30/400: [===============] 100% | Error 49.725 | Acc: 0.682222 AT 7.18111 | val_Acc 0.765 | val_AT 5.59576| nb_modif 7 | elaps: 2s
Epoch 31/400: [===============] 100% | Error 49.7541 | Acc: 0.730556 AT 6.33222 | val_Acc 0.685 | val_AT 7.05298| nb_modif 5 | elaps: 1s
Epoch 32/400: [===============] 100% | Error 49.7636 | Acc: 0.663889 AT 7.57278 | val_Acc 0.66 | val_AT 7.45026| nb_modif 7 | elaps: 2s
Epoch 33/400: [===============] 100% | Error 49.7795 | Acc: 0.631667 AT 8.14667 | val_Acc 0.69 | val_AT 6.97225| nb_modif 7 | elaps: 2s
Epoch 34/400: [===============] 100% | Error 49.8089 | Acc: 0.708333 AT 6.24056 | val_Acc 0.825 | val_AT 4.54486| nb_modif 6 | elaps: 1s
Epoch 35/400: [===============] 100% | Error 49.822 | Acc: 0.795556 AT 5.06556 | val_Acc 0.835 | val_AT 4.16772| nb_modif 4 | elaps: 1s
Epoch 36/400: [===============] 100% | Error 49.8263 | Acc: 0.842778 AT 4.07222 | val_Acc 0.815 | val_AT 4.49084| nb_modif 4 | elaps: 1s
Epoch 37/400: [===============] 100% | Error 49.8761 | Acc: 0.853333 AT 3.88556 | val_Acc 0.91 | val_AT 2.68745| nb_modif 3 | elaps: 0s
Epoch 38/400: [===============] 100% | Error 49.9013 | Acc: 0.898333 AT 2.98833 | val_Acc 0.95 | val_AT 1.94344| nb_modif 3 | elaps: 0s
Epoch 39/400: [===============] 100% | Error 49.9034 | Acc: 0.908889 AT 2.81833 | val_Acc 0.88 | val_AT 3.18972| nb_modif 2 | elaps: 0s
Epoch 40/400: [===============] 100% | Error 49.9507 | Acc: 0.832222 AT 4.21333 | val_Acc 0.865 | val_AT 3.55095| nb_modif 4 | elaps: 1s
Epoch 41/400: [===============] 100% | Error 49.9603 | Acc: 0.888333 AT 3.265 | val_Acc 0.845 | val_AT 4.01275| nb_modif 3 | elaps: 0s
Epoch 42/400: [===============] 100% | Error 49.9643 | Acc: 0.838889 AT 4.14333 | val_Acc 0.775 | val_AT 5.19506| nb_modif 4 | elaps: 1s
Epoch 43/400: [===============] 100% | Error 49.9884 | Acc: 0.833889 AT 4.15611 | val_Acc 0.835 | val_AT 4.06098| nb_modif 4 | elaps: 1s
Epoch 44/400: [===============] 100% | Error 49.9916 | Acc: 0.851111 AT 3.82889 | val_Acc 0.835 | val_AT 4.05531| nb_modif 3 | elaps: 0s
Epoch 45/400: [===============] 100% | Error 49.995 | Acc: 0.851111 AT 3.82889 | val_Acc 0.835 | val_AT 4.05528| nb_modif 3 | elaps: 0s
Epoch 46/400: [===============] 100% | Error 49.9996 | Acc: 0.852222 AT 3.80778 | val_Acc 0.88 | val_AT 3.20028| nb_modif 4 | elaps: 1s
Epoch 47/400: [===============] 100% | Error 50.0023 | Acc: 0.914444 AT 2.62556 | val_Acc 0.95 | val_AT 1.866| nb_modif 2 | elaps: 0s
Epoch 48/400: [===============] 100% | Error 50.0046 | Acc: 0.95 AT 1.95 | val_Acc 0.95 | val_AT 1.85933| nb_modif 2 | elaps: 0s
=== END TRAINNING << Time elapsed 102941ms nb threads 2
Epoch 1/400: [===============] 100% | Error 10.8047 | Acc: 0.00777778 AT 19.7661 | val_Acc 0 | val_AT 19.9| nb_modif 4 | elaps: 1s
Epoch 2/400: [===============] 100% | Error 24.4259 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 6 | elaps: 1s
Epoch 3/400: [===============] 100% | Error 37.7059 | Acc: 0.00722222 AT 19.9522 | val_Acc 0 | val_AT 20| nb_modif 10 | elaps: 3s
Epoch 4/400: [===============] 100% | Error 45.0277 | Acc: 0.0622222 AT 19.5117 | val_Acc 0 | val_AT 20| nb_modif 14 | elaps: 4s
Epoch 5/400: [===============] 100% | Error 47.6486 | Acc: 0.095 AT 18.5344 | val_Acc 0.305 | val_AT 14.915| nb_modif 16 | elaps: 5s
Epoch 6/400: [===============] 100% | Error 48.364 | Acc: 0.411111 AT 13.0344 | val_Acc 0.6 | val_AT 10.0596| nb_modif 12 | elaps: 3s
Epoch 7/400: [===============] 100% | Error 48.6334 | Acc: 0.566111 AT 10.5844 | val_Acc 0.475 | val_AT 12.2753| nb_modif 9 | elaps: 2s
Epoch 8/400: [===============] 100% | Error 48.7871 | Acc: 0.613889 AT 9.99722 | val_Acc 0.5 | val_AT 11.6814| nb_modif 10 | elaps: 3s
Epoch 9/400: [===============] 100% | Error 48.8715 | Acc: 0.58 AT 10.3639 | val_Acc 0.48 | val_AT 12.0584| nb_modif 9 | elaps: 2s
Epoch 10/400: [===============] 100% | Error 48.9357 | Acc: 0.54 AT 10.9972 | val_Acc 0.53 | val_AT 11.1053| nb_modif 10 | elaps: 3s
Epoch 11/400: [===============] 100% | Error 48.9768 | Acc: 0.637222 AT 9.52389 | val_Acc 0.58 | val_AT 10.5305| nb_modif 9 | elaps: 2s
Epoch 12/400: [===============] 100% | Error 49.0041 | Acc: 0.672222 AT 9.06833 | val_Acc 0.705 | val_AT 8.53265| nb_modif 8 | elaps: 2s
Epoch 13/400: [===============] 100% | Error 49.0231 | Acc: 0.718333 AT 8.25667 | val_Acc 0.685 | val_AT 8.76266| nb_modif 7 | elaps: 2s
Epoch 14/400: [===============] 100% | Error 49.0565 | Acc: 0.673889 AT 9.02556 | val_Acc 0.655 | val_AT 9.51381| nb_modif 9 | elaps: 2s
Epoch 15/400: [===============] 100% | Error 49.0709 | Acc: 0.702222 AT 8.90667 | val_Acc 0.685 | val_AT 9.30257| nb_modif 8 | elaps: 2s
Epoch 16/400: [===============] 100% | Error 49.0829 | Acc: 0.637778 AT 9.80667 | val_Acc 0.605 | val_AT 10.2365| nb_modif 8 | elaps: 2s
Epoch 17/400: [===============] 100% | Error 49.0957 | Acc: 0.597778 AT 10.3994 | val_Acc 0.58 | val_AT 10.7862| nb_modif 10 | elaps: 3s
Epoch 18/400: [===============] 100% | Error 49.1063 | Acc: 0.583333 AT 10.5267 | val_Acc 0.665 | val_AT 9.12393| nb_modif 9 | elaps: 2s
Epoch 19/400: [===============] 100% | Error 49.1173 | Acc: 0.602222 AT 10.1989 | val_Acc 0.585 | val_AT 10.7406| nb_modif 10 | elaps: 3s
Epoch 20/400: [===============] 100% | Error 49.126 | Acc: 0.652778 AT 9.24778 | val_Acc 0.69 | val_AT 8.6337| nb_modif 8 | elaps: 2s
Epoch 21/400: [===============] 100% | Error 49.1353 | Acc: 0.620556 AT 9.85333 | val_Acc 0.535 | val_AT 11.1582| nb_modif 9 | elaps: 2s
Epoch 22/400: [===============] 100% | Error 49.1442 | Acc: 0.671667 AT 8.64222 | val_Acc 0.665 | val_AT 8.46079| nb_modif 8 | elaps: 2s
Epoch 23/400: [===============] 100% | Error 49.1518 | Acc: 0.663333 AT 8.27667 | val_Acc 0.745 | val_AT 6.7423| nb_modif 7 | elaps: 2s
Epoch 24/400: [===============] 100% | Error 49.1661 | Acc: 0.725 AT 6.96944 | val_Acc 0.74 | val_AT 6.42871| nb_modif 6 | elaps: 1s
