Epoch 1/400: [===============] 100% | Error 11.1589 | Acc: 0 AT 19.9878 | val_Acc 0 | val_AT 19.9| nb_modif 4 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 20.6595 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 4 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 32.4228 | Acc: 0.00222222 AT 19.9878 | val_Acc 0 | val_AT 20| nb_modif 7 | elaps: 0s
Epoch 4/400: [===============] 100% | Error 39.5265 | Acc: 0.0172222 AT 19.87 | val_Acc 0 | val_AT 20| nb_modif 8 | elaps: 0s
Epoch 5/400: [===============] 100% | Error 43.274 | Acc: 0.0622222 AT 19.1617 | val_Acc 0.27 | val_AT 16.27| nb_modif 10 | elaps: 0s
Epoch 6/400: [===============] 100% | Error 44.5185 | Acc: 0.269444 AT 15.7172 | val_Acc 0.495 | val_AT 12.0213| nb_modif 8 | elaps: 0s
Epoch 7/400: [===============] 100% | Error 45.0786 | Acc: 0.407778 AT 13.6039 | val_Acc 0.36 | val_AT 14.3701| nb_modif 8 | elaps: 0s
Epoch 8/400: [===============] 100% | Error 45.2731 | Acc: 0.568333 AT 10.9744 | val_Acc 0.655 | val_AT 9.64685| nb_modif 5 | elaps: 0s
Epoch 9/400: [===============] 100% | Error 45.49 | Acc: 0.447778 AT 12.945 | val_Acc 0.205 | val_AT 16.6282| nb_modif 8 | elaps: 0s
Epoch 10/400: [===============] 100% | Error 45.6507 | Acc: 0.295 AT 15.335 | val_Acc 0.355 | val_AT 14.2731| nb_modif 8 | elaps: 0s
Epoch 11/400: [===============] 100% | Error 45.7369 | Acc: 0.365556 AT 14.125 | val_Acc 0.37 | val_AT 14.2664| nb_modif 7 | elaps: 0s
Epoch 12/400: [===============] 100% | Error 45.8159 | Acc: 0.447778 AT 13.2167 | val_Acc 0.35 | val_AT 14.5663| nb_modif 7 | elaps: 0s
Epoch 13/400: [===============] 100% | Error 45.8624 | Acc: 0.372222 AT 14.1978 | val_Acc 0.51 | val_AT 12.2078| nb_modif 7 | elaps: 0s
Epoch 14/400: [===============] 100% | Error 45.897 | Acc: 0.381111 AT 14.1017 | val_Acc 0.345 | val_AT 14.516| nb_modif 7 | elaps: 0s
Epoch 15/400: [===============] 100% | Error 45.9456 | Acc: 0.27 AT 15.8022 | val_Acc 0.135 | val_AT 18.0026| nb_modif 9 | elaps: 0s
Epoch 16/400: [===============] 100% | Error 45.967 | Acc: 0.302222 AT 15.2794 | val_Acc 0.335 | val_AT 14.625| nb_modif 7 | elaps: 0s
Epoch 17/400: [===============] 100% | Error 45.9868 | Acc: 0.427778 AT 13.4072 | val_Acc 0.38 | val_AT 14.1231| nb_modif 8 | elaps: 0s
Epoch 18/400: [===============] 100% | Error 45.9995 | Acc: 0.385 AT 14.2183 | val_Acc 0.41 | val_AT 13.7756| nb_modif 6 | elaps: 0s
