Epoch 1/400: [===============] 100% | Error 13.2735 | Acc: 0.005 AT 19.8311 | val_Acc 0 | val_AT 19.9| nb_modif 5 | env_th 3 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 27.9882 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 7 | env_th 3 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 39.6423 | Acc: 0.0188889 AT 19.8628 | val_Acc 0 | val_AT 20| nb_modif 10 | env_th 3 | elaps: 1s
Epoch 4/400: [===============] 100% | Error 46.6725 | Acc: 0.0688889 AT 19.4578 | val_Acc 0 | val_AT 20| nb_modif 16 | env_th 3 | elaps: 1s
Epoch 5/400: [===============] 100% | Error 48.9032 | Acc: 0.123333 AT 18.1339 | val_Acc 0.305 | val_AT 15.065| nb_modif 17 | env_th 3 | elaps: 2s
Epoch 6/400: [===============] 100% | Error 49.4985 | Acc: 0.341111 AT 14.4722 | val_Acc 0.435 | val_AT 12.8253| nb_modif 13 | env_th 3 | elaps: 1s
Epoch 7/400: [===============] 100% | Error 49.7322 | Acc: 0.551667 AT 10.8778 | val_Acc 0.535 | val_AT 10.9791| nb_modif 11 | env_th 3 | elaps: 1s
Epoch 8/400: [===============] 100% | Error 49.8404 | Acc: 0.556667 AT 10.6839 | val_Acc 0.71 | val_AT 8.1099| nb_modif 9 | env_th 3 | elaps: 1s
Epoch 9/400: [===============] 100% | Error 49.9068 | Acc: 0.693333 AT 8.52722 | val_Acc 0.68 | val_AT 8.88055| nb_modif 9 | env_th 3 | elaps: 1s
Epoch 10/400: [===============] 100% | Error 49.9592 | Acc: 0.6 AT 10.1717 | val_Acc 0.54 | val_AT 11.2194| nb_modif 10 | env_th 3 | elaps: 1s
Epoch 11/400: [===============] 100% | Error 50.0012 | Acc: 0.566111 AT 11.025 | val_Acc 0.48 | val_AT 12.5711| nb_modif 11 | env_th 3 | elaps: 1s
Epoch 12/400: [===============] 100% | Error 50.0341 | Acc: 0.486111 AT 12.3644 | val_Acc 0.52 | val_AT 11.4879| nb_modif 12 | env_th 3 | elaps: 1s
Epoch 13/400: [===============] 100% | Error 50.052 | Acc: 0.565 AT 10.7894 | val_Acc 0.72 | val_AT 8.14244| nb_modif 9 | env_th 3 | elaps: 1s
Epoch 14/400: [===============] 100% | Error 50.0633 | Acc: 0.725 AT 8.285 | val_Acc 0.77 | val_AT 7.51071| nb_modif 7 | env_th 3 | elaps: 0s
Epoch 15/400: [===============] 100% | Error 50.0744 | Acc: 0.738889 AT 8.18611 | val_Acc 0.66 | val_AT 9.44755| nb_modif 8 | env_th 3 | elaps: 1s
Epoch 16/400: [===============] 100% | Error 50.0867 | Acc: 0.622222 AT 9.96333 | val_Acc 0.67 | val_AT 8.79224| nb_modif 10 | env_th 3 | elaps: 1s
Epoch 17/400: [===============] 100% | Error 50.0957 | Acc: 0.702222 AT 8.49278 | val_Acc 0.705 | val_AT 8.39396| nb_modif 8 | env_th 3 | elaps: 1s
Epoch 18/400: [===============] 100% | Error 50.1043 | Acc: 0.723889 AT 8.27222 | val_Acc 0.63 | val_AT 9.59197| nb_modif 8 | env_th 3 | elaps: 1s
Epoch 19/400: [===============] 100% | Error 50.1149 | Acc: 0.576111 AT 10.6289 | val_Acc 0.54 | val_AT 11.193| nb_modif 10 | env_th 3 | elaps: 1s
Epoch 20/400: [===============] 100% | Error 50.1274 | Acc: 0.614444 AT 9.56444 | val_Acc 0.7 | val_AT 7.84096| nb_modif 9 | env_th 3 | elaps: 1s
Epoch 21/400: [===============] 100% | Error 50.135 | Acc: 0.709444 AT 7.58 | val_Acc 0.6 | val_AT 9.2592| nb_modif 7 | env_th 3 | elaps: 0s
Epoch 22/400: [===============] 100% | Error 50.1432 | Acc: 0.672778 AT 8.21722 | val_Acc 0.7 | val_AT 7.7013| nb_modif 8 | env_th 3 | elaps: 1s
Epoch 23/400: [===============] 100% | Error 50.1722 | Acc: 0.697778 AT 7.68556 | val_Acc 0.67 | val_AT 8.10351| nb_modif 6 | env_th 3 | elaps: 0s
Epoch 24/400: [===============] 100% | Error 50.2114 | Acc: 0.669444 AT 7.96111 | val_Acc 0.635 | val_AT 8.34552| nb_modif 8 | env_th 3 | elaps: 1s
Epoch 25/400: [===============] 100% | Error 50.3193 | Acc: 0.628889 AT 8.41722 | val_Acc 0.655 | val_AT 7.91173| nb_modif 9 | env_th 3 | elaps: 1s
Epoch 26/400: [===============] 100% | Error 50.4867 | Acc: 0.627222 AT 8.42722 | val_Acc 0.64 | val_AT 8.07456| nb_modif 9 | env_th 3 | elaps: 1s
Epoch 27/400: [===============] 100% | Error 50.5476 | Acc: 0.593889 AT 9.05778 | val_Acc 0.625 | val_AT 8.64537| nb_modif 9 | env_th 3 | elaps: 1s
Epoch 28/400: [===============] 100% | Error 50.6478 | Acc: 0.574444 AT 9.50833 | val_Acc 0.63 | val_AT 8.35323| nb_modif 8 | env_th 3 | elaps: 1s
Epoch 29/400: [===============] 100% | Error 50.6677 | Acc: 0.643889 AT 8.075 | val_Acc 0.63 | val_AT 8.22177| nb_modif 8 | env_th 3 | elaps: 1s
Epoch 30/400: [===============] 100% | Error 50.6976 | Acc: 0.621111 AT 8.39778 | val_Acc 0.63 | val_AT 8.19111| nb_modif 9 | env_th 3 | elaps: 1s
Epoch 31/400: [===============] 100% | Error 50.7466 | Acc: 0.631667 AT 8.32278 | val_Acc 0.705 | val_AT 6.99596| nb_modif 7 | env_th 3 | elaps: 0s
Epoch 32/400: [===============] 100% | Error 50.7548 | Acc: 0.689444 AT 7.245 | val_Acc 0.74 | val_AT 6.19998| nb_modif 7 | env_th 3 | elaps: 0s
Epoch 33/400: [===============] 100% | Error 50.7718 | Acc: 0.726667 AT 6.51944 | val_Acc 0.725 | val_AT 6.551| nb_modif 6 | env_th 3 | elaps: 0s
Epoch 34/400: [===============] 100% | Error 50.7803 | Acc: 0.728889 AT 6.45056 | val_Acc 0.705 | val_AT 6.84775| nb_modif 7 | env_th 3 | elaps: 0s
Epoch 35/400: [===============] 100% | Error 50.7916 | Acc: 0.650556 AT 7.94278 | val_Acc 0.665 | val_AT 7.62924| nb_modif 8 | env_th 3 | elaps: 1s
Epoch 36/400: [===============] 100% | Error 50.7985 | Acc: 0.656667 AT 7.93667 | val_Acc 0.715 | val_AT 6.88815| nb_modif 6 | env_th 3 | elaps: 0s
Epoch 37/400: [===============] 100% | Error 50.8198 | Acc: 0.677222 AT 7.60222 | val_Acc 0.65 | val_AT 8.10444| nb_modif 8 | env_th 3 | elaps: 1s
Epoch 38/400: [===============] 100% | Error 50.859 | Acc: 0.613889 AT 8.72278 | val_Acc 0.735 | val_AT 6.45552| nb_modif 7 | env_th 3 | elaps: 0s
Epoch 39/400: [===============] 100% | Error 50.8642 | Acc: 0.783889 AT 5.64111 | val_Acc 0.765 | val_AT 5.95228| nb_modif 5 | env_th 3 | elaps: 0s
Epoch 1/400: [===============] 100% | Error 13.338 | Acc: 0.00666667 AT 19.6922 | val_Acc 0 | val_AT 19.9| nb_modif 5 | env_th 3 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 27.7426 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 7 | env_th 3 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 39.3421 | Acc: 0.0194444 AT 19.8633 | val_Acc 0 | val_AT 20| nb_modif 10 | env_th 3 | elaps: 1s
Epoch 4/400: [===============] 100% | Error 45.9586 | Acc: 0.0755556 AT 19.4172 | val_Acc 0 | val_AT 20| nb_modif 15 | env_th 3 | elaps: 1s
Epoch 5/400: [===============] 100% | Error 48.3897 | Acc: 0.0972222 AT 18.5339 | val_Acc 0.28 | val_AT 15.465| nb_modif 18 | env_th 3 | elaps: 2s
Epoch 6/400: [===============] 100% | Error 49.0546 | Acc: 0.308333 AT 15.0139 | val_Acc 0.46 | val_AT 12.5623| nb_modif 14 | env_th 3 | elaps: 1s
Epoch 7/400: [===============] 100% | Error 49.279 | Acc: 0.520556 AT 11.4861 | val_Acc 0.49 | val_AT 12.3928| nb_modif 11 | env_th 3 | elaps: 1s
Epoch 8/400: [===============] 100% | Error 49.3871 | Acc: 0.557222 AT 10.8689 | val_Acc 0.505 | val_AT 11.702| nb_modif 10 | env_th 3 | elaps: 1s
Epoch 9/400: [===============] 100% | Error 49.4568 | Acc: 0.552778 AT 10.9228 | val_Acc 0.59 | val_AT 10.4085| nb_modif 11 | env_th 3 | elaps: 1s
Epoch 10/400: [===============] 100% | Error 49.5158 | Acc: 0.658333 AT 9.27722 | val_Acc 0.68 | val_AT 9.07204| nb_modif 8 | env_th 3 | elaps: 1s
Epoch 11/400: [===============] 100% | Error 49.575 | Acc: 0.608889 AT 10.3322 | val_Acc 0.51 | val_AT 11.9154| nb_modif 11 | env_th 3 | elaps: 1s
Epoch 12/400: [===============] 100% | Error 49.6226 | Acc: 0.424444 AT 13.3383 | val_Acc 0.57 | val_AT 11.1346| nb_modif 11 | env_th 3 | elaps: 1s
Epoch 13/400: [===============] 100% | Error 49.6706 | Acc: 0.551111 AT 11.1978 | val_Acc 0.495 | val_AT 12.0607| nb_modif 11 | env_th 3 | elaps: 1s
Epoch 14/400: [===============] 100% | Error 49.6862 | Acc: 0.631111 AT 9.79944 | val_Acc 0.465 | val_AT 12.4853| nb_modif 9 | env_th 3 | elaps: 1s
Epoch 15/400: [===============] 100% | Error 49.7034 | Acc: 0.455556 AT 12.495 | val_Acc 0.545 | val_AT 10.9624| nb_modif 12 | env_th 3 | elaps: 1s
Epoch 16/400: [===============] 100% | Error 49.714 | Acc: 0.622778 AT 9.73222 | val_Acc 0.65 | val_AT 9.17981| nb_modif 9 | env_th 3 | elaps: 1s
Epoch 17/400: [===============] 100% | Error 49.7239 | Acc: 0.633333 AT 9.56667 | val_Acc 0.675 | val_AT 8.8259| nb_modif 9 | env_th 3 | elaps: 1s
Epoch 18/400: [===============] 100% | Error 49.7324 | Acc: 0.678889 AT 9.07 | val_Acc 0.725 | val_AT 8.32913| nb_modif 8 | env_th 3 | elaps: 1s
Epoch 19/400: [===============] 100% | Error 49.7439 | Acc: 0.573333 AT 10.8183 | val_Acc 0.495 | val_AT 11.9716| nb_modif 11 | env_th 3 | elaps: 1s
