Epoch 1/400: [===============] 100% | Error 10.8357 | Acc: 0.005 AT 19.83 | val_Acc 0 | val_AT 19.9| nb_modif 4 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 26.6678 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 7 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 37.7623 | Acc: 0.00555556 AT 19.9583 | val_Acc 0 | val_AT 20| nb_modif 8 | elaps: 0s
Epoch 4/400: [===============] 100% | Error 45.1389 | Acc: 0.0372222 AT 19.7317 | val_Acc 0.005 | val_AT 19.925| nb_modif 11 | elaps: 1s
Epoch 5/400: [===============] 100% | Error 48.4763 | Acc: 0.0527778 AT 19.2267 | val_Acc 0.195 | val_AT 16.9346| nb_modif 13 | elaps: 1s
Epoch 6/400: [===============] 100% | Error 49.5782 | Acc: 0.313889 AT 14.8428 | val_Acc 0.505 | val_AT 11.8497| nb_modif 11 | elaps: 1s
Epoch 7/400: [===============] 100% | Error 50.0501 | Acc: 0.434444 AT 13.1661 | val_Acc 0.485 | val_AT 12.5192| nb_modif 10 | elaps: 0s
Epoch 8/400: [===============] 100% | Error 50.2767 | Acc: 0.360556 AT 14.235 | val_Acc 0.445 | val_AT 12.8026| nb_modif 10 | elaps: 0s
Epoch 9/400: [===============] 100% | Error 50.4034 | Acc: 0.388333 AT 13.8628 | val_Acc 0.57 | val_AT 10.864| nb_modif 10 | elaps: 1s
Epoch 10/400: [===============] 100% | Error 50.4749 | Acc: 0.515556 AT 11.8483 | val_Acc 0.41 | val_AT 13.4443| nb_modif 9 | elaps: 0s
Epoch 11/400: [===============] 100% | Error 50.5278 | Acc: 0.367778 AT 14.0483 | val_Acc 0.445 | val_AT 12.9672| nb_modif 10 | elaps: 1s
Epoch 12/400: [===============] 100% | Error 50.5624 | Acc: 0.477778 AT 12.5267 | val_Acc 0.455 | val_AT 12.7048| nb_modif 9 | elaps: 0s
Epoch 13/400: [===============] 100% | Error 50.5886 | Acc: 0.432222 AT 13.0878 | val_Acc 0.52 | val_AT 11.6585| nb_modif 9 | elaps: 0s
Epoch 14/400: [===============] 100% | Error 50.6276 | Acc: 0.480556 AT 12.3706 | val_Acc 0.39 | val_AT 13.8383| nb_modif 9 | elaps: 0s
Epoch 15/400: [===============] 100% | Error 50.6449 | Acc: 0.433333 AT 13.1533 | val_Acc 0.38 | val_AT 13.9142| nb_modif 9 | elaps: 0s
Epoch 16/400: [===============] 100% | Error 50.6578 | Acc: 0.505 AT 12.1506 | val_Acc 0.54 | val_AT 11.4496| nb_modif 8 | elaps: 0s
Epoch 17/400: [===============] 100% | Error 50.6693 | Acc: 0.587222 AT 10.9194 | val_Acc 0.51 | val_AT 11.9772| nb_modif 8 | elaps: 0s
Epoch 18/400: [===============] 100% | Error 50.6808 | Acc: 0.438889 AT 13.2456 | val_Acc 0.44 | val_AT 13.1449| nb_modif 9 | elaps: 0s
Epoch 19/400: [===============] 100% | Error 50.6924 | Acc: 0.48 AT 12.5478 | val_Acc 0.43 | val_AT 13.6007| nb_modif 10 | elaps: 1s
Epoch 20/400: [===============] 100% | Error 50.7001 | Acc: 0.553889 AT 11.5633 | val_Acc 0.515 | val_AT 11.983| nb_modif 7 | elaps: 0s
Epoch 21/400: [===============] 100% | Error 50.7095 | Acc: 0.491111 AT 12.3906 | val_Acc 0.505 | val_AT 12.1949| nb_modif 9 | elaps: 0s
Epoch 22/400: [===============] 100% | Error 50.7179 | Acc: 0.513889 AT 11.8261 | val_Acc 0.6 | val_AT 10.351| nb_modif 8 | elaps: 0s
Epoch 23/400: [===============] 100% | Error 50.7262 | Acc: 0.602778 AT 10.2139 | val_Acc 0.59 | val_AT 10.1868| nb_modif 8 | elaps: 0s
Epoch 24/400: [===============] 100% | Error 50.7355 | Acc: 0.626111 AT 9.33778 | val_Acc 0.57 | val_AT 10.0209| nb_modif 6 | elaps: 0s
Epoch 25/400: [===============] 100% | Error 50.7429 | Acc: 0.703333 AT 7.60889 | val_Acc 0.69 | val_AT 7.7451| nb_modif 6 | elaps: 0s
