Epoch 1/400: [===============] 100% | Error 15.7113 | Acc: 0.00277778 AT 19.94 | val_Acc 0 | val_AT 19.9| nb_modif 6 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 33.6278 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 10 | elaps: 1s
Epoch 3/400: [===============] 100% | Error 45.372 | Acc: 0.0661111 AT 19.5633 | val_Acc 0 | val_AT 20| nb_modif 16 | elaps: 1s
Epoch 4/400: [===============] 100% | Error 49.8347 | Acc: 0.105 AT 19.1461 | val_Acc 0 | val_AT 20| nb_modif 21 | elaps: 2s
Epoch 5/400: [===============] 100% | Error 51.3325 | Acc: 0.0727778 AT 19.0339 | val_Acc 0.155 | val_AT 17.58| nb_modif 24 | elaps: 3s
Epoch 6/400: [===============] 100% | Error 51.7468 | Acc: 0.305556 AT 15.1939 | val_Acc 0.345 | val_AT 14.3479| nb_modif 20 | elaps: 2s
Epoch 7/400: [===============] 100% | Error 51.8932 | Acc: 0.428333 AT 13.1006 | val_Acc 0.475 | val_AT 12.7967| nb_modif 17 | elaps: 2s
Epoch 8/400: [===============] 100% | Error 51.981 | Acc: 0.455 AT 12.9061 | val_Acc 0.535 | val_AT 11.794| nb_modif 17 | elaps: 2s
Epoch 9/400: [===============] 100% | Error 52.0169 | Acc: 0.516111 AT 12.05 | val_Acc 0.52 | val_AT 12.069| nb_modif 15 | elaps: 2s
Epoch 10/400: [===============] 100% | Error 52.0397 | Acc: 0.634444 AT 10.1778 | val_Acc 0.73 | val_AT 8.78535| nb_modif 13 | elaps: 1s
Epoch 11/400: [===============] 100% | Error 52.0541 | Acc: 0.740556 AT 8.37222 | val_Acc 0.79 | val_AT 7.51893| nb_modif 10 | elaps: 1s
Epoch 12/400: [===============] 100% | Error 52.0698 | Acc: 0.627222 AT 10.1639 | val_Acc 0.55 | val_AT 11.3726| nb_modif 13 | elaps: 1s
Epoch 13/400: [===============] 100% | Error 52.1078 | Acc: 0.568889 AT 10.6756 | val_Acc 0.575 | val_AT 10.6069| nb_modif 14 | elaps: 1s
Epoch 14/400: [===============] 100% | Error 52.1216 | Acc: 0.600556 AT 10.2806 | val_Acc 0.615 | val_AT 9.96303| nb_modif 13 | elaps: 1s
Epoch 15/400: [===============] 100% | Error 52.1373 | Acc: 0.559444 AT 10.4644 | val_Acc 0.565 | val_AT 10.1748| nb_modif 14 | elaps: 1s
Epoch 16/400: [===============] 100% | Error 52.1526 | Acc: 0.638333 AT 8.63 | val_Acc 0.7 | val_AT 7.43087| nb_modif 11 | elaps: 1s
Epoch 17/400: [===============] 100% | Error 52.2219 | Acc: 0.736111 AT 6.65056 | val_Acc 0.79 | val_AT 5.49215| nb_modif 8 | elaps: 1s
Epoch 18/400: [===============] 100% | Error 52.2427 | Acc: 0.878889 AT 4.13278 | val_Acc 0.765 | val_AT 5.87246| nb_modif 6 | elaps: 0s
Epoch 19/400: [===============] 100% | Error 52.2518 | Acc: 0.797778 AT 5.40667 | val_Acc 0.73 | val_AT 6.41936| nb_modif 7 | elaps: 0s
Epoch 20/400: [===============] 100% | Error 52.2634 | Acc: 0.718889 AT 6.63111 | val_Acc 0.705 | val_AT 6.9721| nb_modif 9 | elaps: 1s
Epoch 21/400: [===============] 100% | Error 52.2745 | Acc: 0.762222 AT 5.98889 | val_Acc 0.745 | val_AT 6.18986| nb_modif 8 | elaps: 1s
Epoch 22/400: [===============] 100% | Error 52.329 | Acc: 0.811111 AT 4.92333 | val_Acc 0.805 | val_AT 4.98095| nb_modif 6 | elaps: 0s
Epoch 23/400: [===============] 100% | Error 52.3388 | Acc: 0.772222 AT 5.61889 | val_Acc 0.73 | val_AT 6.2899| nb_modif 8 | elaps: 1s
Epoch 24/400: [===============] 100% | Error 52.3511 | Acc: 0.714444 AT 6.56444 | val_Acc 0.685 | val_AT 7.01145| nb_modif 9 | elaps: 1s
