Epoch 1/400: [===============] 100% | Error 10.701 | Acc: 0.00444444 AT 19.9139 | val_Acc 0 | val_AT 19.9| nb_modif 4 | env_th 1 | elaps: 1s
Epoch 2/400: [===============] 100% | Error 24.4265 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 6 | env_th 1 | elaps: 2s
Epoch 3/400: [===============] 100% | Error 37.0494 | Acc: 0.00777778 AT 19.9344 | val_Acc 0 | val_AT 20| nb_modif 9 | env_th 1 | elaps: 3s
Epoch 4/400: [===============] 100% | Error 45.0252 | Acc: 0.0605556 AT 19.5061 | val_Acc 0 | val_AT 20| nb_modif 14 | env_th 1 | elaps: 4s
Epoch 5/400: [===============] 100% | Error 47.8094 | Acc: 0.127778 AT 17.8233 | val_Acc 0.37 | val_AT 13.655| nb_modif 16 | env_th 1 | elaps: 5s
Epoch 6/400: [===============] 100% | Error 48.5243 | Acc: 0.451111 AT 12.1928 | val_Acc 0.53 | val_AT 10.7583| nb_modif 11 | env_th 1 | elaps: 3s
Epoch 7/400: [===============] 100% | Error 48.7877 | Acc: 0.612222 AT 9.57944 | val_Acc 0.66 | val_AT 8.69379| nb_modif 8 | env_th 1 | elaps: 2s
Epoch 8/400: [===============] 100% | Error 48.9664 | Acc: 0.613889 AT 9.53333 | val_Acc 0.79 | val_AT 6.49347| nb_modif 9 | env_th 1 | elaps: 3s
Epoch 9/400: [===============] 100% | Error 49.0481 | Acc: 0.738889 AT 7.58722 | val_Acc 0.765 | val_AT 7.32747| nb_modif 7 | env_th 1 | elaps: 2s
Epoch 10/400: [===============] 100% | Error 49.1053 | Acc: 0.737778 AT 7.94667 | val_Acc 0.695 | val_AT 8.73164| nb_modif 7 | env_th 1 | elaps: 2s
Epoch 11/400: [===============] 100% | Error 49.1594 | Acc: 0.631111 AT 9.69 | val_Acc 0.655 | val_AT 9.21366| nb_modif 9 | env_th 1 | elaps: 3s
Epoch 12/400: [===============] 100% | Error 49.1977 | Acc: 0.607222 AT 9.98944 | val_Acc 0.57 | val_AT 10.5011| nb_modif 9 | env_th 1 | elaps: 3s
Epoch 13/400: [===============] 100% | Error 49.2263 | Acc: 0.611667 AT 9.90222 | val_Acc 0.52 | val_AT 11.4075| nb_modif 9 | env_th 1 | elaps: 3s
Epoch 14/400: [===============] 100% | Error 49.246 | Acc: 0.657222 AT 9.25667 | val_Acc 0.585 | val_AT 10.122| nb_modif 8 | env_th 1 | elaps: 2s
Epoch 15/400: [===============] 100% | Error 49.2638 | Acc: 0.65 AT 9.44667 | val_Acc 0.675 | val_AT 9.03061| nb_modif 9 | env_th 1 | elaps: 3s
Epoch 16/400: [===============] 100% | Error 49.2764 | Acc: 0.693889 AT 9.115 | val_Acc 0.695 | val_AT 9.02015| nb_modif 8 | env_th 1 | elaps: 2s
Epoch 17/400: [===============] 100% | Error 49.3121 | Acc: 0.586667 AT 10.7833 | val_Acc 0.545 | val_AT 11.3451| nb_modif 10 | env_th 1 | elaps: 3s
Epoch 18/400: [===============] 100% | Error 49.3233 | Acc: 0.618333 AT 10.0528 | val_Acc 0.62 | val_AT 9.84673| nb_modif 9 | env_th 1 | elaps: 3s
Epoch 19/400: [===============] 100% | Error 49.3335 | Acc: 0.627222 AT 10.0106 | val_Acc 0.645 | val_AT 10.1442| nb_modif 9 | env_th 1 | elaps: 3s
Epoch 20/400: [===============] 100% | Error 49.3436 | Acc: 0.599444 AT 10.6406 | val_Acc 0.49 | val_AT 11.9457| nb_modif 9 | env_th 1 | elaps: 3s
Epoch 21/400: [===============] 100% | Error 49.3717 | Acc: 0.463333 AT 12.5439 | val_Acc 0.415 | val_AT 12.9647| nb_modif 12 | env_th 1 | elaps: 4s
Epoch 22/400: [===============] 100% | Error 49.3825 | Acc: 0.526667 AT 11.0733 | val_Acc 0.765 | val_AT 6.75482| nb_modif 9 | env_th 1 | elaps: 3s
Epoch 23/400: [===============] 100% | Error 49.4045 | Acc: 0.668889 AT 8.365 | val_Acc 0.67 | val_AT 8.21377| nb_modif 8 | env_th 1 | elaps: 2s
Epoch 24/400: [===============] 100% | Error 49.4843 | Acc: 0.681111 AT 7.86611 | val_Acc 0.685 | val_AT 7.62107| nb_modif 7 | env_th 1 | elaps: 2s
Epoch 25/400: [===============] 100% | Error 49.5031 | Acc: 0.637222 AT 8.45667 | val_Acc 0.63 | val_AT 8.49811| nb_modif 7 | env_th 1 | elaps: 2s
Epoch 26/400: [===============] 100% | Error 49.5117 | Acc: 0.738333 AT 6.57278 | val_Acc 0.74 | val_AT 6.45249| nb_modif 6 | env_th 1 | elaps: 2s
Epoch 27/400: [===============] 100% | Error 49.5198 | Acc: 0.805 AT 5.49333 | val_Acc 0.835 | val_AT 4.77226| nb_modif 5 | env_th 1 | elaps: 1s
Epoch 28/400: [===============] 100% | Error 49.5264 | Acc: 0.805 AT 5.36 | val_Acc 0.76 | val_AT 5.81386| nb_modif 5 | env_th 1 | elaps: 1s
Epoch 29/400: [===============] 100% | Error 49.5424 | Acc: 0.761111 AT 5.91778 | val_Acc 0.72 | val_AT 6.65907| nb_modif 6 | env_th 1 | elaps: 2s
Epoch 30/400: [===============] 100% | Error 49.5516 | Acc: 0.676111 AT 7.37556 | val_Acc 0.675 | val_AT 7.3333| nb_modif 6 | env_th 1 | elaps: 2s
Epoch 31/400: [===============] 100% | Error 49.5617 | Acc: 0.731667 AT 6.40389 | val_Acc 0.8 | val_AT 5.19167| nb_modif 6 | env_th 1 | elaps: 2s
Epoch 32/400: [===============] 100% | Error 49.6026 | Acc: 0.782222 AT 5.52222 | val_Acc 0.805 | val_AT 4.98096| nb_modif 5 | env_th 1 | elaps: 1s
Epoch 33/400: [===============] 100% | Error 49.6125 | Acc: 0.716667 AT 6.69833 | val_Acc 0.75 | val_AT 5.8449| nb_modif 6 | env_th 1 | elaps: 2s
Epoch 34/400: [===============] 100% | Error 49.635 | Acc: 0.759444 AT 5.905 | val_Acc 0.79 | val_AT 5.36922| nb_modif 5 | env_th 1 | elaps: 1s
Epoch 35/400: [===============] 100% | Error 49.6392 | Acc: 0.849444 AT 4.18944 | val_Acc 0.835 | val_AT 4.34185| nb_modif 4 | env_th 1 | elaps: 1s
Epoch 36/400: [===============] 100% | Error 49.6434 | Acc: 0.83 AT 4.42889 | val_Acc 0.83 | val_AT 4.34671| nb_modif 4 | env_th 1 | elaps: 1s
Epoch 37/400: [===============] 100% | Error 49.6476 | Acc: 0.828333 AT 4.39667 | val_Acc 0.825 | val_AT 4.37673| nb_modif 4 | env_th 1 | elaps: 1s
Epoch 38/400: [===============] 100% | Error 49.652 | Acc: 0.822222 AT 4.5 | val_Acc 0.83 | val_AT 4.28688| nb_modif 4 | env_th 1 | elaps: 1s
Epoch 39/400: [===============] 100% | Error 49.655 | Acc: 0.857222 AT 3.96222 | val_Acc 0.87 | val_AT 3.72143| nb_modif 3 | env_th 1 | elaps: 1s
Epoch 40/400: [===============] 100% | Error 49.6593 | Acc: 0.84 AT 4.25389 | val_Acc 0.845 | val_AT 4.18361| nb_modif 4 | env_th 1 | elaps: 1s
Epoch 41/400: [===============] 100% | Error 49.6647 | Acc: 0.838889 AT 4.30667 | val_Acc 0.88 | val_AT 3.25592| nb_modif 4 | env_th 1 | elaps: 1s
Epoch 42/400: [===============] 100% | Error 49.6701 | Acc: 0.86 AT 3.78944 | val_Acc 0.88 | val_AT 3.25128| nb_modif 3 | env_th 1 | elaps: 1s
Epoch 43/400: [===============] 100% | Error 49.6732 | Acc: 0.895 AT 3.15333 | val_Acc 0.95 | val_AT 2.08126| nb_modif 3 | env_th 1 | elaps: 1s
Epoch 44/400: [===============] 100% | Error 49.6753 | Acc: 0.931111 AT 2.52722 | val_Acc 0.87 | val_AT 3.47041| nb_modif 2 | env_th 1 | elaps: 0s
Epoch 45/400: [===============] 100% | Error 49.6798 | Acc: 0.841111 AT 4.07944 | val_Acc 0.915 | val_AT 2.66735| nb_modif 4 | env_th 1 | elaps: 1s
Epoch 46/400: [===============] 100% | Error 49.6998 | Acc: 0.898333 AT 3.08333 | val_Acc 0.915 | val_AT 2.66334| nb_modif 3 | env_th 1 | elaps: 1s
Epoch 47/400: [===============] 100% | Error 49.7018 | Acc: 0.930556 AT 2.57944 | val_Acc 0.96 | val_AT 1.86332| nb_modif 2 | env_th 1 | elaps: 0s
Epoch 48/400: [===============] 100% | Error 49.7039 | Acc: 0.948333 AT 2.18278 | val_Acc 0.96 | val_AT 1.85932| nb_modif 2 | env_th 1 | elaps: 0s
Epoch 49/400: [===============] 100% | Error 49.7085 | Acc: 0.892778 AT 3.17389 | val_Acc 0.87 | val_AT 3.4193| nb_modif 3 | env_th 1 | elaps: 1s
Epoch 50/400: [===============] 100% | Error 49.7241 | Acc: 0.817778 AT 4.52444 | val_Acc 0.83 | val_AT 4.1471| nb_modif 4 | env_th 1 | elaps: 1s
Epoch 51/400: [===============] 100% | Error 49.7271 | Acc: 0.838333 AT 4.10167 | val_Acc 0.865 | val_AT 3.48574| nb_modif 3 | env_th 1 | elaps: 1s
Epoch 52/400: [===============] 100% | Error 49.7312 | Acc: 0.850556 AT 3.83944 | val_Acc 0.905 | val_AT 2.72243| nb_modif 4 | env_th 1 | elaps: 1s
Epoch 53/400: [===============] 100% | Error 49.7334 | Acc: 0.898889 AT 2.92111 | val_Acc 0.905 | val_AT 2.71861| nb_modif 2 | env_th 1 | elaps: 0s
Epoch 54/400: [===============] 100% | Error 49.742 | Acc: 0.882778 AT 3.24056 | val_Acc 0.885 | val_AT 3.13359| nb_modif 3 | env_th 1 | elaps: 1s
Epoch 55/400: [===============] 100% | Error 49.7454 | Acc: 0.901667 AT 2.92 | val_Acc 0.885 | val_AT 3.13567| nb_modif 3 | env_th 1 | elaps: 1s
Epoch 56/400: [===============] 100% | Error 49.7555 | Acc: 0.901111 AT 2.93056 | val_Acc 0.885 | val_AT 3.20568| nb_modif 3 | env_th 1 | elaps: 1s
Epoch 57/400: [===============] 100% | Error 49.7587 | Acc: 0.891111 AT 3.20167 | val_Acc 0.865 | val_AT 3.56603| nb_modif 3 | env_th 1 | elaps: 1s
Epoch 58/400: [===============] 100% | Error 49.762 | Acc: 0.875 AT 3.50389 | val_Acc 0.85 | val_AT 3.95283| nb_modif 3 | env_th 1 | elaps: 1s
Epoch 59/400: [===============] 100% | Error 49.7653 | Acc: 0.850556 AT 3.93889 | val_Acc 0.84 | val_AT 4.06476| nb_modif 3 | env_th 1 | elaps: 1s
Epoch 60/400: [===============] 100% | Error 49.7748 | Acc: 0.821667 AT 4.45889 | val_Acc 0.77 | val_AT 5.32532| nb_modif 4 | env_th 1 | elaps: 1s
Epoch 61/400: [===============] 100% | Error 49.7799 | Acc: 0.816111 AT 4.54556 | val_Acc 0.755 | val_AT 5.61663| nb_modif 5 | env_th 1 | elaps: 1s
Epoch 62/400: [===============] 100% | Error 49.784 | Acc: 0.804444 AT 4.76944 | val_Acc 0.755 | val_AT 5.69308| nb_modif 4 | env_th 1 | elaps: 1s
Epoch 63/400: [===============] 100% | Error 49.8346 | Acc: 0.749444 AT 5.885 | val_Acc 0.775 | val_AT 5.39347| nb_modif 5 | env_th 1 | elaps: 1s
Epoch 64/400: [===============] 100% | Error 49.9812 | Acc: 0.805 AT 4.89167 | val_Acc 0.86 | val_AT 3.66697| nb_modif 5 | env_th 1 | elaps: 1s
Epoch 65/400: [===============] 100% | Error 50.0079 | Acc: 0.871667 AT 3.605 | val_Acc 0.925 | val_AT 2.47833| nb_modif 3 | env_th 1 | elaps: 1s
Epoch 66/400: [===============] 100% | Error 50.0107 | Acc: 0.952222 AT 2.06 | val_Acc 0.925 | val_AT 2.46739| nb_modif 2 | env_th 1 | elaps: 0s
=== END TRAINNING << Time elapsed 128833ms nb threads 2
Epoch 1/400: [===============] 100% | Error 10.9104 | Acc: 0.00777778 AT 19.7667 | val_Acc 0 | val_AT 19.9| nb_modif 4 | env_th 1 | elaps: 1s
Epoch 2/400: [===============] 100% | Error 24.7432 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 6 | env_th 1 | elaps: 2s
Epoch 3/400: [===============] 100% | Error 38.1836 | Acc: 0.00944444 AT 19.9272 | val_Acc 0 | val_AT 20| nb_modif 10 | env_th 1 | elaps: 3s
Epoch 4/400: [===============] 100% | Error 45.1687 | Acc: 0.06 AT 19.4933 | val_Acc 0 | val_AT 20| nb_modif 13 | env_th 1 | elaps: 4s
Epoch 5/400: [===============] 100% | Error 47.9877 | Acc: 0.156667 AT 17.4822 | val_Acc 0.29 | val_AT 15.02| nb_modif 16 | env_th 1 | elaps: 5s
Epoch 6/400: [===============] 100% | Error 48.6925 | Acc: 0.447222 AT 12.6694 | val_Acc 0.445 | val_AT 12.8351| nb_modif 11 | env_th 1 | elaps: 3s
Epoch 7/400: [===============] 100% | Error 49.0064 | Acc: 0.536667 AT 11.2261 | val_Acc 0.635 | val_AT 9.46918| nb_modif 10 | env_th 1 | elaps: 3s
Epoch 8/400: [===============] 100% | Error 49.1895 | Acc: 0.592222 AT 10.4311 | val_Acc 0.575 | val_AT 10.8423| nb_modif 10 | env_th 1 | elaps: 3s
Epoch 9/400: [===============] 100% | Error 49.2846 | Acc: 0.539444 AT 11.3117 | val_Acc 0.71 | val_AT 8.58921| nb_modif 10 | env_th 1 | elaps: 3s
Epoch 10/400: [===============] 100% | Error 49.3419 | Acc: 0.638889 AT 9.56333 | val_Acc 0.565 | val_AT 10.7379| nb_modif 9 | env_th 1 | elaps: 3s
Epoch 11/400: [===============] 100% | Error 49.3806 | Acc: 0.651667 AT 9.27333 | val_Acc 0.73 | val_AT 8.23369| nb_modif 8 | env_th 1 | elaps: 2s
Epoch 12/400: [===============] 100% | Error 49.4119 | Acc: 0.617778 AT 9.74056 | val_Acc 0.64 | val_AT 9.50117| nb_modif 9 | env_th 1 | elaps: 2s
Epoch 13/400: [===============] 100% | Error 49.4528 | Acc: 0.686111 AT 8.64389 | val_Acc 0.675 | val_AT 8.96751| nb_modif 8 | env_th 1 | elaps: 2s
Epoch 14/400: [===============] 100% | Error 49.4739 | Acc: 0.597222 AT 10.2239 | val_Acc 0.61 | val_AT 10.2048| nb_modif 9 | env_th 1 | elaps: 3s
Epoch 15/400: [===============] 100% | Error 49.4888 | Acc: 0.636111 AT 9.60222 | val_Acc 0.69 | val_AT 8.64602| nb_modif 8 | env_th 1 | elaps: 2s
Epoch 16/400: [===============] 100% | Error 49.5012 | Acc: 0.691667 AT 8.54667 | val_Acc 0.76 | val_AT 7.84323| nb_modif 8 | env_th 1 | elaps: 2s
Epoch 17/400: [===============] 100% | Error 49.5117 | Acc: 0.747222 AT 8.20222 | val_Acc 0.59 | val_AT 10.6742| nb_modif 8 | env_th 1 | elaps: 2s
Epoch 18/400: [===============] 100% | Error 49.5229 | Acc: 0.569444 AT 10.9217 | val_Acc 0.53 | val_AT 11.8384| nb_modif 9 | env_th 1 | elaps: 3s
Epoch 19/400: [===============] 100% | Error 49.5327 | Acc: 0.670556 AT 9.18889 | val_Acc 0.67 | val_AT 9.14919| nb_modif 9 | env_th 1 | elaps: 3s
Epoch 20/400: [===============] 100% | Error 49.5411 | Acc: 0.705556 AT 8.75833 | val_Acc 0.635 | val_AT 9.66075| nb_modif 8 | env_th 1 | elaps: 2s
Epoch 21/400: [===============] 100% | Error 49.5503 | Acc: 0.567222 AT 10.8506 | val_Acc 0.65 | val_AT 9.4783| nb_modif 9 | env_th 1 | elaps: 3s
Epoch 22/400: [===============] 100% | Error 49.5595 | Acc: 0.648333 AT 9.21722 | val_Acc 0.58 | val_AT 10.0824| nb_modif 9 | env_th 1 | elaps: 3s
Epoch 23/400: [===============] 100% | Error 49.5666 | Acc: 0.691111 AT 8.11444 | val_Acc 0.735 | val_AT 6.82541| nb_modif 7 | env_th 1 | elaps: 2s
Epoch 24/400: [===============] 100% | Error 49.5727 | Acc: 0.745556 AT 6.615 | val_Acc 0.76 | val_AT 6.07413| nb_modif 6 | env_th 1 | elaps: 2s
Epoch 25/400: [===============] 100% | Error 49.5778 | Acc: 0.795 AT 5.66278 | val_Acc 0.77 | val_AT 5.76537| nb_modif 5 | env_th 1 | elaps: 1s
Epoch 26/400: [===============] 100% | Error 49.5819 | Acc: 0.842778 AT 4.425 | val_Acc 0.875 | val_AT 3.76383| nb_modif 4 | env_th 1 | elaps: 1s
Epoch 27/400: [===============] 100% | Error 49.5849 | Acc: 0.867778 AT 3.85444 | val_Acc 0.895 | val_AT 3.27882| nb_modif 3 | env_th 1 | elaps: 1s
Epoch 28/400: [===============] 100% | Error 49.6108 | Acc: 0.869444 AT 3.77167 | val_Acc 0.875 | val_AT 3.68639| nb_modif 4 | env_th 1 | elaps: 1s
Epoch 29/400: [===============] 100% | Error 49.613 | Acc: 0.931111 AT 2.62944 | val_Acc 0.895 | val_AT 3.17843| nb_modif 2 | env_th 1 | elaps: 0s
Epoch 30/400: [===============] 100% | Error 49.6392 | Acc: 0.900556 AT 3.17389 | val_Acc 0.895 | val_AT 3.08589| nb_modif 3 | env_th 1 | elaps: 1s
Epoch 31/400: [===============] 100% | Error 49.6457 | Acc: 0.872778 AT 3.62333 | val_Acc 0.92 | val_AT 2.67043| nb_modif 3 | env_th 1 | elaps: 1s
Epoch 32/400: [===============] 100% | Error 49.6494 | Acc: 0.880556 AT 3.74722 | val_Acc 0.91 | val_AT 3.20835| nb_modif 3 | env_th 1 | elaps: 1s
Epoch 33/400: [===============] 100% | Error 49.6532 | Acc: 0.898333 AT 3.37833 | val_Acc 0.91 | val_AT 3.01604| nb_modif 3 | env_th 1 | elaps: 1s
Epoch 34/400: [===============] 100% | Error 49.6584 | Acc: 0.877778 AT 3.52833 | val_Acc 0.88 | val_AT 3.44008| nb_modif 4 | env_th 1 | elaps: 1s
Epoch 35/400: [===============] 100% | Error 49.6629 | Acc: 0.813889 AT 4.76444 | val_Acc 0.755 | val_AT 5.7272| nb_modif 4 | env_th 1 | elaps: 1s
Epoch 36/400: [===============] 100% | Error 49.6817 | Acc: 0.86 AT 3.84667 | val_Acc 0.91 | val_AT 2.84864| nb_modif 3 | env_th 1 | elaps: 1s
Epoch 37/400: [===============] 100% | Error 49.6851 | Acc: 0.887778 AT 3.36889 | val_Acc 0.87 | val_AT 3.60924| nb_modif 3 | env_th 1 | elaps: 1s
Epoch 38/400: [===============] 100% | Error 49.6895 | Acc: 0.866667 AT 3.785 | val_Acc 0.915 | val_AT 2.77805| nb_modif 4 | env_th 1 | elaps: 1s
Epoch 39/400: [===============] 100% | Error 49.6918 | Acc: 0.928333 AT 2.60333 | val_Acc 0.94 | val_AT 2.22389| nb_modif 2 | env_th 1 | elaps: 0s
Epoch 40/400: [===============] 100% | Error 49.694 | Acc: 0.941111 AT 2.35222 | val_Acc 0.865 | val_AT 3.71612| nb_modif 2 | env_th 1 | elaps: 0s
Epoch 41/400: [===============] 100% | Error 49.6979 | Acc: 0.882778 AT 3.34944 | val_Acc 0.94 | val_AT 2.18858| nb_modif 3 | env_th 1 | elaps: 1s
Epoch 42/400: [===============] 100% | Error 49.7001 | Acc: 0.941111 AT 2.225 | val_Acc 0.905 | val_AT 2.75594| nb_modif 2 | env_th 1 | elaps: 0s
