Epoch 1/400: [===============] 100% | Error 5.53515 | Acc: 0 AT 19.9983 | val_Acc 0 | val_AT 19.9| nb_modif 2 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 10.7056 | Acc: 0 AT 19.9961 | val_Acc 0 | val_AT 19.9995| nb_modif 2 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 15.3097 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 2 | elaps: 0s
Epoch 4/400: [===============] 100% | Error 22.4294 | Acc: 0 AT 20 | val_Acc 0 | val_AT 20| nb_modif 4 | elaps: 0s
Epoch 5/400: [===============] 100% | Error 27.8075 | Acc: 0.00388889 AT 19.9339 | val_Acc 0.015 | val_AT 19.745| nb_modif 5 | elaps: 0s
Epoch 6/400: [===============] 100% | Error 30.1348 | Acc: 0.0327778 AT 19.4556 | val_Acc 0.06 | val_AT 18.9737| nb_modif 5 | elaps: 0s
Epoch 7/400: [===============] 100% | Error 30.9438 | Acc: 0.133333 AT 17.7883 | val_Acc 0.16 | val_AT 17.2499| nb_modif 4 | elaps: 0s
Epoch 8/400: [===============] 100% | Error 31.3979 | Acc: 0.279444 AT 15.3544 | val_Acc 0.355 | val_AT 14.2362| nb_modif 4 | elaps: 0s
Epoch 9/400: [===============] 100% | Error 31.5845 | Acc: 0.428333 AT 12.9233 | val_Acc 0.56 | val_AT 10.4612| nb_modif 2 | elaps: 0s
Epoch 10/400: [===============] 100% | Error 31.7825 | Acc: 0.586111 AT 10.1139 | val_Acc 0.475 | val_AT 11.8823| nb_modif 3 | elaps: 0s
Epoch 11/400: [===============] 100% | Error 31.8891 | Acc: 0.608333 AT 9.85833 | val_Acc 0.45 | val_AT 12.3894| nb_modif 2 | elaps: 0s
Epoch 12/400: [===============] 100% | Error 31.9804 | Acc: 0.612778 AT 9.85278 | val_Acc 0.675 | val_AT 8.74695| nb_modif 2 | elaps: 0s
Epoch 13/400: [===============] 100% | Error 32.0592 | Acc: 0.647778 AT 9.24333 | val_Acc 0.69 | val_AT 8.44374| nb_modif 2 | elaps: 0s
Epoch 14/400: [===============] 100% | Error 32.1528 | Acc: 0.622222 AT 9.61944 | val_Acc 0.59 | val_AT 10.2172| nb_modif 3 | elaps: 0s
Epoch 15/400: [===============] 100% | Error 32.2052 | Acc: 0.634444 AT 9.40889 | val_Acc 0.675 | val_AT 8.85109| nb_modif 2 | elaps: 0s
Epoch 16/400: [===============] 100% | Error 32.2498 | Acc: 0.658333 AT 8.96111 | val_Acc 0.555 | val_AT 10.5893| nb_modif 2 | elaps: 0s
Epoch 17/400: [===============] 100% | Error 32.3054 | Acc: 0.634444 AT 9.39 | val_Acc 0.445 | val_AT 12.4229| nb_modif 3 | elaps: 0s
Epoch 18/400: [===============] 100% | Error 32.338 | Acc: 0.598333 AT 10.0478 | val_Acc 0.64 | val_AT 9.06711| nb_modif 2 | elaps: 0s
Epoch 19/400: [===============] 100% | Error 32.3799 | Acc: 0.593333 AT 10.1078 | val_Acc 0.465 | val_AT 12.1753| nb_modif 3 | elaps: 0s
Epoch 20/400: [===============] 100% | Error 32.4226 | Acc: 0.519444 AT 11.3072 | val_Acc 0.5 | val_AT 11.7509| nb_modif 3 | elaps: 0s
Epoch 21/400: [===============] 100% | Error 32.4946 | Acc: 0.417222 AT 13.0544 | val_Acc 0.42 | val_AT 12.9838| nb_modif 4 | elaps: 0s
Epoch 22/400: [===============] 100% | Error 32.5263 | Acc: 0.361111 AT 14.0194 | val_Acc 0.32 | val_AT 14.5549| nb_modif 3 | elaps: 0s
Epoch 23/400: [===============] 100% | Error 32.5523 | Acc: 0.353333 AT 14.0478 | val_Acc 0.405 | val_AT 12.9978| nb_modif 3 | elaps: 0s
Epoch 24/400: [===============] 100% | Error 32.5742 | Acc: 0.371111 AT 13.635 | val_Acc 0.445 | val_AT 12.455| nb_modif 3 | elaps: 0s
Epoch 25/400: [===============] 100% | Error 32.5926 | Acc: 0.427778 AT 12.6939 | val_Acc 0.48 | val_AT 11.8273| nb_modif 3 | elaps: 0s
Epoch 26/400: [===============] 100% | Error 32.6099 | Acc: 0.465 AT 12.1267 | val_Acc 0.465 | val_AT 12.0341| nb_modif 3 | elaps: 0s
Epoch 27/400: [===============] 100% | Error 32.6246 | Acc: 0.480556 AT 11.9072 | val_Acc 0.59 | val_AT 10.0502| nb_modif 3 | elaps: 0s
